# Started at: 2022-05-28 11:22:33 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_2.json-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_2.json-ILP-IDLE-MAX.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11965,48700,49700,49900,48100,48700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,33.3333,0,0,50,0,50
993.682,49100,51500,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.388,4360342.721,,,,,,,,,,14.1414,1,7,6.06061,69.697,70.1031
1993.15,48900,51700,50100,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360351.581,,,,,,,,,,14,0,0,0,90.9091,92
2992.92,49100,51900,50100,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360360.581,,,,,,,,,,14.1414,0,0,1,94.0594,95
3992.74,49300,52100,50300,48500,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360369.550,,,,,,,,,,13.1313,0,0,0,94,94.0594
4993.71,49500,52100,50100,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360378.640,,,,,,,,,,14,0,0.990099,0,94,95
5993.22,49100,52100,50300,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360387.652,,,,,,,,,,14,0,0,0,94.1176,94
6992.74,49500,52300,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360396.657,,,,,,,,,,14,0,0,0.990099,94,94.9495
7993.19,49500,52100,50300,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360405.772,,,,,,,,,,13.1313,0,0,0,94,95
8992.77,49700,52500,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360414.798,,,,,,,,,,14,0.990099,0,0,95.0495,94
9993.09,49700,52100,50900,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360423.896,,,,,,,,,,14.8515,0,0,0,94,94.9495
10993.1,49700,52500,50900,49300,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.377,4360432.923,,,,,,,,,,14,0,0,0,94,94
11993.3,49900,52600,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360442.080,,,,,,,,,,14,0,0,0,95,94.9495
12993.7,49900,52600,51300,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360451.124,,,,,,,,,,13.1313,0.990099,0,0,94.0594,95
13992.9,50300,53000,51300,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360460.263,,,,,,,,,,14,0,0,0,94,94.0594
14993.5,50100,53400,51300,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360466.986,,,,,,,,,,14,0,0,0,94,95
15993.6,50500,53000,51300,49900,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360476.117,,,,,,,,,,14,0,0,0,94.1176,93.9394
16993.3,50700,53000,51700,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360485.269,,,,,,,,,,13.1313,0,0,1,94.0594,95
17993.6,50900,53200,51700,50100,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360494.443,,,,,,,,,,14,0,0,0.990099,94,94
18993.4,51100,53200,51900,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360503.520,,,,,,,,,,12.1212,0,0,0,94,96
19992.7,50900,53200,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360512.681,,,,,,,,,,10.8911,0,0,0,94,94.9495
20993.5,51300,53600,51900,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.345,4360521.767,,,,,,,,,,9.09091,0,0,0.990099,94.1176,94
21993.1,51100,53400,52300,50500,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360530.937,,,,,,,,,,10,0,0,0.990099,94,94.9495
22993.6,51500,54000,52500,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360540.015,,,,,,,,,,14,0,0,0,94,98
23993.2,51500,54200,52500,50900,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360549.194,,,,,,,,,,14.8515,0,0.990099,0,96,95
24992.8,51500,54400,52500,50900,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360558.255,,,,,,,,,,13.1313,0,0,0,94,95.0495
25993.5,51500,53800,52500,51100,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360567.397,,,,,,,,,,14,0,0,0,94.0594,94.9495
26993.7,51700,54200,52600,51100,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360576.473,,,,,,,,,,13.1313,0,0,0,94,94
27993.4,51700,54400,52800,51300,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360585.622,,,,,,,,,,14,0.990099,0,0,95.0495,94.9495
28993.1,51900,54600,52800,51300,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360594.806,,,,,,,,,,14.8515,0,0,0.990099,94.0594,94.0594
29993.7,51900,54600,53000,51300,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360603.883,,,,,,,,,,13.1313,0,0.990099,0,94.0594,95
30993.1,51900,54600,52800,51300,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.335,4360613.076,,,,,,,,,,14,0,0,1,94,94.9495
31993.2,52100,55000,53000,51700,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360622.155,,,,,,,,,,13.1313,0,0,0,94,94.0594
32993,52100,55000,53000,51700,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360631.357,,,,,,,,,,14,0,0,0,93.9394,94.9495
33993.1,52500,55000,53200,52100,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360640.483,,,,,,,,,,14,0,0,0,94.0594,94.0594
34993.1,52500,55200,53400,52100,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360649.701,,,,,,,,,,15,0,0.990099,0,96,94.9495
35993.1,52500,55000,53400,51700,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360658.818,,,,,,,,,,13.1313,0,0,0.990099,94.0594,94.0594
36993.1,52500,55000,53800,52100,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360668.034,,,,,,,,,,14,0,0,0,93.9394,94.9495
37993.6,52600,55400,53600,52300,52600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360677.146,,,,,,,,,,14.8515,0,0,0,94.0594,94.9495
38993,52800,55400,54000,52300,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360686.349,,,,,,,,,,13.1313,0,0,0,94.1748,94
39993.5,52800,55600,53600,52500,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360695.444,,,,,,,,,,14,0,0,2.91262,94,94.9495
40993.1,52600,55800,53600,52300,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.356,4360704.632,,,,,,,,,,13.1313,0,0,0,94,94
41993.7,52800,55800,53800,52100,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360713.877,,,,,,,,,,14,0,0,0,94,95.0495
42993.7,52800,55800,54000,52600,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360723.009,,,,,,,,,,14,0,0,1,94,94.9495
43993.3,53200,55600,54000,52600,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360732.242,,,,,,,,,,14,0,0,0.990099,94.1176,94.0594
44993.8,53200,55600,54400,52500,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360741.377,,,,,,,,,,12,0,0,0,94,95.9596
45993,53400,55600,54400,52800,53000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360750.600,,,,,,,,,,9.09091,0,0,0,94,94
46993.4,53200,55400,54400,52800,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360759.838,,,,,,,,,,10,0,0,0,94,95
47993.3,53400,55800,54400,52800,53000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360769.112,,,,,,,,,,10.8911,0.990099,0,0,94,94
48993.7,53400,55600,54600,52800,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360778.269,,,,,,,,,,14,0,0,0.990099,94.0594,98.9899
49993.7,53400,56000,54400,52600,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360787.532,,,,,,,,,,14,0,0,0,96.0396,95
50993.3,53600,56200,54800,53000,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.345,4360796.699,,,,,,,,,,13.1313,0,0,0,94.0594,94.9495
51993.7,53600,56400,54800,53200,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360805.943,,,,,,,,,,14.8515,0,0,0,94.898,94.0594
52993.3,53600,56200,54800,53200,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360815.108,,,,,,,,,,13.1313,0,0,1,94.0594,94.9495
53993.8,53800,56400,55000,53200,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360824.376,,,,,,,,,,14.1414,0,0,0,95.0495,94
54993.2,53800,56800,54800,53200,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360833.495,,,,,,,,,,13.1313,0,0,0,94,94.9495
55993.6,54000,56600,55000,53400,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360842.723,,,,,,,,,,14,0,0,0,94,95
56993.3,53800,57000,55200,53200,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360851.953,,,,,,,,,,14.8515,0,1,0,94,94
57993,54000,57000,55200,53600,53800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360861.099,,,,,,,,,,14,0,0,0,94.0594,95
58993.3,54000,56600,55200,53600,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360870.336,,,,,,,,,,13.1313,0,0,0,94,94
59993.6,54000,56600,55200,53600,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360879.483,,,,,,,,,,14,0,0,0,94.0594,95
60993.7,54200,57000,55400,53600,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.324,4360888.619,,,,,,,,,,14.8515,0,0,0,95.0495,95
61992.9,54400,56800,55200,53800,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360897.877,,,,,,,,,,14,0.990099,0,0,94.0594,94
62993.3,54200,57000,55400,53600,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360904.715,,,,,,,,,,13.2653,0,0,0.990099,94,94.9495
63993.5,54200,56800,55400,53600,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360913.953,,,,,,,,,,14,0.990099,0,0,95,94.0594
64993.4,54400,57000,55600,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360923.158,,,,,,,,,,14,0,0,0,94,94.9495
65993.3,54400,57200,56000,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360932.436,,,,,,,,,,14,0,0,0,94,95
66993.5,54400,57400,55600,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360941.601,,,,,,,,,,14,0,0,0,94.1176,94
67993.2,54400,57400,55600,53600,54200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360950.893,,,,,,,,,,13.1313,0,0,0,93.9394,94.9495
68992.8,54400,57000,55600,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360960.108,,,,,,,,,,14,1,0,0,94.0594,94
69993.7,54600,57000,55600,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360969.466,,,,,,,,,,14,0,0,0,94,95
70993.5,54600,57200,55600,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.324,4360978.656,,,,,,,,,,12.1212,0,0,0,94,95
71993.1,54800,57000,55800,54000,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360987.928,,,,,,,,,,10,0,0,0,94.1176,95
72993.1,54600,57200,56000,54200,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4360997.126,,,,,,,,,,10.8911,0,0,0,94,94.9495
73993.6,54400,57000,55600,54200,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361006.430,,,,,,,,,,10,0,0,0,94,94.0594
74993,54800,57700,56000,54400,54400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361015.626,,,,,,,,,,14,0,0,0,94.0594,98.9899
75992.8,54800,57700,56000,54400,54800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361024.921,,,,,,,,,,13.1313,0.990099,0,0,96,95
76993.5,54800,57700,56000,54600,54800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361034.109,,,,,,,,,,14,0.990099,0,0,94.0594,94.0594
77993.7,55000,57700,56000,54400,54800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361043.402,,,,,,,,,,14,0,1,0,94,94.898
78992.8,55000,57700,56000,54800,54800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361052.574,,,,,,,,,,14.1414,0,0,0,94,95
79992.8,55000,57700,56400,54800,54800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361061.872,,,,,,,,,,14,0,0,0,95,94
80992.9,55200,57700,56400,54600,55200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.335,4361071.058,,,,,,,,,,13.1313,0,0,0,94.0594,95
81992.9,55000,58100,56400,54600,55000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361080.337,,,,,,,,,,13.1313,1,0.990099,0,94.0594,94
82993.4,55200,58100,56200,54800,55000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361089.546,,,,,,,,,,14,0,0,0,93.9394,94.9495
83993.1,55200,58100,56400,54800,55000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361098.839,,,,,,,,,,14.8515,0,0,0,94.0594,94.9495
84993.8,55200,58500,56400,54800,55200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361108.046,,,,,,,,,,14,0,0,0,94.0594,94.0594
85993.6,55400,58100,56600,55000,55200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361117.335,,,,,,,,,,14,0,0,0,94.0594,95
86993.5,55200,58100,56800,54800,55200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361126.650,,,,,,,,,,13.1313,0.990099,0,0,95.9596,94.0594
87993.8,55200,58100,56800,54800,55400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361135.882,,,,,,,,,,15,0,0,0,94.0594,94.9495
88993.6,55200,57700,56800,54800,55200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361145.100,,,,,,,,,,13,0,0.990099,0,94,94.0594
89993,55400,58100,56800,54800,55600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4361154.401,,,,,,,,,,14.1414,0,0,0,94.1176,94.9495
