# Started at: 2022-02-25 06:35:14 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/cpu//IN_2.json-HEUR.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/cpu//IN_2.json-HEUR.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09028,44600,46000,46000,44400,44600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
995.017,45400,47500,46200,44600,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.042,551683.174,,,,,,,,,,80,70.7071,62.1359,61.7647,22,19
1995.26,45400,46400,46200,44600,44800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551691.411,,,,,,,,,,70,81,71.2871,46,13.2653,9
2995.55,45400,47000,46400,44400,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551698.876,,,,,,,,,,67,89,76.5306,31.3131,19.802,9.90099
3995.34,45400,47200,46400,44600,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551706.793,,,,,,,,,,51.0204,90,69.6078,17.1717,24,18
4995.04,45600,46400,46400,44600,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551714.634,,,,,,,,,,50,80.198,72,27,14,9
5995.43,45800,46600,46600,44600,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551722.294,,,,,,,,,,67,89.899,73.2673,27.2727,19.1919,9
6995.21,45600,47000,46600,44800,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551730.292,,,,,,,,,,48.5149,90.099,73,17.1717,23,18.8119
7995.06,45600,46800,46600,44800,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551737.875,,,,,,,,,,54,80.198,71.2871,31,14.8515,9
8995.48,45800,46800,46800,45000,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551745.813,,,,,,,,,,66.6667,90,69.697,22.449,19,9
9994.65,45400,47000,46600,44800,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551753.586,,,,,,,,,,43.4343,89,48,18.1818,23.2323,18.1818
10995,45800,47000,47000,45000,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.042,551761.020,,,,,,,,,,58.4158,81,46,34.3434,14.8515,9
11995,45800,46800,46600,44800,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551768.705,,,,,,,,,,65,87.8788,41,18.1818,20.202,10.8911
12994.9,45600,46800,46800,45200,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551776.345,,,,,,,,,,40.404,64.6465,24.7525,18.1818,23.7624,17
13994.8,45800,46800,47000,45000,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551784.208,,,,,,,,,,62,42,11,36,14.8515,9
14994.6,45800,47200,47000,45200,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551789.778,,,,,,,,,,61,67.3267,20,19.6078,25,14
15995.4,45600,46800,46800,45200,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551797.413,,,,,,,,,,40.404,60.6061,10,18.1818,18,13
16994.8,46200,47200,47200,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551804.784,,,,,,,,,,66.3366,45,12.1212,36,17.1717,9.90099
17994.6,46400,48100,47000,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551812.247,,,,,,,,,,57.1429,68.6869,17.8218,18,26,18
18995.2,46000,47200,47000,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551819.888,,,,,,,,,,29.703,56,10,21,14,9.90099
19995.5,46200,47700,47000,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551827.030,,,,,,,,,,25.5102,50,16.1616,32.6531,20.7921,9
20994.9,46200,47900,47200,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.032,551834.367,,,,,,,,,,31,67.6768,13.8614,18,23.2323,19.6078
21995.4,45800,47200,47400,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551841.769,,,,,,,,,,19,52.4752,10,24.2424,14.8515,9
22995.1,46400,47400,47200,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551848.580,,,,,,,,,,29.2929,54,20.202,11.1111,19.1919,4
23995.3,46200,47200,47200,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551855.504,,,,,,,,,,27.2727,68,10,0,23.2323,0
24995.4,46000,47200,47000,45400,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551862.409,,,,,,,,,,18.1818,48,10,0,9.90099,0
25995.1,46200,47200,47000,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551868.817,,,,,,,,,,34.6535,56.5657,5.05051,0,8.08081,0
26995.1,46200,47200,47400,45600,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551875.600,,,,,,,,,,23.2323,69,0,0,18,0
27995.4,45800,47200,47000,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551882.387,,,,,,,,,,19,44,0,0,9,0
28995.1,46200,47200,47400,45400,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,551888.795,,,,,,,,,,38,61.6162,1.9802,0.990099,9.90099,0
