# Started at: 2022-05-28 15:24:29 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_3.json-ILP-SM-I.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_3.json-ILP-SM-I.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11853,48900,49900,50100,48500,48900,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,33.3333,0,0,0
992.684,49300,50900,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.506,4485946.827,,,,,,,,,,69.697,74.7475,70.4082,67.6768,21.2121,19.1919
1992.53,49100,50300,49900,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4485954.720,,,,,,,,,,84.6939,92.8571,82.8283,75,31.3131,25.2525
2993.06,49300,50700,50100,48100,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4485962.778,,,,,,,,,,87.1287,94.0594,86,74,35,29.4118
3992.79,49300,50700,49900,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4485970.844,,,,,,,,,,86.8687,93.9394,85.8586,74,34.3434,29
4992.91,49300,51900,50100,48300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4485978.849,,,,,,,,,,86.8687,94.898,86,74,35.6436,29
5992.45,49300,51900,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4485987.031,,,,,,,,,,86.8687,94.0594,86.1386,74.7475,35.3535,29
6992.94,49700,51900,50300,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4485995.121,,,,,,,,,,86.1386,94.0594,85,74.2574,34,28
7992.4,49500,52100,50500,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486003.293,,,,,,,,,,84.8485,93.9394,84.8485,73.7374,32.3232,28
8992.44,49500,51500,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486011.374,,,,,,,,,,85.8586,92.9293,85,75,35,26.2626
9992.2,49700,51500,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486019.478,,,,,,,,,,87.1287,94.9495,86,75.7576,34.3434,27.7228
10993,49700,51500,50500,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.528,4486027.494,,,,,,,,,,86.8687,94.0594,85.8586,76.2376,35.6436,26
11992.6,50100,51900,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486035.597,,,,,,,,,,86.8687,93.9394,85.8586,75.7576,33.6735,27
12993,50100,52100,50900,49100,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486043.643,,,,,,,,,,86.8687,95,86,76,36,26.2626
13992.5,50300,51900,51100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486051.746,,,,,,,,,,86.8687,94,86,75.7576,35,28.4314
14992.3,50500,52100,51100,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486059.816,,,,,,,,,,87.1287,94,86,75.7576,35,27
15993.1,50500,52300,51300,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486067.912,,,,,,,,,,86,93.9394,85.1485,76.2376,33.3333,26.2626
16992.9,50500,52300,51300,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486075.934,,,,,,,,,,86.8687,94.9495,85.8586,76,32.3232,26.2626
17992.9,50500,52300,51300,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486082.039,,,,,,,,,,86.8687,94,86,76,33.6634,26.7327
18992.2,50500,51500,51300,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486090.138,,,,,,,,,,87,94.0594,86,75.7576,34,27.7228
19992.7,50900,51900,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486098.264,,,,,,,,,,86.8687,94.9495,85.8586,76,32.3232,27.2727
20992.8,50900,51900,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.56,4486106.328,,,,,,,,,,87,94,86,76,33,27.7228
21992.9,50900,51900,51700,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486114.451,,,,,,,,,,86.8687,94,85.8586,75.5102,32.3232,26
22992.5,50900,51900,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486122.509,,,,,,,,,,86.1386,94.9495,85.1485,76.2376,34.6535,27
23992.8,50900,51900,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486130.647,,,,,,,,,,86.8687,93.9394,86,75.2475,32.3232,26.2626
24992.8,51100,51900,51900,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486138.705,,,,,,,,,,84.8485,94.0594,85.8586,76,33,27.7228
25992.4,50900,52100,52100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486146.860,,,,,,,,,,84.3137,94.9495,86.1386,75.7576,33,27
26992.2,51300,52100,52100,50100,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486154.906,,,,,,,,,,84.8485,94.0594,83.8384,76,33.3333,27
27992.6,51300,52300,52300,50300,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486163.009,,,,,,,,,,84.8485,93.9394,84,76,33,26
28992.9,50900,52300,51900,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486171.053,,,,,,,,,,85.8586,93,84.8485,75.7576,33.6634,27.7228
29992.5,51300,52300,52100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486179.161,,,,,,,,,,87,94.898,86,76,32.3232,26.2626
30992.2,51300,52300,52100,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.56,4486187.217,,,,,,,,,,86.8687,94.0594,86,76,33,28
31992.9,51300,52500,52300,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486195.336,,,,,,,,,,87,94,84.8485,76,34,26
32992.7,51300,52300,52100,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486203.379,,,,,,,,,,86.8687,95,86.1386,76,32.3232,27.7228
33993,51700,52500,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486211.492,,,,,,,,,,87,93.8776,85.8586,75.7576,33,26.2626
34992.7,51300,52300,52300,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486219.525,,,,,,,,,,86,94.0594,86,76,33,26.2626
35992.9,51700,52600,52500,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486227.614,,,,,,,,,,87,94.9495,86,76,33.3333,27
36992.6,51900,52500,52500,50500,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486235.673,,,,,,,,,,86.8687,93.9394,86,73.7374,32.3232,27
37992.7,51700,52600,52500,50700,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486243.838,,,,,,,,,,87,94.0594,86,74,33,27
38992.5,52100,52600,52800,50500,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486251.940,,,,,,,,,,87,94,85,73.4694,33,26
39992.6,51900,52600,52800,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486260.110,,,,,,,,,,86.7347,95,85.8586,74.2574,33,27
40992.5,52100,52500,52500,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.57,4486268.207,,,,,,,,,,86.1386,91.9192,83.8384,74,33,26.2626
41994.9,51900,52600,52600,50500,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486276.377,,,,,,,,,,87,93.0693,85.2941,74.2574,34.3434,28
42992,52100,52600,52800,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486284.480,,,,,,,,,,87,94,84.8485,75.7576,35,27.2727
43992.1,52100,53800,53000,50900,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486292.651,,,,,,,,,,86.8687,94.898,85.8586,76,34.3434,29
44992.6,52100,53600,52800,51300,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486300.771,,,,,,,,,,86.8687,93.9394,86,75.7576,34.3434,29.703
45992.9,52100,53800,53000,51100,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486308.952,,,,,,,,,,87,94.0594,86,76.2376,36.2745,28.2828
46992.2,52500,54000,53000,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486317.014,,,,,,,,,,86,95,86,75.7576,33.3333,28.7129
47992.7,52300,54200,53200,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486325.285,,,,,,,,,,87,93.9394,86,75.7576,33,29.703
48992.1,52500,54200,53200,51700,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4486333.557,,,,,,,,,,86.8687,94,85,76,32.6531,28
