# Started at: 2022-06-17 11:51:20 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_4-BB-SM.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_4-BB-SM.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11928,48700,49700,49900,48100,48300,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,0,0,0,0
992.055,48900,50500,50100,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.651,4087463.540,,,,,,,,,,55,55.102,55.5556,67.3469,35.7143,21.4286
1992.14,48900,51100,49900,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087471.741,,,,,,,,,,66.3265,64.6465,65,81,47.4747,35.3535
2992.29,49300,50500,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087479.891,,,,,,,,,,70.297,62,69,85.1485,40.404,29.703
3992.69,49300,51500,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087488.128,,,,,,,,,,65.6566,62.6263,65.6566,85.1485,47,32.3232
4992.45,49300,51500,50300,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087496.288,,,,,,,,,,64,69.3069,63.6364,84.8485,47.9592,35
5992.8,49700,51700,50100,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087504.819,,,,,,,,,,67.3267,68,65.3465,85.8586,50,32.6733
6992.08,49700,51100,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087513.212,,,,,,,,,,70.7071,68.6869,69.3069,84.1584,42.8571,27.2727
7992.1,49300,51300,50300,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087521.597,,,,,,,,,,63.3663,60.6061,57.5758,78,48.5149,28
8992.38,49300,51100,50500,48700,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087529.808,,,,,,,,,,62.6263,61,60.6061,77,50,31
9992.64,49900,51300,50700,49100,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087538.012,,,,,,,,,,70.297,67,69.3069,85.8586,41.8367,33.3333
10992,49700,51500,50900,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.64,4087546.219,,,,,,,,,,66,58,65.6566,85,41.4141,28
11992,50300,52800,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087554.294,,,,,,,,,,68,68.6869,67.6768,85,53.9216,40.5941
12992.2,50100,51700,51100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087562.931,,,,,,,,,,63,67.6768,61.6162,85,45.9184,31
13992.8,50500,52500,51300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087571.346,,,,,,,,,,70.7071,69,69.3069,85.1485,46.4646,27.2727
14993,50500,52100,51500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087579.720,,,,,,,,,,67.3267,65,61.6162,82.8283,44,27.2727
15992.8,50100,52300,51500,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087587.906,,,,,,,,,,59,57.5758,57,73,50,27.7228
16993,50900,52500,51500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087596.140,,,,,,,,,,69.697,69,68.6869,85.1485,45.9184,37.6238
17992.3,50900,51500,51500,49700,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087604.328,,,,,,,,,,69.3069,59,69.3069,85,40.404,27.2727
18992,50900,53000,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087612.501,,,,,,,,,,68,66,65.6566,85.7143,50.5051,36.3636
19992.7,50900,52600,51700,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4087621.125,,,,,,,,,,60.6061,67.6768,60,85.2941,46,32.6733
20992.5,51700,53200,52100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.63,4087629.480,,,,,,,,,,70,68.6869,69,84.8485,50.5051,30.303
