# Started at: 2022-05-28 18:25:57 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_4.json-ILP-SM-I.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_4.json-ILP-SM-I.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13515,48500,49900,50100,48300,48700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,50,0,0,0,0,0
993.609,49300,51100,50100,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.56,4580152.481,,,,,,,,,,78.5714,60.6061,68.6869,54.0816,30.303,16.4948
1993.43,49300,50700,50300,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580160.687,,,,,,,,,,95,79.2079,85.1485,71.5686,40.404,19.802
2993.98,49500,50300,50100,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580168.718,,,,,,,,,,96.9697,79.798,85.8586,71.4286,31.3131,19
3993.53,48900,50300,49900,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580176.729,,,,,,,,,,96,70,79,60.6061,31.3131,20.202
4993.9,49500,51700,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580184.959,,,,,,,,,,95.9596,79.798,85.8586,71.7172,43.5644,31.6832
5993.81,49700,50900,50100,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580193.341,,,,,,,,,,97,77,82,72.2772,31.3131,19.1919
6993.25,49700,50700,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580201.388,,,,,,,,,,95.0495,79,85,61,30.6122,19
7993.99,49700,51900,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580209.649,,,,,,,,,,94.898,77.2277,85.8586,67,39.604,25.7426
8993.51,49700,51300,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580217.827,,,,,,,,,,95,78,85.1485,70.4082,38.3838,18.3673
9994.1,49700,51100,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580225.928,,,,,,,,,,95.9596,79.798,86,73.2673,33.3333,19
10994.3,49700,50700,50500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.57,4580233.851,,,,,,,,,,96.0784,73.2673,82,62.6263,31.3131,20
11993.4,49900,52100,50500,49300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580242.117,,,,,,,,,,96.9388,76.7677,82.1782,69,40,27.2727
12994,50300,51700,50700,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580250.406,,,,,,,,,,96,80,86,72.449,35,23.7624
13994.2,50100,51300,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580258.541,,,,,,,,,,96,75.2475,81,65,30.6122,18.3673
14993.5,50100,51700,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580266.677,,,,,,,,,,94.9495,77.7778,85.8586,63.6364,34.3434,23
15994.2,50500,51900,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580272.842,,,,,,,,,,94.0594,77.2277,85,70.7071,39.604,20.202
16993.9,50500,52100,51300,49700,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580280.993,,,,,,,,,,96.9388,80.198,86,73,37.3737,20
17994.1,50500,51500,51300,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580289.311,,,,,,,,,,96,76.7677,85.8586,67,31.3131,19.802
18993.6,50500,52300,51300,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580297.345,,,,,,,,,,96,73,79,64.6465,36,24.2424
19994,50500,53000,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580305.369,,,,,,,,,,96,80,86.1386,71.7172,39,27
20994,50900,51900,51700,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.57,4580313.543,,,,,,,,,,96.0396,76,80.198,70,31.3131,19.1919
21993.4,50900,51900,52100,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580321.982,,,,,,,,,,95.9184,77.551,85.8586,60.6061,31.3131,19
22993.2,51300,53000,51900,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580330.069,,,,,,,,,,95,78.2178,86.1386,71.7172,38.3838,25
23993.3,51100,52300,51700,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580338.320,,,,,,,,,,95,79.2079,84.8485,70.4082,42,19.802
24993.5,51300,52100,52100,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580346.576,,,,,,,,,,95.9596,80,86,71.2871,31,19.1919
25993.8,50900,51900,51700,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580354.723,,,,,,,,,,97,69.697,79,61,31.6327,19.1919
26993.5,51500,53200,51900,50100,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580362.708,,,,,,,,,,95.9596,80.198,86,72.449,42.4242,31
27993.3,51300,52600,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580370.947,,,,,,,,,,96.0396,76.7677,81.8182,72.2772,31.3131,20
28993.7,51300,52300,52300,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580379.399,,,,,,,,,,95.9596,78.2178,84.1584,61.2245,31,19.802
29993.6,51500,53200,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580387.499,,,,,,,,,,95,78,86,67,38.3838,24.2424
30994.2,51700,52800,52500,50900,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.603,4580395.715,,,,,,,,,,94.9495,77.2277,85,70.7071,38.3838,19.1919
31994,52100,52600,52500,50900,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580403.955,,,,,,,,,,96,80.6122,86.1386,73,35,19
32993.7,51500,52500,52500,50700,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580412.096,,,,,,,,,,96,73.2673,82,63.6364,31.6832,18.3673
33994.2,51700,53800,52500,50900,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580420.097,,,,,,,,,,96.9697,76,83,68.3168,40,28
34994,52300,54200,52800,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580428.377,,,,,,,,,,96.0396,80,85.8586,72.449,34.6939,23
35994.2,51700,53000,52800,51100,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580436.749,,,,,,,,,,95.9184,75.7576,80.198,65,31,20
36993.2,51700,52600,52600,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580444.944,,,,,,,,,,94,77.2277,86,63.6364,34.3434,22.2222
37994.1,52100,53400,52800,51100,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580453.113,,,,,,,,,,95,78,85.8586,71,38.3838,22.2222
38993.9,52100,53000,52800,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580461.503,,,,,,,,,,96,80,86,72.449,38.3838,19.802
39994,52100,53000,52800,51100,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580469.593,,,,,,,,,,96.9697,77.2277,85.1485,67.3267,31,19.1919
40993.7,51900,52600,52800,50900,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.646,4580477.674,,,,,,,,,,96,72.7273,79,64.6465,36.3636,24.7525
41993.6,52500,54600,53000,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580485.870,,,,,,,,,,95.9596,80,85.8586,71.7172,38.3838,27.7228
42993.7,52100,53400,53200,51300,51900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580494.355,,,,,,,,,,96.0396,75.7576,81,70,32,19
43993.5,52500,53400,53200,51700,51900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580502.487,,,,,,,,,,95,77.2277,86.1386,61,30.303,19.1919
44993.9,52300,54400,53200,51700,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580510.669,,,,,,,,,,95.9596,79,86,71,39.3939,25
45993.6,52500,53800,53400,51500,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580518.974,,,,,,,,,,94.9495,78.7879,84.8485,71.134,41,18.3673
46993.9,52500,53400,53200,51500,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580527.180,,,,,,,,,,96.0396,80.3922,86,71.2871,31.3131,19
47993.9,52500,53400,53200,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580535.211,,,,,,,,,,96.9388,69,78.2178,60.6061,32.6733,20.202
48993.3,52600,54600,53400,51700,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580543.465,,,,,,,,,,96,79.798,86,72.449,42.4242,31.6832
49993.5,52800,54000,53400,51900,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580551.902,,,,,,,,,,96.0396,77.2277,81.8182,72.2772,31.3131,19.1919
50993.5,52500,53600,53200,51700,51900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.656,4580560.161,,,,,,,,,,95.9596,78.7879,85,61.6162,30.303,19.802
51993.4,52500,54400,53600,51700,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580568.462,,,,,,,,,,94.9495,77.7778,86,67,39,24.2424
52994.3,52800,54200,53800,51900,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580576.817,,,,,,,,,,94,77,84.8485,71.4286,38.3838,19.1919
53993.9,52800,53800,53600,51700,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580584.936,,,,,,,,,,96.9697,80.3922,86.2745,72.2772,33.6735,19
54993.9,52800,53800,53600,51700,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580593.042,,,,,,,,,,96,73,81.8182,62.6263,31.6832,19.1919
55994.2,52800,54600,53600,51900,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580601.223,,,,,,,,,,96.0396,76.7677,83,68.6869,40.404,28
56994.1,53200,54600,54000,52500,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580609.742,,,,,,,,,,96.9697,80.198,85.1485,72.449,35,23
57994.3,53000,54000,54000,52100,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580617.893,,,,,,,,,,95.9596,75.7576,81,65,30.303,19
58993.7,53000,53800,54000,52100,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580626.049,,,,,,,,,,94,77,85.8586,64,35.3535,23.7624
59994.3,53200,54600,54000,52500,52600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580634.507,,,,,,,,,,94.9495,77.7778,85,71.4286,37.7551,21.2121
60993.6,53200,54200,54000,52100,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.667,4580642.622,,,,,,,,,,96,80.198,86.1386,72,38.6139,20
61993.6,53400,54200,53800,52100,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580650.705,,,,,,,,,,97,77,85.8586,67.3267,31.3131,18.1818
62994.1,53000,54200,53800,52100,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580658.876,,,,,,,,,,96,72.7273,78.7879,64.6465,36,24
63994.2,53200,55000,54000,52500,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580665.191,,,,,,,,,,95.9596,80.3922,86.1386,72.449,39,27.2727
64994.3,53600,54600,54200,52600,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580673.369,,,,,,,,,,96.0784,74.7475,80.198,69.3069,30.6122,19
65994.1,53200,54600,54200,52500,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580681.919,,,,,,,,,,94.898,78,86,60.6061,31,19
66993.8,53200,54600,54200,52500,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580690.154,,,,,,,,,,95.9596,78.7879,86,71,39.3939,25.2525
67994.1,53600,55000,54400,52500,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580698.297,,,,,,,,,,95,78.2178,85.1485,71.4286,40.404,19
68993.4,53400,54600,54400,52500,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580706.748,,,,,,,,,,95.9596,81,85.8586,71.2871,31.3131,18.1818
69993.5,53200,54400,54400,52500,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580714.883,,,,,,,,,,96.0396,69,79,60.2041,32,20.7921
70993.8,53600,56000,54400,52300,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.688,4580723.032,,,,,,,,,,96.9388,80.198,86.1386,72.2772,43.5644,32
71994.2,53600,54800,54400,52800,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580731.192,,,,,,,,,,96.0784,76.7677,81.8182,72.1649,31.3131,19
72993.8,53600,54800,54400,52500,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580739.751,,,,,,,,,,95.9184,79,83.8384,62,30.303,19.1919
73993.9,53600,55800,54400,52600,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580747.920,,,,,,,,,,95.0495,77,86.1386,68,39,24.2424
74993.8,53800,55200,54600,52800,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580756.143,,,,,,,,,,94,78,85.8586,70.7071,38.3838,19
75993.7,53600,54600,54600,52600,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580764.535,,,,,,,,,,96.9388,80,86,72.2772,34.3434,19.1919
76994.2,53600,55000,54800,52600,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580772.776,,,,,,,,,,96,73,82.1782,63.6364,31.3131,19
77993.6,53600,56200,54400,52800,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580780.858,,,,,,,,,,96,77,82.1782,68.6869,39.3939,28
78993.3,54000,55600,55000,53200,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580789.132,,,,,,,,,,97,80,85.8586,71.7172,35.6436,25.4902
79994.1,53800,55000,54600,52800,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580797.720,,,,,,,,,,95,75,80.8081,66,31.3131,19
80993.6,53600,56000,54800,52600,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.71,4580805.877,,,,,,,,,,94.9495,78,86,63.6364,34.3434,22.2222
81993.9,54200,55400,54800,53000,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580814.116,,,,,,,,,,94.9495,78,85,70.7071,38.3838,21.7822
82994.2,54200,55600,55200,52800,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580822.479,,,,,,,,,,96,79.798,86,71.7172,38.3838,19.1919
83993.9,54000,54800,54800,52800,53000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580830.693,,,,,,,,,,96.0396,77.2277,86,68.3168,31,19
84993.4,54000,56000,54800,53000,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580838.766,,,,,,,,,,96.9388,72.549,79,64.6465,35.3535,23.2323
85994.1,54000,56600,55000,53200,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580847.003,,,,,,,,,,96,79.5918,85.8586,71.7172,39.3939,27.2727
86993.6,54400,55400,55200,53200,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580855.506,,,,,,,,,,96,76,80.3922,69.697,32,19
87994,54000,55000,54800,52800,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580863.777,,,,,,,,,,95,78,85.8586,60.396,31,19
88993.5,54400,55800,55000,53200,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580871.945,,,,,,,,,,96,78,86.1386,71.4286,39.3939,24.4898
89993.5,54400,56000,55200,53200,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580880.439,,,,,,,,,,94.9495,79,85,70.7071,41,19.802
90993.6,54400,55200,55200,52800,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.721,4580888.599,,,,,,,,,,96,80,85.8586,71.7172,31.3131,19
91994,54000,55000,55000,53000,52800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580896.741,,,,,,,,,,96.9697,70,79.2079,61.3861,31.3131,20.202
92993.5,54000,56800,55200,53600,53200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580904.878,,,,,,,,,,96,80.198,85.8586,71.7172,42.4242,31
93994.1,54600,55800,55200,53600,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580913.479,,,,,,,,,,96.0396,76.7677,82,72,31.3131,19
94993.8,54400,55400,55200,53200,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580921.677,,,,,,,,,,95.9184,79,84,62,31.6832,19.1919
95993.4,54200,56400,55200,53200,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580929.902,,,,,,,,,,94.9495,77,86.1386,67.6768,38.3838,24.2424
96993.8,54600,56000,55400,53600,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580938.324,,,,,,,,,,95.0495,78,84.8485,70.7071,38.3838,19
97994.2,54600,55800,55600,53600,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580946.523,,,,,,,,,,96,80.198,86,71.7172,35,19.1919
98994.1,54400,55200,55200,53200,53400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580954.636,,,,,,,,,,96,73,82.1782,64,30.303,20
99993.5,54400,56800,55400,53600,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580962.854,,,,,,,,,,96.9697,76.7677,83,69,39.7959,28
100993,54600,56400,55600,53800,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.753,4580971.373,,,,,,,,,,95.9596,79.798,86,71.7172,35,23.7624
101993,54400,55400,55600,53600,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580979.636,,,,,,,,,,96,75.7282,79.798,65.6566,32,19.1919
102994,54400,55800,55200,53200,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580987.757,,,,,,,,,,95,77.551,86.1386,63.6364,35,22.2222
103994,54800,56200,55600,53800,53800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4580996.281,,,,,,,,,,94,77.2277,85.8586,70.7071,38.3838,21
104994,54800,56200,55600,53800,53800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4581004.429,,,,,,,,,,96.9697,80,85.8586,72.2772,38.3838,20
105993,54600,55800,55600,53600,53600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4581012.571,,,,,,,,,,96.0396,76.7677,86.1386,67.6768,30.303,19
106993,54400,56200,55400,53600,53800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4581020.659,,,,,,,,,,96,73.2673,78,65,36,24
107993,54800,57400,55600,54000,54000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4581029.314,,,,,,,,,,96.9388,79.798,86.1386,71.7172,38.7755,27.2727
