# Started at: 2022-05-28 17:55:42 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_4.json-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_4.json-ILP-IDLE-MIN.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11753,47900,49100,49100,47500,48100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,0,0,0,0
993.587,48900,50300,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.581,4564111.067,,,,,,,,,,66.3265,76.2376,73,54.5455,25.7732,33.3333
1993.63,49300,51500,49900,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564119.700,,,,,,,,,,80.8081,89.899,87.1287,67.6471,45,55
2993.59,48900,49900,49700,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564128.574,,,,,,,,,,83.1683,92.0792,90.9091,70.4082,35,43
3993.82,49100,49900,50100,47900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564137.121,,,,,,,,,,82.8283,92,90,63.7255,35,42.4242
4993.77,48900,49900,49900,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564145.713,,,,,,,,,,74,91.9192,90.099,60.6061,38,45.5446
5993.39,49300,50700,49900,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564154.387,,,,,,,,,,83,92.0792,90.099,70.297,43.4343,51.5152
6993.79,49300,50300,50100,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564163.188,,,,,,,,,,83,91,87.8788,63.6364,36.6337,44
7993.11,49700,51300,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564171.805,,,,,,,,,,81,92,89,69,43.4343,54
8993.9,49700,51500,50100,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564180.551,,,,,,,,,,77,85.8586,84,63.6364,47.5248,54
9993.88,49700,50900,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564189.294,,,,,,,,,,82.8283,92.9293,90.1961,70.5882,36.3636,48
10993.6,49700,50700,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.592,4564197.868,,,,,,,,,,83.1683,92,90,67.3267,35,42
11993.7,49700,50700,50700,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564206.360,,,,,,,,,,75.2475,92.0792,91,57.5758,35,43
12993.8,50100,51700,50300,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564215.032,,,,,,,,,,81.8182,91.8367,89.899,70,46.5347,53.5354
13993.4,50100,51300,51100,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564223.798,,,,,,,,,,82.8283,91.9192,90.099,66,34.6939,45
14993.5,50300,51700,51100,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564232.400,,,,,,,,,,83.1683,91.0891,88.1188,66.6667,44.5545,51.4851
15993.4,50100,52100,51500,49500,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564241.179,,,,,,,,,,74.7475,86,82.8283,63.7255,44,54
16993,50500,52100,51300,49500,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564249.941,,,,,,,,,,83,92,90,70,40,50.5051
17993.3,50700,51700,51500,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564258.544,,,,,,,,,,82.8283,92,90,69.697,35.3535,42.4242
18993.8,50900,51300,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564267.046,,,,,,,,,,79.4118,92.9293,90.099,59.596,35,43
19993,50900,52600,51900,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564275.760,,,,,,,,,,77.551,91.0891,90.9091,65,41.4141,49.505
20993.4,51100,52300,51900,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.613,4564284.462,,,,,,,,,,83.1683,92,90,70.5882,40,48.9796
21993.5,51300,52300,52100,50100,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564293.173,,,,,,,,,,82.8283,91.9192,88.1188,63,40,48
22993.5,50900,53000,52300,50500,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564299.676,,,,,,,,,,77.2277,88,85.2941,65,44.1176,53.4653
23993.5,51300,53400,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564308.391,,,,,,,,,,81,90,87.8788,67.6768,43.8776,54.5455
24993.5,51500,52600,52300,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564317.084,,,,,,,,,,82.8283,91.9192,90,70,35,43
25993.2,51700,52600,52500,50500,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564325.962,,,,,,,,,,82.8283,92.0792,90,63.6364,35,43
26993,51300,53000,52500,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564334.521,,,,,,,,,,74.5098,91.9192,90,61.7647,37.3737,44.4444
27993,51700,53200,52500,50900,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564343.123,,,,,,,,,,83,92,90.099,69.697,43.4343,53
28993.3,51700,52500,52300,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4564351.745,,,,,,,,,,82.6531,91,89,63,37,44
