# Started at: 2022-02-25 13:35:52 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/cpu//IN_4.json-ILP-IDLE-MIN.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/cpu//IN_4.json-ILP-IDLE-MIN.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09853,46600,47500,47500,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,50,0,50,0
994.611,47000,47700,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.683,35368.684,,,,,,,,,,13,20.202,46,74,15,15.8416
1994.55,46600,47700,47400,45800,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35375.803,,,,,,,,,,11,13.8614,14.1414,83.1683,13.1313,11
2994.71,46600,47500,47400,45800,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35381.252,,,,,,,,,,11,13.1313,15.8416,83.8384,12.8713,11
3994.57,46600,47400,47400,46200,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35388.409,,,,,,,,,,10.101,13.8614,15,83.8384,12,10.2041
4994.29,46600,47500,47500,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35395.474,,,,,,,,,,11.8812,13,15.6863,84,12,11
5994.14,46600,47700,47400,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35402.646,,,,,,,,,,10.101,13.1313,14.1414,84,12,11
6994.81,46600,47900,47500,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35409.717,,,,,,,,,,13,15.8416,17,86,12,11
7994.86,46600,47500,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35416.766,,,,,,,,,,13,15.1515,17,76,12,10.101
8994.44,46600,47500,47400,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35423.549,,,,,,,,,,13,15,17,39.3939,11.1111,11
9994.81,46600,47500,47400,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35430.272,,,,,,,,,,14.7059,16,16.1616,39.604,12,11
10995.2,46600,47500,47400,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.716,35437.082,,,,,,,,,,12.1212,15.8416,17,40,12,11
11994.7,46400,47900,47500,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35443.864,,,,,,,,,,13,15,17,39.3939,12,10.101
12994.9,46400,48300,47500,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35450.689,,,,,,,,,,12.8713,15.1515,16.8317,39.604,12,11
13994.5,46600,47700,47500,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35457.443,,,,,,,,,,13,15.8416,16.1616,39.3939,12,11
14994.6,46600,47900,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35464.262,,,,,,,,,,12.1212,16.8317,17,40.5941,12.8713,11
15994.8,47000,48300,47700,46000,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35471.025,,,,,,,,,,13,15,17,39,12,9
16995.2,46600,48100,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35477.845,,,,,,,,,,13,15.1515,17,40,12,9
17994.9,47000,48300,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35484.583,,,,,,,,,,13,15.8416,16.1616,39.604,12.8713,9.09091
18994.2,46600,47700,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35491.345,,,,,,,,,,12.1212,15.1515,17,39.3939,12,2.9703
19994.9,46600,47500,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35497.892,,,,,,,,,,13.8614,15.8416,17,40,12,0
20994.5,46800,47900,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.726,35504.524,,,,,,,,,,13,16,16.8317,40,12,0
21994.1,47000,47900,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35511.096,,,,,,,,,,12.1212,15,16.1616,41,12.1212,0
22994.2,46600,47900,47900,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35517.694,,,,,,,,,,13.8614,15.1515,17,42.5743,11.8812,0
23994.7,46600,47900,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35523.955,,,,,,,,,,13,15,17,41.4141,0,0
24994.8,46800,47500,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35530.289,,,,,,,,,,13,15.8416,17.8218,41.5842,0,0
25994.5,46600,47500,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35536.569,,,,,,,,,,13,15.1515,16.1616,41.4141,0,0
26994.8,46600,47700,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35542.911,,,,,,,,,,13,15.8416,17,41.5842,0,0
27994.2,46600,47700,47700,46400,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35549.177,,,,,,,,,,12.1212,15.1515,16.8317,42,0,0
28994.2,46800,47700,47700,46400,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35555.504,,,,,,,,,,12.8713,15.8416,17,41.4141,0,0
29995.1,46600,47700,47900,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35561.786,,,,,,,,,,14.7059,15.1515,17,41,0,0
30994.7,46800,47900,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.737,35567.976,,,,,,,,,,13,15,16.1616,26,0,0
31994.6,46600,47700,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35574.102,,,,,,,,,,13,15.1515,17,16,0,0
32995,46800,47700,47700,46400,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35580.179,,,,,,,,,,13,16.6667,14,16,0,0
33994.2,46600,47500,47700,46000,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35586.225,,,,,,,,,,12.1212,15,0,17,0,0
34994.6,46600,47700,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35592.214,,,,,,,,,,13,16.8317,0,16,0,0
35994.8,46600,47900,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35598.271,,,,,,,,,,13,15.8416,0,16,0,0
36994.8,46800,47900,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35604.272,,,,,,,,,,13,15.1515,0,17,0,0
37994.8,46600,47500,47700,45800,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35610.321,,,,,,,,,,13,15,0,16,0,0
38994.7,46600,47700,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35616.308,,,,,,,,,,12.8713,16.8317,0,16,0,0
39994.9,46800,47700,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35622.357,,,,,,,,,,13,15,0,17,0,0
40994.9,46600,47900,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.716,35628.406,,,,,,,,,,12.1212,15.8416,0,16,0,0
41994.1,46800,47900,47700,46000,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35634.420,,,,,,,,,,13,15.1515,0.990099,17.6471,0,0
42994.1,46600,47900,47700,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35640.449,,,,,,,,,,13.8614,15.8416,0,16.1616,1,0
43994.3,46800,47900,47900,46200,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35646.439,,,,,,,,,,13.8614,15.1515,1.96078,16,0,0
44994.2,47000,47900,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35652.434,,,,,,,,,,13,15.8416,0,16,0,0
45995,47000,47700,47900,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35658.480,,,,,,,,,,12.1212,15,0,17,0,0
46994.3,47200,47900,47900,46400,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35664.524,,,,,,,,,,12.8713,16,0,16.8317,0,0
47994.7,47200,47700,47700,46400,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35670.524,,,,,,,,,,13,15,0,16,0,0
48994.4,47000,47900,47700,46200,46200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35676.483,,,,,,,,,,13,15.1515,0,16,0,0
49994.5,47200,47900,47700,46000,46400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,35682.528,,,,,,,,,,12.1212,14,0,14.1414,0,0
50995.1,47000,47900,47700,46200,46600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.705,35688.482,,,,,,,,,,12,13,0,14.8515,0,0
