# Started at: 2022-05-28 18:56:10 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_4.json-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_4.json-ILP-SM-II.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11878,48700,49900,49900,48300,48900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,50,0,0,0,0,0
994.177,49300,49900,50100,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.817,4595154.564,,,,,,,,,,75.2577,61.2245,68.3673,56.5657,26.8041,21.7822
1994.46,49300,51100,49700,48500,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595162.395,,,,,,,,,,95,75.7576,82,68.6275,38.3838,24.2424
2994.46,49300,50100,49900,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595170.759,,,,,,,,,,95.9596,78.7879,85.8586,64,31.3131,19.1919
3994.01,49300,49900,49700,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595178.758,,,,,,,,,,94.9495,77.451,86.8687,64.6465,36,23.2323
4994.43,49700,50900,50100,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595187.223,,,,,,,,,,96.0784,79.798,86.1386,72.2772,39,28
5993.82,49700,50500,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595195.427,,,,,,,,,,95.9184,76,80,72.7273,34,20
6993.47,49700,50900,50500,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595203.544,,,,,,,,,,96,80,86.1386,70.7071,39,19.1919
7994.33,49500,50300,50300,48500,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595211.501,,,,,,,,,,96.9697,77.2277,86,67.3267,30.303,18.1818
8994.01,49500,51100,50500,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595219.420,,,,,,,,,,95,71.7172,78,64,35,24
9994.49,49700,50900,50500,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595227.702,,,,,,,,,,96,78.7879,85.8586,68,35.3535,21.7822
10993.8,49700,50900,50500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.806,4595235.761,,,,,,,,,,93.9394,77.2277,86.1386,61.2245,32,20.202
11993.5,50100,52300,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595244.097,,,,,,,,,,97,80,85.8586,72,42.4242,31
12994,50100,51100,50900,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595252.410,,,,,,,,,,95.9596,76.7677,81.1881,72,31.3131,19.1919
13994.5,50100,51700,50900,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595260.449,,,,,,,,,,96,79.2079,85,72.2772,41,18.1818
14994,50500,51100,50900,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595268.481,,,,,,,,,,96.0396,80.198,86,71.7172,31,21.5686
15994.3,50100,51100,50900,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595276.355,,,,,,,,,,95.9184,68.6869,78,60.396,31.3131,19.1919
16993.9,50500,52300,51100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595284.700,,,,,,,,,,95.0495,78,85.8586,72,39.604,26.7327
17994.3,50500,51500,51300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4595292.743,,,,,,,,,,96,80.198,86.1386,59.596,31.3131,19
