# Started at: 2022-05-28 20:26:55 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_5.json-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_5.json-ILP-IDLE-MAX.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.43066,48500,49500,49700,48100,48900,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,50,0,0,0,33.3333,33.3333
993.07,48700,51100,49900,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.914,4641784.053,,,,,,,,,,10.2041,8,1.0101,6.06061,77.3196,68.6869
1993.24,48900,51700,49900,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641792.951,,,,,,,,,,10.8911,9.09091,0,0,94,92
2992.98,48900,51900,50100,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641802.015,,,,,,,,,,9,9,0.990099,0,97.9798,95.9596
3993.46,49100,51900,50100,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641811.173,,,,,,,,,,9.09091,10,1,0,97.0297,96.9697
4993.57,49300,51900,50300,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641820.264,,,,,,,,,,9,9,0,0,98,96.0396
5993.53,49300,52300,50300,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641829.396,,,,,,,,,,10,10,0.990099,0,97,96
6993.01,49500,52100,50500,48900,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641838.438,,,,,,,,,,9,9,1,0,98,96
7993.34,49500,52300,50700,49100,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641847.562,,,,,,,,,,9.09091,9.09091,0,0,98,97.0297
8992.68,49700,52500,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641856.584,,,,,,,,,,8.08081,9.09091,0,0,97.0297,96.0396
9993.6,50100,52500,50900,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641865.777,,,,,,,,,,10.7843,9.90099,1,0,97.9798,96.9697
10992.9,50100,52300,51100,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.892,4641874.869,,,,,,,,,,9.09091,10,1,0,97,95.9596
11992.6,50500,52600,51300,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641884.070,,,,,,,,,,9,9,0,0,97.9798,96
12993.5,50500,52800,51300,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641893.203,,,,,,,,,,9,9.09091,0,0,97,96
13992.6,50500,53400,51700,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641902.418,,,,,,,,,,10,9.90099,0,0,98,95.9596
14993.4,50500,53400,51300,50300,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641911.484,,,,,,,,,,9.90099,9.09091,0,0,98,96
15992.7,50900,53200,51700,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641920.531,,,,,,,,,,8.08081,9.90099,2.94118,0,97,96
16992.8,50900,53600,51900,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641929.689,,,,,,,,,,9.09091,10,0,0,97.9592,96.0396
17993.2,50900,53600,51900,50700,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641938.766,,,,,,,,,,10.7843,9.90099,0,1,97,95.9596
18992.7,50900,53600,52100,50700,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641947.927,,,,,,,,,,9.09091,8.16327,1,0,98.0198,96.0396
19993.2,51100,53800,52100,50900,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641954.701,,,,,,,,,,9,10,0,0,96.9697,96.9697
20993.6,51300,53800,52300,50900,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.839,4641963.877,,,,,,,,,,9,9,1,0,98.0198,96.0784
21993.5,51500,54400,52600,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641972.971,,,,,,,,,,10.8911,10,0.990099,0.990099,97.0297,95.9596
22992.6,51700,54200,52600,51100,51900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641982.171,,,,,,,,,,8.08081,8.08081,1,0,97.9798,96.0396
23992.8,51900,54400,52600,51300,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4641991.251,,,,,,,,,,9.09091,10.8911,0,0.990099,97,95.9596
24992.8,51900,54400,52800,51500,52100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4642000.450,,,,,,,,,,9,9.90099,0,0,97.9798,96.0396
25993.5,52100,54600,53000,51500,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4642009.546,,,,,,,,,,9.90099,9.09091,0,0,98,95.9596
26993.6,52500,54600,53000,51500,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4642018.749,,,,,,,,,,8,7,0,2.91262,97.0297,96
27993.2,52100,54800,52800,51900,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4642027.910,,,,,,,,,,6,6.06061,0,0,97.9592,95.9596
28993.1,52100,54600,53200,51900,52300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4642037.082,,,,,,,,,,6.06061,6,0,1,97.0588,96.0396
29993.5,52100,54800,53200,52100,52500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4642046.312,,,,,,,,,,9,9,0,0.990099,97.9798,96.9697
30993.1,52500,55000,53400,52100,52600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.839,4642055.462,,,,,,,,,,9,9,0.990099,0,97.9798,96.0396
