# Started at: 2022-02-25 15:37:21 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --fan-cmd=fan --fan-on=0 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/measurements/imx8a/cpu//IN_5.json-ILP-IDLE-MAX.out.yaml.csv -- demos-sched -p per_process -c /root/JSA/solutions/imx8a/cpu//IN_5.json-ILP-IDLE-MAX.out.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.08265,47400,48100,48100,46600,46800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,0,0,0,0,0,0
993.846,47400,49900,48500,47000,47000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.67,78551.092,,,,,,,,,,5,10.101,4.0404,6,44.5545,39.3939
1994.32,47400,49700,48300,47200,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78558.899,,,,,,,,,,0,13,0,0,48,52
2993.88,47400,49900,48500,47000,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78567.094,,,,,,,,,,0,12,0,0,51.0204,53.5354
3994.12,47500,49900,48300,47200,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78575.260,,,,,,,,,,0,14,0,0,51,52.4752
4994.42,47500,49900,48300,47000,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78583.500,,,,,,,,,,0.990099,15.8416,0,0,52,50
5994.06,47700,49700,48500,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78591.651,,,,,,,,,,1,15.1515,0,0,52,50.5051
6993.9,47500,49700,48300,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78599.492,,,,,,,,,,0.990099,15,0,0,52,37.3737
7994.05,47500,49900,48500,47200,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78607.206,,,,,,,,,,0,14,0,0,52,37.6238
8993.81,47700,49900,48700,47400,47500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78615.025,,,,,,,,,,0,12.8713,0,0,49,37.3737
9994.22,47700,49100,48500,47500,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78622.771,,,,,,,,,,0,12.1212,0,0,49,37.3737
10994.2,47900,49100,48500,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.659,78630.577,,,,,,,,,,1,12,0,0,49,38.2353
11994.4,47700,48900,48900,47200,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78638.119,,,,,,,,,,0,12.8713,0,0,40,37.3737
12994.8,47700,48900,48900,47200,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78645.558,,,,,,,,,,0,12.1212,0,0,35,37
13994.8,47900,49100,48700,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78653.036,,,,,,,,,,1,12,0,0.990099,36.3636,38
14994.4,48100,49100,48900,47200,47200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78660.453,,,,,,,,,,0,12.8713,0,0,35.3535,37.3737
15994.2,47700,49300,48900,47500,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78667.918,,,,,,,,,,0,12.1212,0,0,36.8932,37
16994.8,47900,49100,48900,47400,47200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78675.332,,,,,,,,,,0.990099,12.8713,0,0,35.3535,37.3737
17994.8,47900,49300,49100,47400,47400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,78682.818,,,,,,,,,,0,12,0,0,36,37.6238
