# Started at: 2022-05-28 22:58:11 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_6.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_6.json-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11015,48100,49300,49500,48100,48500,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,0,0
992.857,48900,50900,49900,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.238,4720677.495,,,,,,,,,,76.5306,79,61,71.7172,21.7822,26.2626
1992.98,49100,51100,49500,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720685.886,,,,,,,,,,89.1089,85.1485,64.2857,85,28.2828,35.6436
2992.6,49300,50500,49900,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720694.623,,,,,,,,,,87.7551,84.8485,64.7059,84,30.303,36.7347
3991.98,48500,50700,49300,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720703.267,,,,,,,,,,86,84,63.6364,81.8182,33.6634,39.604
4992.68,48700,50900,49500,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720711.785,,,,,,,,,,86.1386,84.8485,64.6465,82.8283,32.3232,38.7755
5992.36,49300,51100,49900,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720720.323,,,,,,,,,,89,88,67.3267,84.8485,33.6634,39.604
6992.32,49300,51700,49900,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720728.998,,,,,,,,,,89,87,67.3267,85.2941,33.3333,39.3939
7992.35,49500,51700,50300,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720737.627,,,,,,,,,,88.8889,87.8788,66.6667,84.8485,32.3232,38.3838
8992.73,49500,51900,50300,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720746.373,,,,,,,,,,89,87.2549,67,85,31,37
9992.25,49900,51100,50300,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720755.022,,,,,,,,,,88.8889,87,67,85.1485,30,36.6337
10992.3,49700,51100,50700,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.217,4720763.695,,,,,,,,,,89.1089,88,67.3267,84.8485,30,37.6238
11992.3,50300,51500,50700,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720772.292,,,,,,,,,,89,87,67.3469,84.8485,30,36.3636
12992.4,50100,51500,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720780.954,,,,,,,,,,89,88,67.3267,85.1485,30,35.3535
13992.1,50500,51100,51100,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720789.548,,,,,,,,,,88.8889,87,67.3267,84.8485,31,37
14992.1,50500,51500,51300,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4720798.216,,,,,,,,,,89.1089,87.8788,67,85,30,36.3636
