# Started at: 2022-05-28 23:58:44 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_6.json-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_6.json-ILP-IDLE-MIN.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1354,48100,49100,49300,47700,47900,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,50,0,0,0,0
993.281,48700,50700,49300,48100,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.109,4754090.478,,,,,,,,,,81,79.798,70,76.2376,24.7423,26
1993.45,48900,50700,49700,47700,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754098.887,,,,,,,,,,92,95,75.7576,86.8687,32.6733,29.2929
2992.82,48900,49900,49700,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754107.326,,,,,,,,,,92,94,74,87,33,32
3993.31,49100,50100,49700,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754115.875,,,,,,,,,,89,93,73.2673,85,36,34
4993.23,49100,50100,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754124.299,,,,,,,,,,90,91.1765,74.2574,84.3137,36,35.6436
5993.46,48900,50900,49900,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754132.802,,,,,,,,,,91.8367,94.9495,76.7677,87.7551,36,35
6993.23,49100,51100,49700,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754141.202,,,,,,,,,,93.0693,94.9495,76,87.1287,37,34.3434
7993.48,49300,51500,50100,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754149.804,,,,,,,,,,92,94.0594,77.2277,87.8788,34,32.6733
8993.43,49500,51500,50100,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754158.298,,,,,,,,,,92.0792,95,76.7677,87.1287,34.6535,31.3131
9993.45,49700,50700,50100,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754166.921,,,,,,,,,,93,94.9495,76.2376,87.8788,33,32
10993.5,49700,50700,50500,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.109,4754175.452,,,,,,,,,,92,95.0495,76.7677,87.2549,33.3333,31.3131
11993.1,50100,51100,50700,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754183.899,,,,,,,,,,92.8571,94.0594,76.2376,87.8788,34.6535,32.6733
12993,49700,50900,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754192.452,,,,,,,,,,92,95,76.7677,87,33,31.3131
13992.6,50100,51100,50500,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754200.922,,,,,,,,,,92.233,95,77,88,34,32
14992.7,50100,51100,50900,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754209.483,,,,,,,,,,92.9293,94,76.2376,87.1287,33,32.6733
15993.4,50500,51100,50900,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754217.959,,,,,,,,,,92,95,77,87.8788,33.3333,32
16992.6,50500,51500,51300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4754226.532,,,,,,,,,,92.9293,95,74,88.1188,34,31.3131
