# Started at: 2022-05-29 00:59:10 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8a/cpu//IN_6.json-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8a/cpu//IN_6.json-ILP-SM-II.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1269,48500,49700,49700,48100,48500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,50,0,0,0
993.491,49300,50300,49900,48100,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,79.5918,79.5918,69.3069,65.3061,30.303,21.2121
1992.93,49300,50100,49900,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.024,4784817.533,,,,,,,,,,91,95,78,81,35.6436,22.7723
2993.79,48900,50100,49700,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784825.647,,,,,,,,,,90.099,95.0495,76,81,35.3535,21
3993.12,48900,49900,49500,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784833.707,,,,,,,,,,88.2353,95.9596,76.2376,81,35,22
4993.02,48900,49900,49700,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784841.845,,,,,,,,,,89,94,77,78.4314,37,23
5993.49,48900,50100,49900,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784849.871,,,,,,,,,,90.9091,95,79.2079,78.7879,38,25
6993.16,48900,51500,49700,47900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784857.806,,,,,,,,,,91,95.0495,78.7879,77.551,38.3838,23.2323
7993.75,49300,51700,50100,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784865.994,,,,,,,,,,90.9091,93.9394,78.2178,78.4314,38,22
8993.73,49300,51500,50100,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784874.086,,,,,,,,,,90,93,76.2376,77.551,38,22
9993.82,49700,51900,50500,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784882.104,,,,,,,,,,91,95,79,81,39,21.7822
10993.5,49700,51700,50700,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784890.350,,,,,,,,,,91.0891,95,79,81,38,21.2121
11992.8,49700,51700,50300,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.013,4784898.545,,,,,,,,,,90.9091,95,78.7879,81,38.3838,22
12993.4,49700,51500,50500,48700,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784906.757,,,,,,,,,,90.9091,95,78.2178,81.1881,38.6139,22
13993.9,49700,51300,50500,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784914.837,,,,,,,,,,90.1961,96,79.2079,80.8081,38.6139,21.2121
14993.8,49900,51500,50700,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784922.966,,,,,,,,,,90.9091,95,76.2376,81.6327,35.3535,21.2121
15993.8,50100,51500,50900,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784931.024,,,,,,,,,,90,95,76.7677,79.2079,35,22
16993.3,50100,51500,50700,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784939.163,,,,,,,,,,91.0891,95.098,78.7879,81.1881,35.3535,21
17993.1,50100,51100,51100,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784947.301,,,,,,,,,,90.9091,95,79,81.8182,35,22.7723
18993.5,50500,51300,50900,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784955.330,,,,,,,,,,91.0891,94.9495,79.2079,80.8081,35.3535,22
19993.7,50100,51100,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784963.391,,,,,,,,,,90.099,95.9596,79.2079,81,35.6436,21.7822
20993.5,50300,51300,51300,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784971.448,,,,,,,,,,90.9091,95,78.2178,81.1881,35.6436,22
21993,50900,51500,51100,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.002,4784979.580,,,,,,,,,,91,95.0495,79,80.8081,35.3535,22
22993.5,50500,51300,51300,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784987.624,,,,,,,,,,91.0891,95,78.7879,81,35,21.2121
23993.2,50500,51500,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4784995.730,,,,,,,,,,91,95.0495,79,81,35.3535,21.7822
24993.8,50500,51500,51300,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785003.788,,,,,,,,,,91.0891,94.9495,77,80,35,21.2121
25993.5,50700,51700,51500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785011.841,,,,,,,,,,90,95.9596,77,79,36.3636,23
26993.8,50700,51500,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785019.934,,,,,,,,,,91,95.0495,78.4314,81,38.6139,24.2424
27993.9,50900,52600,51700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785028.032,,,,,,,,,,90.8163,95,78.7879,81.6327,39,25
28993.4,50900,52600,51700,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785036.171,,,,,,,,,,90.1961,95.0495,79,81.1881,35.3535,24
29993.5,51100,52600,52100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785044.421,,,,,,,,,,90.9091,95,79.2079,81,35,24.2424
30993,50900,52300,51700,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785052.545,,,,,,,,,,91,96,79,81,35.3535,23
31992.9,51300,52500,51900,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.991,4785060.746,,,,,,,,,,91,94.9495,78.7879,80.8081,36.8932,21.2121
32993.7,51300,52500,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785068.853,,,,,,,,,,91,95,79,81.1881,35.3535,22.7723
33993.1,51300,52300,52100,50100,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785077.027,,,,,,,,,,90.9091,95.0495,78.4314,80.8081,35,22
34993.2,51300,52300,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785085.093,,,,,,,,,,91.0891,95,76,81.1881,34.3434,21
35993.4,51300,52300,52100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785093.227,,,,,,,,,,88,95.0495,76,80.6122,36,22.7723
36993.9,51300,52500,52500,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785101.325,,,,,,,,,,89,94.898,76,79,35,21.2121
37993.8,51300,52500,52500,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785109.351,,,,,,,,,,90,95.0495,79.2079,78.7879,39,24.2424
38993.2,51100,53800,52500,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785117.665,,,,,,,,,,91,95,78.7879,78,38.3838,25
39992.9,51300,53600,52300,50700,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785125.879,,,,,,,,,,91,94.9495,79,79,38,22.7723
40993.3,51300,53800,52500,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785134.143,,,,,,,,,,90.9091,93,76.4706,78,38.3838,21.2121
41993.5,51300,53600,52500,50700,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,22.991,4785142.276,,,,,,,,,,90.099,94,77.7778,80,38.6139,21
42993.7,51700,53600,52500,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4785150.469,,,,,,,,,,90.9091,95.0495,79,80.8081,38.6139,22
