# Started at: 2022-06-07 15:31:52 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_1.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_1.json-QP-LR-UB.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11811,48700,48500,48500,47400,47700,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,0,0,0,0,33.3333,0
990.683,49500,49700,49100,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.924,579007.620,,,,,,,,,,68.75,64.2857,71.7172,33.6735,39.1753,26.7327
1377.08,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
1503.56,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1653.42,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1991.01,49700,49700,49300,48100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,579016.053,,,,,,,,,,88,71,77.7778,44.898,40,28.2828
2360.13,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2990.94,50300,49900,49500,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,579024.115,,,,,,,,,,93.0693,81.8182,86,48,40.404,25.2525
3216.63,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
3339.4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
3991.08,50300,49700,49900,48700,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,579032.052,,,,,,,,,,88.1188,76.4706,85,49.4949,43.1373,25.5102
4073.19,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
4294.36,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
4406.41,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4929.74,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
