# Started at: 2022-06-07 20:02:19 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_3.json-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_3.json-ILP-IDLE-MIN.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12998,49700,49500,49900,48700,49100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,25,33.3333,0,0,0,0
990.915,51500,50900,50500,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.158,706670.965,,,,,,,,,,64.5833,72.7273,74,77.3196,36.0825,29.703
1774.12,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
1990.63,51300,51100,50900,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706679.189,,,,,,,,,,85.2941,76,86,78.7879,45.5446,37
2991.2,51900,52100,51100,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706687.498,,,,,,,,,,86.7347,84.1584,92,88,52,41.4141
3763.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3990.71,51900,51700,51500,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706695.619,,,,,,,,,,87.8788,84,90,87,44.5545,35
4454.1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
4990.29,52100,51700,51500,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706703.819,,,,,,,,,,87,84.6939,91,87.8788,39.604,34
5375.97,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
5554.87,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
5990.9,52100,51900,51500,50300,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706710.072,,,,,,,,,,78.7879,79.2079,89.1089,87.2549,41.5842,35.9223
6991.01,52300,52500,51700,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706718.334,,,,,,,,,,86.8687,84.1584,90.9091,89.899,49,43.299
7147.74,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
7345.77,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
7991.72,52500,51900,51700,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706726.443,,,,,,,,,,86.1386,84,90,87.2549,40.5941,32.6733
8059.2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
8980.52,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
8991.15,52300,52300,51700,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706734.628,,,,,,,,,,83.8384,83.8384,89.7959,85.7143,45.4545,36.3636
9990.84,52500,52600,51900,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706742.723,,,,,,,,,,87,83.8384,90.1961,84,44,34.0206
10739.7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
10991.1,52500,52100,51900,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.169,706750.881,,,,,,,,,,85.8586,78,84.8485,80,45.5446,38.2353
11662.9,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
11990.6,52500,52500,51900,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706759.164,,,,,,,,,,87,84,91.0891,87,51.5464,42.4242
12584.4,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
12990.7,52600,52100,52100,50900,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706767.352,,,,,,,,,,86,84,89.899,86.8687,48.0769,34.3434
13657.6,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
13990.7,52500,52100,51900,50700,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706775.575,,,,,,,,,,86.8687,85,91.0891,87.8788,39.7959,33
14343.3,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
14990.3,52600,52100,52100,50700,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706783.795,,,,,,,,,,79.798,77.451,89,87.3786,42.1569,35.2941
15265,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
15990.7,52600,53200,52100,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706791.831,,,,,,,,,,86,85.8586,90.9091,87.8788,52.4752,43
16990.9,52600,52500,52100,50900,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706800.015,,,,,,,,,,86,84.6939,90,87,44,30.303
17947.7,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,
17991.3,52600,52800,51900,51100,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,706808.235,,,,,,,,,,83,84,91,85.7143,46.4646,37
18869.5,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
