# Started at: 2022-06-07 23:32:52 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_4.json-ILP-SM-I.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_4.json-ILP-SM-I.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13186,49500,49300,49500,48500,49100,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,0,0,0,0,0
989.768,50700,50100,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.351,809881.334,,,,,,,,,,61.2245,65.3465,56.5657,62.5,35.0515,28.7129
1990.23,50900,51300,50300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809889.241,,,,,,,,,,77.551,80.8081,67,76,47,37.3737
2990.47,51500,52300,50900,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809897.422,,,,,,,,,,80.3922,83,71,80,45,36
3990.61,51100,50900,50500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809905.246,,,,,,,,,,72.1649,75.7576,73.7374,80,37.7551,29.8969
4990.02,51500,51900,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809913.109,,,,,,,,,,78,80.198,70.7071,84,46.5347,42
5989.89,51500,51700,50900,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809918.956,,,,,,,,,,78.2178,82.1782,72.2772,79.798,41.8367,36.6337
6990.71,51500,51300,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809926.802,,,,,,,,,,77.7778,80,71.4286,79.2079,48.5149,36
7990.3,51500,50900,51100,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809934.723,,,,,,,,,,79,80.8081,64.3564,80,42,31
8989.79,51300,50900,50900,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809942.471,,,,,,,,,,78.7879,81.8182,61,70,38.3838,31
9990.41,51100,51500,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809950.277,,,,,,,,,,78.7879,81,68,74.2574,44.4444,36.7347
10989.8,51500,52500,50900,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.362,809957.971,,,,,,,,,,80.198,83,71.2871,82,45,36.3636
11989.8,51700,51300,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809965.905,,,,,,,,,,72.7273,76.2376,70.7071,80,38,30.6931
12990.1,51500,52100,51100,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809974.043,,,,,,,,,,77.2277,79.5918,70,80.8081,45.4545,39.3939
13989.9,51500,52600,50900,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809981.831,,,,,,,,,,79.798,81.1881,70.7071,82.8283,44.5545,35.7143
14990.4,51700,51500,51100,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809989.843,,,,,,,,,,76.7677,78.2178,70.297,79.798,44,37.6238
15990.3,51500,51100,50900,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,809997.550,,,,,,,,,,80,86,63.6364,83.1683,41.4141,31.3131
16990.3,51300,50900,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810005.469,,,,,,,,,,78,81,60,71,38,31.3131
17989.8,51500,50900,50700,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810013.229,,,,,,,,,,78.5714,82.8283,65,73.7374,43.4343,35.6436
18990.3,51900,51900,51300,49900,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810020.946,,,,,,,,,,80,82.1782,71,81.8182,46,38
19990.3,51500,51300,50900,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810029.103,,,,,,,,,,73.7374,78,73,80.198,41,29.2929
20990.8,51500,51700,51100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.351,810036.893,,,,,,,,,,77.2277,78,70,80,45.5446,44.2308
21990.5,51900,51700,51100,50100,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810044.727,,,,,,,,,,80,81.8182,73,79.798,45,36.3636
22990.4,51700,51700,51100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810052.696,,,,,,,,,,75.7576,78.2178,73,75,45.4545,34.3434
23990.1,51700,51300,51100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810060.454,,,,,,,,,,80.198,82.8283,63.6364,80,43.4343,31
24990.4,51500,51300,51100,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810068.370,,,,,,,,,,77.7778,79.2079,60.396,72.549,38.3838,29.5918
25990.7,50900,51700,50700,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810075.971,,,,,,,,,,78,82,65.6566,72.7273,43.1373,35.3535
26990.1,51500,52500,50700,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810083.795,,,,,,,,,,80,84.1584,70.297,80,47.4747,38.3838
27989.8,51900,51700,51300,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810091.869,,,,,,,,,,75.7576,79,70.7071,79.798,38.3838,32
28990.4,51500,52100,51100,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,810099.687,,,,,,,,,,76,76.7677,70.5882,80.198,43.4343,41
