# Started at: 2022-06-20 18:13:30 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_5-BB-LR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_5-BB-LR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11473,49900,50100,50100,48900,49300,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,0,0,0,0,0,0
906.432,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
989.697,50300,50500,49700,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.42,3787890.864,,,,,,,,,,69.3069,48.4536,63.3663,47,33,32.3232
1143.38,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
1832.25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1990.14,50300,50100,49700,48700,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787898.476,,,,,,,,,,85.7143,65.6566,61,49,38.6139,37
2101.2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2757.14,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
2989.51,50300,50100,50100,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787906.637,,,,,,,,,,85,62,59.596,50.495,38.3838,37.7551
3059.37,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
3682.27,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
3989.5,50100,49700,49900,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787914.698,,,,,,,,,,85.8586,66,62.3762,50.495,42,40.1961
4019.13,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
4607.84,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
4692.45,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
4977.88,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
4989.45,50300,50300,49900,48700,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787922.529,,,,,,,,,,87.1287,67,64.3564,54,45,42
5562.62,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
5647.9,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
5990.18,50500,50900,50100,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787930.387,,,,,,,,,,85,67.3267,71,50,43,40.404
6527.43,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
6990.26,50700,50900,49900,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787938.246,,,,,,,,,,85.8586,68,64,54,42.5743,39
7492.27,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
7989.21,50500,50500,50100,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787946.148,,,,,,,,,,82,68,64,51.9608,40,36.7347
8411.21,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
8498.08,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
8989.5,50100,49900,49700,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787954.078,,,,,,,,,,80,62.3762,64.6465,48.4848,39,37
9091.78,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
9422.69,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
9989.51,50100,50300,49900,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787962.114,,,,,,,,,,83.8384,63.6364,72.549,48.5149,42,41.5842
10388,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
10989.5,50300,50900,49900,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.399,3787970.035,,,,,,,,,,86,68.3168,63.6364,53.5354,43.5644,43.4343
11265.2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
11267.5,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
11277.3,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
11352.8,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
11990.1,50700,50900,49900,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787977.971,,,,,,,,,,85,68,65.3465,51.4851,44,38
12214.8,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
12299.6,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
12989.8,50700,50100,49700,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787985.957,,,,,,,,,,86,66,65.6566,46.5347,42,37
13484.9,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
13989.6,50500,50100,49700,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3787994.078,,,,,,,,,,85.1485,68,59.8039,48.4848,39,38
14442.3,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
14990,50300,50100,50100,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3788002.144,,,,,,,,,,86.8687,69,60.396,47.5248,38.6139,39.604
15413.3,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
15989.5,50100,49700,49700,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3788010.039,,,,,,,,,,85.1485,61,63,46.4646,38.3838,38
16011.2,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,
16012.3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
16021.7,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
16095.9,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,
16106.6,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
16976.3,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
16990.4,49900,50300,49700,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3788017.770,,,,,,,,,,86,67.6768,64,52.4752,42.5743,41.4141
17054.8,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,
17063.5,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
17989.5,49900,50900,49700,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3788025.681,,,,,,,,,,85.8586,67,63.6364,53,43.4343,42
18582.6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
18989.4,50300,51300,49700,48500,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3788033.714,,,,,,,,,,85,62.3762,64.3564,51,40.5941,43
19267.9,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
19807.8,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,
19887.4,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,
19989.5,50300,50100,49700,48500,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3788041.774,,,,,,,,,,84.3137,64.6465,61.6162,50,40,37
