# Started at: 2022-06-20 18:43:30 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_5-BB-SM.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_5-BB-SM.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12761,49900,49900,49700,48700,49300,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,0,0,0,33.3333,0,0
417.011,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
991.088,49900,49700,49700,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.41,3802087.986,,,,,,,,,,62.7451,51,58.5859,53.0612,35.3535,31.6327
1249.02,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
1830.26,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1991.52,49900,49500,49500,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802095.522,,,,,,,,,,78.7879,73.7374,58.4158,49,43.1373,37.6238
2791.03,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2991.74,49500,49300,49300,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802101.571,,,,,,,,,,77.7778,73.2673,58.5859,53.4653,41.4141,34.3434
3749.07,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
3991.16,49500,49300,49500,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802109.164,,,,,,,,,,74.2574,76.2376,59.8039,47,42.5743,35.3535
4190.54,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
4706.94,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
4991.65,49500,49300,49500,48100,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802116.694,,,,,,,,,,78.5714,73.4694,65.3061,55.5556,45.9184,39.7959
5070.81,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
5155.69,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
5669.08,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
5991.29,49500,49900,49100,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802124.264,,,,,,,,,,79,69,61.3861,56,45.4545,39.3939
5993.07,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
6036.41,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
6627.31,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
6991.36,49700,50100,49700,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802131.760,,,,,,,,,,77.7778,74.7475,62,52.4752,45.5446,39
7585.32,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
7991.7,50100,50500,49500,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802139.342,,,,,,,,,,79,76.699,65.6566,52.5253,46.4646,40.5941
8049.53,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
8543.31,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
8991.17,49900,50500,49300,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802147.055,,,,,,,,,,79,72.7273,63.6364,56,48,38.3838
9015,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
9504.72,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
9732,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
9798.08,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
9894.8,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
9991.79,49900,50500,49300,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3802154.672,,,,,,,,,,77.2277,74,62.3762,55.4455,46,38.6139
10462.7,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
10775,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
10991,49900,50500,49300,48300,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.431,3802162.426,,,,,,,,,,79.5918,72.7273,64.3564,52.5253,46.4646,41.8367
11424.1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
