# Started at: 2022-06-08 03:03:10 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_5.json-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_5.json-ILP-SM-II.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11286,49100,48500,48700,47500,47900,70000,896000,896000,896000,896000,600000,600000,,,,,,,,,,,,0,0,33.3333,0,0,0
267.071,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
524.491,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
991.734,49300,48900,49100,47500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.847,910419.354,,,,,,,,,,72.449,66.6667,73.1959,68.0412,31.9588,20.202
1193.04,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1394.31,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1404.04,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1488.25,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
1991.3,49100,48900,48700,47500,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,910426.777,,,,,,,,,,76.4706,68.3673,90.9091,78.7879,40,24.2424
2352.12,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
2367.87,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2452.16,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
2991.32,49100,48900,48900,47500,47900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,910434.330,,,,,,,,,,76.7677,71.2871,92.0792,73.7374,40.404,25
3310.44,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
3331.72,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
3415.95,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
3991.76,49100,48900,48700,47500,48100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,910441.806,,,,,,,,,,79.798,70,89.1089,70.297,43,27
4054.78,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
4268.57,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
4295.43,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
4980.46,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
4991.64,49300,50300,48900,47500,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,910449.300,,,,,,,,,,78.7879,70.7071,90.099,75.5102,45.4545,27.2727
5175.12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
5226.3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
5259.36,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
5991.8,49300,50100,48900,47900,48300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,910456.737,,,,,,,,,,81,71.2871,90.8163,74.7475,44.4444,27.2727
6138.88,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
6184.67,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
6223.09,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
6916.06,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
6991.24,49500,50300,48900,47900,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,910464.377,,,,,,,,,,81,73.7374,92,79.4118,43,30
7102.67,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
7142.48,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
7186.83,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
