# Started at: 2022-06-08 04:03:13 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_6.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_6.json-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12548,48900,48700,48700,47500,48500,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,33.3333,0,50,0
991.16,49300,50100,49100,48300,48500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.761,937894.808,,,,,,,,,,53.0612,68.6869,65.625,73.4694,28.2828,34.6939
1706.84,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1991.55,50300,50100,49700,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,937902.721,,,,,,,,,,70.7071,91,83.1683,90,41.8367,49.4949
2265.32,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
2503.86,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2533.89,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
2556.45,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2643.42,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2991.77,50100,49700,49700,48100,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,937910.342,,,,,,,,,,63.6364,89,80,90.9091,34,39.3939
