# Started at: 2022-06-08 04:33:15 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/all//IN_6.json-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/all//IN_6.json-ILP-IDLE-MAX.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12986,48500,48300,48300,47200,48100,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,0,33.3333,0,0
273.139,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
991.843,49100,49500,48900,47900,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.782,951720.234,,,,,,,,,,11.1111,16.3265,6.12245,7.07071,64.9485,74.2574
1992.01,49900,50700,49500,48300,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951728.490,,,,,,,,,,19.802,29,11.8812,3.0303,95,97
2492.96,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2579.02,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2589.79,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2668.87,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2753.39,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
2992.01,49700,50900,49900,48500,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951737.151,,,,,,,,,,11.8812,16.1616,3.0303,7,95.9184,98.0198
3380.59,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
3551.99,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
3991.82,50300,51900,49900,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951745.492,,,,,,,,,,9.09091,17,2,8,95,98.9796
4249.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
4991.83,50100,51100,49900,48700,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951753.910,,,,,,,,,,10,22.549,0,6.06061,94.9495,97.0297
5029.33,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
5050.63,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
5237.79,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
5920.22,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
5983.2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
5992.46,50300,50900,49900,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951762.190,,,,,,,,,,12,20.202,6.06061,1,94.1176,98.0198
6031.96,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
6678.06,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
6733.38,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
6991.63,50300,51300,50100,49100,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951770.583,,,,,,,,,,18,27,7,4.9505,95.9184,97.9798
7991.66,50900,51900,50500,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951779.111,,,,,,,,,,15.1515,17.1717,1.0101,4.9505,95.9596,98
8326.82,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
8362.83,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
8530.38,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
8659.62,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
8992.39,50700,52300,50500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951787.430,,,,,,,,,,16.8317,13.8614,0,5,95.0495,98.0198
9194.18,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
9310.55,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
9975.6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
9991.77,50700,51700,50500,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951795.883,,,,,,,,,,10.101,20.202,1,7,94.9495,98
10033.4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
10193.6,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
10876.9,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
10992.1,50900,51900,50300,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.761,951804.150,,,,,,,,,,12.1212,22.2222,0,6.93069,93.9394,97.9798
11624.4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
11704,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
11992.2,51300,51700,50500,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951812.695,,,,,,,,,,17,25.2525,2,8.08081,96,97.0588
12559.6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
12673.6,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
12676.5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
12992,50900,52300,50900,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951821.110,,,,,,,,,,19,12.8713,0,6.93069,95.9596,98
13273.2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
13374.6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
13992.1,51100,52500,50700,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951829.505,,,,,,,,,,16.1616,12,1,7,95,98.0198
14160.8,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
14992.3,51100,51900,50900,49700,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951837.762,,,,,,,,,,10,21.2121,7,0,94.9495,98
15020.4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
15045.1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
15153.5,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
15809.6,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
15952.1,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
15992.5,50700,51700,50500,49500,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,951845.962,,,,,,,,,,20,19,7.92079,1,94.0594,98
16703.1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
16715.7,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
16835.1,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,
16967.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
