# Started at: 2022-06-21 06:37:22 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/cpu//IN_1-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/cpu//IN_1-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.15373,49300,49300,49500,48500,48700,70000,600000,600000,600000,600000,600000,600000,,,,,,,,,,,,0,0,0,50,0,50
995.403,50300,50100,49900,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,,62.8866,57,50,47.9592,14.1414,15.1515
1994.71,50700,50500,50300,49100,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.01,4090471.708,,,,,,,,,,88.7755,87.2549,75.5102,76,28.866,27.551
2994.9,50500,50700,50100,48900,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090479.880,,,,,,,,,,87.1287,88.8889,78.2178,79.798,34.6535,37.2549
3995.61,50500,51700,50100,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090487.958,,,,,,,,,,89,88,77.7778,78,37.7551,37
4995.28,51100,51700,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090496.051,,,,,,,,,,89,89,78,79,36.7347,33.3333
5994.99,51100,51700,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090504.032,,,,,,,,,,88.7755,88.1188,77.7778,78.7879,32.2917,35
6995.76,51100,50900,50500,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090512.052,,,,,,,,,,88.1188,86.8687,78,78.7879,33.3333,34.6939
7994.97,51100,50900,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090520.246,,,,,,,,,,86,84.1584,74.5098,74,35,39.2157
8996.56,51100,50900,50700,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090528.320,,,,,,,,,,85.1485,87,74.4898,74.5098,37,38.7755
9995.24,51300,52100,50700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090536.403,,,,,,,,,,88.1188,88,77.2277,78.7879,37.2549,41
10995.2,51100,51900,50500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090544.297,,,,,,,,,,88.7755,87.3786,77.7778,77.7778,34.6939,36
11995.2,51300,51300,50900,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.021,4090552.373,,,,,,,,,,88,88.1188,78.2178,79.2079,31.3131,35
12995.4,51500,51500,50700,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090560.452,,,,,,,,,,89,90,78,79,32.3232,34
13995.3,51500,50900,50700,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090568.359,,,,,,,,,,87.8788,89.2157,80,78,30.303,33
14995.1,51100,51100,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090576.304,,,,,,,,,,88.2353,88,78.7879,79,37.6238,31
15995.7,51100,50900,50300,49300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090584.215,,,,,,,,,,88.8889,88,78.2178,78.5714,31.3131,32.3232
16995.4,51500,50900,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090592.181,,,,,,,,,,88,88,77,75,33,36
17995.5,51100,50700,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090600.081,,,,,,,,,,89,87.8788,78,75.2475,33.3333,31.3131
18995.3,51100,50700,50500,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090607.984,,,,,,,,,,87.8788,88.1188,74,74.7475,33.3333,34
19995.2,50700,50500,50500,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090615.916,,,,,,,,,,87.8788,84.1584,75,74.7475,32.6531,31.6832
20994.8,50900,50900,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090623.818,,,,,,,,,,89,88,78,79.2079,37.6238,35.3535
21995.2,50900,50900,50300,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.999,4090631.728,,,,,,,,,,88.8889,88,79.2079,78.2178,36.7347,36.3636
22995.4,51100,51300,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090639.735,,,,,,,,,,88.1188,87.2549,77.551,79,35.3535,37.6238
23995,51300,51100,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090647.648,,,,,,,,,,88.8889,90,78.2178,78.7879,32.3232,34.6535
24995.1,51100,50900,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090655.667,,,,,,,,,,88,90,78,78,34.6535,31.3131
25995.5,51100,50700,50500,49300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090663.539,,,,,,,,,,87,88.1188,75,79,32.6531,32.3232
26995.6,50700,50700,50300,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090671.474,,,,,,,,,,86,89.1089,75,77.7778,32.3232,34
27994.9,50900,51500,50500,49300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090679.549,,,,,,,,,,89,88.8889,81.8182,78,34.3434,37.7551
28995.4,51100,52100,50700,49500,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090687.630,,,,,,,,,,88.8889,88,78,79,35.3535,33
29994.8,51100,51700,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090695.495,,,,,,,,,,88,88,77.2277,79.2079,32.3232,31
30994.9,51100,51100,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090701.422,,,,,,,,,,89.1089,87.1287,82,78.7879,35,32.3232
31995.2,51100,50900,50500,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,23.989,4090709.261,,,,,,,,,,84,84.1584,74,77,33.3333,34
32995.2,51100,51100,50700,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090717.226,,,,,,,,,,87,85.1485,76.2376,76,37,35.6436
33995.6,50900,51700,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090725.267,,,,,,,,,,88,88,77.2277,78.2178,37.3737,36.6337
34995.1,51100,51700,50700,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090733.308,,,,,,,,,,89,88,77.7778,78.5714,34.3434,33.3333
35994.9,51100,51100,50700,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090741.304,,,,,,,,,,88,87.2549,77.7778,78.2178,36,33.6634
36995.3,51100,51100,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4090749.188,,,,,,,,,,88.8889,88,78.2178,78.7879,30.6122,33
