# Started at: 2022-06-21 07:07:24 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/cpu//IN_1-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/cpu//IN_1-ILP-IDLE-MAX.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1211,48300,48300,48500,47500,48100,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,0,0,0,0,33.3333,0
991.342,49500,50300,49100,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.064,4104699.182,,,,,,,,,,17.3469,10.2041,8.08081,14.2857,63.2653,60.2041
1991.86,49900,51300,49700,48500,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104707.665,,,,,,,,,,23.5294,16.1616,1,10,90.099,89.2157
2991.74,49900,51300,49500,49300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104716.219,,,,,,,,,,17.1717,12,7,5.94059,96.0396,93
3991.9,50100,51500,50100,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104724.863,,,,,,,,,,22,18,1,8,95.9596,94
4991.79,50100,51700,50100,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104733.449,,,,,,,,,,20.7921,18.6275,0,5.05051,96.0396,93.1373
5991.43,50700,52100,50100,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104742.070,,,,,,,,,,21.2121,15.1515,1.0101,8.08081,96.0396,93.1373
6991.29,50700,52100,50300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104750.601,,,,,,,,,,23.2323,24.2424,5,0,96,92.9293
7991.58,51100,52100,50500,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104759.306,,,,,,,,,,28.7129,15,6.12245,1,96,94.0594
8991.48,51100,52300,50700,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104767.898,,,,,,,,,,28,12.1212,5,7,95.9596,93.9394
9991.45,51300,52500,50900,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104776.515,,,,,,,,,,30,12.2449,5,1.9802,93,92.0792
10991.3,51300,52100,50500,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.096,4104785.114,,,,,,,,,,21,20.7921,2.0202,1.0101,95.0495,93.0693
11991.6,51100,52300,51100,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104793.623,,,,,,,,,,17.3469,11.1111,9,7.14286,97,93.9394
12992.3,51300,52100,50900,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104802.158,,,,,,,,,,21.7822,17,5.94059,1,95.9596,93.1373
13991.6,51100,52300,50700,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104810.535,,,,,,,,,,24.7525,11,6.18557,1,96.0396,94.1176
14991.6,51300,52500,51100,50300,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104819.065,,,,,,,,,,18,12.7451,10,1,96.0784,94
15991.7,51100,52300,51100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104827.529,,,,,,,,,,18,16.1616,5,2.0202,96,93.0693
16991.8,51500,52500,51100,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104836.026,,,,,,,,,,21.2121,18,5.10204,2.94118,96,93
17992.1,51500,52600,51300,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104844.480,,,,,,,,,,21.4286,14.1414,6,1.0101,96,94.0594
18991.9,51500,52600,51300,50700,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104853.082,,,,,,,,,,21,11,0,13,96.0396,94
19991.9,51500,52600,51300,50300,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104861.578,,,,,,,,,,22.7723,11.1111,1.0101,12,96,93.0693
20991.9,51700,52800,51300,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.107,4104870.178,,,,,,,,,,23.4694,16.8317,1.9802,1,96,93
21991.7,51900,53000,51500,50500,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104878.727,,,,,,,,,,24,14.1414,7,1.0101,96.0396,94.1176
22991.9,51900,53000,51700,50700,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104887.234,,,,,,,,,,18.1818,20.202,0,3.06122,96.0396,93.0693
23992.1,51900,53200,51500,50500,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104895.723,,,,,,,,,,26.7327,16,0,0,96,94
24992.3,51900,53200,51900,50900,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104904.288,,,,,,,,,,28,11.1111,7,2.94118,95.9596,93.0693
25992.2,51900,53000,51500,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104912.844,,,,,,,,,,22,13.8614,1.0101,8.08081,96.0396,93.1373
26991.4,51900,53200,51500,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104921.411,,,,,,,,,,26.2626,17.6471,2,2,96.0396,93.9394
27991.6,51900,53400,51700,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104929.866,,,,,,,,,,18,11,12.1212,1,96,94.0594
28992.3,52300,53600,51900,51100,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104938.441,,,,,,,,,,21,16.1616,1.0101,6,96,93.0693
29991.8,51900,53600,51700,51300,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104946.934,,,,,,,,,,22,23.2323,2.0202,1.9802,96.0396,94.1176
30991.5,52100,53600,51900,51100,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.15,4104955.540,,,,,,,,,,26.5306,15,2.94118,7.14286,96.0396,93.0693
31991.6,52500,53600,51900,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104964.147,,,,,,,,,,23,24,7,1.0101,96,94
32991.9,52300,53600,52300,51100,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104972.619,,,,,,,,,,26.7327,20.202,0,0,96,94
33991.9,52300,53200,51900,51100,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104981.112,,,,,,,,,,28.7129,11,11,2,93,91.1765
34992,52500,52800,52100,51100,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104989.500,,,,,,,,,,21.2121,16.1616,3.06122,0,96.0396,94
35992.1,52300,53200,52100,51100,51700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4104995.925,,,,,,,,,,19,24.2718,2.0202,1.0101,96,93.0693
36991.8,52100,53400,52100,51100,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4105004.444,,,,,,,,,,24,10.101,8.08081,3,96,94
