# Started at: 2022-06-08 13:13:24 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/cpu//IN_2.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/cpu//IN_2.json-HEUR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11686,49100,48900,49100,47700,48300,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,33.3333,0,50,33.3333,50
990.885,50300,50500,49900,48700,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.297,43222.536,,,,,,,,,,72.1649,72.1649,75.2577,77.0833,20.6186,30.9278
1991.03,50500,50300,49900,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43230.468,,,,,,,,,,84,78,91,87.8788,26,36.3636
2991.34,51100,50700,50500,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43238.400,,,,,,,,,,83.8384,79.798,92.0792,89.1089,30.303,40.1961
3991.53,51300,50700,50700,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43246.257,,,,,,,,,,83,76,90.9091,87.8788,37.2549,42
4991.76,51300,51300,50700,49500,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43254.153,,,,,,,,,,84.1584,77,91.0891,88.1188,33.3333,40.404
5991.6,51100,51700,50700,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43262.032,,,,,,,,,,83.8384,78,91,87,35.3535,39
6991.53,51100,51300,50700,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43270.029,,,,,,,,,,83.1683,78,91,87.8788,28.7129,37.6238
7991.67,51100,50900,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43277.966,,,,,,,,,,83.8384,77,90.9091,88,30.6122,36
8991.37,51100,50700,50900,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43285.842,,,,,,,,,,86.8687,81.1881,91.0891,88,32.3529,39
9991.21,51500,50700,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43293.804,,,,,,,,,,87.8788,79.798,92,88,35,41.4141
10991.8,51500,50700,50900,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.34,43301.696,,,,,,,,,,83.3333,79.2079,91,87.2549,34,40.404
11991.6,51500,50900,51100,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43309.536,,,,,,,,,,84,76,90,87.8788,34.3434,42
12991.3,51500,51100,51300,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43317.461,,,,,,,,,,84,80.8081,91.0891,88,33.3333,41.4141
13991.9,51500,51700,50900,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43325.342,,,,,,,,,,83.6735,76,90.9091,87.8788,34.6535,41
14991.5,51300,51700,51100,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43333.112,,,,,,,,,,83.3333,78,91.0891,90.099,33.3333,40.404
15991.7,51300,52100,51100,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43341.024,,,,,,,,,,84,77.451,91,87.1287,32,38.6139
16991.2,51100,51700,51100,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43348.906,,,,,,,,,,83.8384,76.7677,91,88,30,35.3535
17991,51300,50700,51100,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43356.878,,,,,,,,,,88.1188,81,94.9495,91.9192,32,38.6139
18991.7,51900,51300,51300,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43364.827,,,,,,,,,,89,81.8182,96,92.9293,29.2929,37.3737
19991.7,51700,51300,50900,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43372.879,,,,,,,,,,84,83.1683,91.0891,90,35.2941,42.7184
20991,51900,51700,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.383,43380.842,,,,,,,,,,83.8384,78.5714,91,90,34.3137,41.4141
21991,51900,52100,51500,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43388.652,,,,,,,,,,83.1683,76.4706,91,87.1287,33.6735,41.4141
22991.8,51700,51300,51100,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43396.516,,,,,,,,,,83.8384,77,90.9091,91.9192,29,36
23991,51500,51300,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43402.394,,,,,,,,,,84,79,92.0792,89,31.3131,38
24991.3,51900,51500,51100,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43410.232,,,,,,,,,,84,78.7879,91,87.8788,34,41.4141
25991.3,51500,51500,51300,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43418.179,,,,,,,,,,84,77,93,88,34,41
26991.9,51500,51700,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43426.184,,,,,,,,,,83,78,90.9091,87.2549,35,38
27991.6,51500,51300,51100,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43434.073,,,,,,,,,,84,77.2277,91,88,30,35.3535
28991.2,51500,51300,51100,49500,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43442.078,,,,,,,,,,84,76.7677,91,87.8788,30.3922,38
29991.3,51700,51100,51300,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43450.020,,,,,,,,,,86,80,93.0693,88,32,38.7755
30991.7,51700,51500,51300,50100,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.383,43457.921,,,,,,,,,,88,80,90.9091,88,35,41.5842
31991.3,51700,51100,51100,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43465.859,,,,,,,,,,86.1386,80,91.0891,88,34,41
32991.7,51700,51100,51100,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43473.768,,,,,,,,,,82.8283,76.2376,91,87.1287,34.3434,41.4141
33990.8,51900,51300,51100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43481.614,,,,,,,,,,83.8384,77,93,87.8788,33.3333,41.4141
34990.8,51700,52100,51100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43489.332,,,,,,,,,,84.1584,76,91,87.8788,34.6535,41.4141
35990.9,51900,51900,51100,49900,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43497.334,,,,,,,,,,83,77,91,88,34,44
36991.1,51500,52300,51100,49900,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43505.322,,,,,,,,,,83.8384,77.451,91,89.1089,31.6832,40.7767
37991.2,51500,52300,51100,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43513.241,,,,,,,,,,84,76.5306,91,87,28.866,35.0515
38991.9,51500,51100,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43521.198,,,,,,,,,,87,81.1881,95,91.9192,32.6733,40
39991.2,52100,51500,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43529.214,,,,,,,,,,89,83,95,92.9293,30.6931,37
40991.2,51700,51300,51300,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,25.447,43537.040,,,,,,,,,,84.1584,83,91,90,34,41
41991.2,51900,52100,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,43545.265,,,,,,,,,,83.8384,78.7879,91.9192,88.1188,34,41.4141
