# Started at: 2022-06-21 00:13:48 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/cpu//IN_5-BB-LR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/cpu//IN_5-BB-LR.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12923,48700,48700,48900,47900,48100,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,0,33.3333,33.3333,33.3333,0
990.109,49900,49500,49500,48300,48700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.418,3956386.881,,,,,,,,,,70.1031,73.2673,73.7374,53.6082,40.625,26.2626
1990.15,50500,50500,50100,48700,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956394.876,,,,,,,,,,85.8586,95.9596,76.7677,55,44,33
2990.1,50300,50100,50100,48900,48900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956402.840,,,,,,,,,,87,97.0297,76.2376,57,44.4444,27.2727
3990.16,50700,50500,50100,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956410.838,,,,,,,,,,86,96.0396,77.7778,58.4158,44.4444,30
4989.93,50700,50900,50100,48900,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956418.827,,,,,,,,,,88.8889,95.9596,77.2277,52,46,27
5990.06,50700,51300,50100,49100,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956426.813,,,,,,,,,,86.1386,96,78,54,42.4242,30
6989.63,50900,51100,50100,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956434.673,,,,,,,,,,89.899,95.0495,76.4706,52,42.5743,26
7990.4,50700,51500,50100,48900,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956442.611,,,,,,,,,,86.1386,96,74.7475,57,42,27
8989.84,50700,51700,50300,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956450.695,,,,,,,,,,88.8889,97,76,53,39,31
9990.32,50900,51300,50300,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956458.724,,,,,,,,,,91,97.0297,78.2178,55.8824,39.3939,26
10989.9,50700,51700,50300,48900,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.428,3956466.729,,,,,,,,,,88.8889,95,75,52.5253,38.3838,27.2727
11990,50700,50100,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956474.780,,,,,,,,,,88.8889,96.0784,77,53.5354,40,23.2323
12990.4,50700,50900,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956482.844,,,,,,,,,,88,95.9596,76.2376,55.5556,41,26.7327
13989.5,51100,50500,50300,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956490.783,,,,,,,,,,88.1188,95.098,77,60.396,43.4343,28
14989.8,50900,50900,50500,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956498.792,,,,,,,,,,87,96,75.2475,57.4257,43,30.303
15989.9,51100,51500,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956506.679,,,,,,,,,,87.8788,95.9596,76,56.5657,44,29
16989.8,51100,51700,50500,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956514.676,,,,,,,,,,86.7347,96.0396,74.7475,55,43.4343,30
17989.6,50700,51500,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956522.610,,,,,,,,,,88.1188,95.0495,78.2178,51.5152,40,27.2727
18989.4,50700,51300,50300,49300,49300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956530.684,,,,,,,,,,85.8586,96,75.4902,56,39.7959,25
19990.2,50700,50500,50300,49100,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956538.753,,,,,,,,,,89,95.0495,77.7778,52,39.604,24.7525
20997.5,50700,50700,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.407,3956546.740,,,,,,,,,,86,96.0396,75.2475,56.4356,39,29
21989.8,50700,50500,50500,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956554.788,,,,,,,,,,91.9192,95.9596,82,55.5556,43.5644,27.2727
22990.4,50700,50500,50500,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956562.800,,,,,,,,,,89.1089,95.0495,79.2079,57.5758,42.8571,27.2727
23989.6,50900,50900,50700,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956570.871,,,,,,,,,,87.7551,96,83.1683,58.4158,44,28
24989.8,51100,50900,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956578.874,,,,,,,,,,86.1386,95,79,57.5758,43.4343,27.2727
25989.8,51100,50900,50700,49100,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956586.871,,,,,,,,,,86.8687,97.0297,79.798,55,44,29
26989.9,51500,50900,50700,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956595.012,,,,,,,,,,86.1386,95,79.6117,57.5758,44,31.6832
27989.9,51500,50900,50900,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956602.996,,,,,,,,,,88,96,76.7677,56.8627,44.4444,26.7327
28989.4,51500,51300,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956611.083,,,,,,,,,,86.5979,97.0588,79.2079,60,43.8776,29.5918
29990.2,51500,51300,51100,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956619.147,,,,,,,,,,86.1386,96,77.2277,55.5556,45.5446,26.2626
30990.4,51100,51300,50900,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.428,3956627.112,,,,,,,,,,86.1386,95.9596,78.2178,55,44,29.703
31990.3,51300,51700,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956635.217,,,,,,,,,,87,97.0588,75,50.5051,43.4343,29
32989.8,51300,51700,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956643.172,,,,,,,,,,86,95.9596,79.2079,53.5354,40,28.2828
33990,51100,52500,50700,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956651.202,,,,,,,,,,88.8889,95.0495,75.2475,52.9412,39.604,30.6931
34989.8,51100,52100,50700,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956659.097,,,,,,,,,,87,97,79,56.5657,38.3838,28.5714
35990,51100,52300,50900,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956667.073,,,,,,,,,,90.9091,97,75,53.4653,40.404,25.5102
36989.4,51100,51300,50700,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956674.920,,,,,,,,,,89,95.0495,79,54.5455,39,24.2424
37990.2,51100,50900,50700,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956682.857,,,,,,,,,,86.8687,96.0396,75,53,41,23.2323
38989.6,51100,50700,50500,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956690.903,,,,,,,,,,88.2353,95.9596,80.3922,55.102,41,26.7327
39990,51100,50900,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956698.860,,,,,,,,,,86.7347,95.098,75.7576,58,43.4343,28.2828
40990,51500,50900,50500,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.45,3956706.912,,,,,,,,,,87.1287,96,78.7879,56,43.5644,28.7129
41989.4,51500,51100,50500,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956712.799,,,,,,,,,,87,95.9596,75.4902,55.4455,45,30
42989.8,51100,51700,50900,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956720.862,,,,,,,,,,86.8687,95.098,75.2475,55.5556,43.4343,27.2727
43990,51100,51700,50500,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956728.945,,,,,,,,,,87,96,75,54,41.4141,28
44989.9,51300,51100,50700,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956736.993,,,,,,,,,,86.7347,95.9596,76,55,39,23.2323
45989.9,51100,51300,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956744.990,,,,,,,,,,87.1287,95.098,74.7475,54.4554,38.7755,25
46989.5,51100,50900,50900,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956753.018,,,,,,,,,,87,97,75.2475,54.4554,41,26
47990.3,51100,50900,50900,49500,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956761.072,,,,,,,,,,89.899,96,79.2079,57,44,27.551
48990.1,51100,50900,50700,49500,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956769.094,,,,,,,,,,90.099,95.098,79.798,57.5758,43,28
49989.6,51100,50900,50700,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956777.186,,,,,,,,,,86.8687,96,81,58.4158,44.4444,29.703
50989.8,51500,50700,50500,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.471,3956785.219,,,,,,,,,,87,95.9596,79.2079,55.5556,43.4343,27
51989.8,51500,50900,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956793.325,,,,,,,,,,86.8687,95.0495,79,60,44.4444,29.5918
52990.3,51500,50900,50900,49700,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3956801.304,,,,,,,,,,87.8788,96.0396,76.4706,56.4356,45,27
