# Started at: 2022-06-09 00:45:20 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/cpu//IN_5.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/cpu//IN_5.json-QP-LR-UB.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.13523,49500,48900,49500,47900,48700,70000,600000,600000,600000,600000,1.056e+06,1.056e+06,,,,,,,,,,,,33.3333,33.3333,0,0,33.3333,33.3333
990.578,50100,50900,49900,48700,49100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.198,377519.483,,,,,,,,,,71.134,70.5882,58,51.4563,23,23.4694
1990.76,50700,51300,50300,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377527.433,,,,,,,,,,86,78,55.5556,50,38.3838,33.3333
2989.93,51100,51500,50500,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377535.339,,,,,,,,,,88.8889,79.798,60,50.495,40.404,35
3989.99,51100,51700,50500,49300,49900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377541.581,,,,,,,,,,87.1287,75.7576,58.5859,50.5051,41,36.6337
4990.68,50900,51300,50500,49500,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377549.831,,,,,,,,,,88.1188,75.2475,60,50.495,41.5842,34.3434
5990.15,51300,50900,50900,49300,49700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377558.042,,,,,,,,,,87.7551,75.7576,59.596,50,43.4343,34.3434
6990.64,51500,50900,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377566.277,,,,,,,,,,89.1089,76,56.5657,49.505,43.4343,36
7990.95,51500,51300,51300,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377574.574,,,,,,,,,,88.1188,76.2376,55,47.5248,45,40
8990.21,51700,51300,51300,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377582.855,,,,,,,,,,86.8687,76,54,47.5248,46.5347,39
9989.94,51900,51300,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377591.086,,,,,,,,,,88,75.2475,51,51,45,41
10990.1,51900,51300,51100,50100,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.209,377599.280,,,,,,,,,,87,74.7475,57,47,44.4444,38
11990.9,51900,51300,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377607.473,,,,,,,,,,88.1188,76,55.4455,46.5347,45.4545,41.4141
12990,51900,51700,51500,50300,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377615.730,,,,,,,,,,88,75,58.5859,47.4747,44,38.3838
13990.9,52100,51700,51700,50100,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377623.963,,,,,,,,,,89.899,75,52,51,48,39.604
14990.9,52100,51700,51700,50500,50700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377632.182,,,,,,,,,,87.2549,75,58,49,46,39
15990.2,52100,52100,51900,50500,50900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377640.445,,,,,,,,,,87.8788,75.7576,54.5455,47.5248,45.9184,38
16990.3,52300,51900,51700,50500,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377648.654,,,,,,,,,,87,75.2475,55,46.5347,46,40
17990.4,52300,51900,51900,50900,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377657.021,,,,,,,,,,88.1188,76,56.5657,48,45,38.3838
18990.5,52300,52300,51900,50500,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377665.177,,,,,,,,,,87,75,51.0204,50.495,45,39.604
19990.4,52100,53200,52100,51100,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377673.433,,,,,,,,,,88,75.7576,54.5455,48,44.898,39.3939
20990.8,51900,52600,51700,51100,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,26.209,377681.497,,,,,,,,,,87.1287,75,51.4851,49.4949,45,40
21990.2,52300,53600,52100,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377689.664,,,,,,,,,,91.9192,79,58.7629,50.495,42,41.1765
22990.9,52300,53200,51700,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377697.802,,,,,,,,,,91.0891,79.2079,56.4356,55.3398,40.404,40
23990.5,52300,53400,51900,51100,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377705.971,,,,,,,,,,88.1188,75.7576,59.596,52.5253,41,36
24990.1,52300,53400,51900,50900,51300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377714.169,,,,,,,,,,87.8788,75,59,50,41.4141,35.3535
25990.8,52300,53200,51900,50900,51100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377722.285,,,,,,,,,,87.1287,77,57.1429,52.5253,42,34.3434
26990.5,52300,53200,51900,50900,51500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,377730.452,,,,,,,,,,88,80,55.102,54,40.404,35.6436
