# Started at: 2022-06-21 01:43:54 +0000, Version: v0.1-177-gf3f14d1, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/imx8b/cpu//IN_6-BB-SM.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/imx8b/cpu//IN_6-BB-SM.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient,energy,cam_cpu,cam_mem,heat_sources,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11848,49700,49500,49700,48700,49100,70000,896000,896000,896000,896000,1.056e+06,1.056e+06,,,,,,,,,,,,66.6667,0,0,50,0,0
991.765,50700,50500,50500,49300,49500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.3,3999878.186,,,,,,,,,,51.5464,64.6465,61.6162,58.5859,37,37
1991.76,50700,50700,50700,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999886.213,,,,,,,,,,59.596,69,66,68,47.5248,44.4444
2991.15,50700,51700,50700,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999894.294,,,,,,,,,,61.3861,68,66,64,45.4545,44
3991.75,50700,51900,50700,49300,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999902.422,,,,,,,,,,57.5758,66.3366,67.6768,65.3465,43,41.4141
4991.46,51100,52100,50700,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999910.503,,,,,,,,,,58.8235,68.6869,70.297,65.6566,44.4444,43
5991.85,51100,51300,51100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999916.758,,,,,,,,,,57,67.6768,66.6667,63.6364,45.098,44
6992.01,51100,51300,50900,49700,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999924.773,,,,,,,,,,58,68,66,64.7059,44.4444,42.4242
7991.14,51100,51300,51100,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999932.950,,,,,,,,,,60.6061,71.7172,67.6768,70,46.4646,44.4444
8991.8,51100,51100,50900,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999941.055,,,,,,,,,,60.1942,68.3168,68,66.3366,47.4747,44
9990.99,51500,52300,50900,49900,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999949.082,,,,,,,,,,58.7629,68.3673,70,65.6566,45.4545,44.4444
10991.4,51300,52300,50500,49700,50100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.321,3999957.111,,,,,,,,,,62,68,68.6275,67,44.4444,46.4646
11991.4,51300,52100,50900,49900,50300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999965.390,,,,,,,,,,59.596,72,69.697,68,47,46.0784
12991.5,51500,52600,50900,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999973.397,,,,,,,,,,58.4158,68.3168,66.6667,66.3366,46.5347,44.5545
13991.5,51700,52500,50900,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999981.495,,,,,,,,,,59.596,68.6869,70.297,66,44,44.4444
14991.5,51500,52600,50900,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999989.602,,,,,,,,,,58,72.2772,66,69,44.4444,42.4242
15991.8,51500,52600,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,3999997.637,,,,,,,,,,59,67.6768,67,63.6364,46,41.4141
16991,51500,51700,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000005.968,,,,,,,,,,58.5859,70,68.3168,65,43.4343,43
17997.4,51500,51900,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000014.129,,,,,,,,,,58,68.6869,69.3069,64.7059,44,44.1176
18991.6,51500,51700,51100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000022.243,,,,,,,,,,60.396,70,69.697,65.3061,46.3918,43.4343
19991.3,51500,52100,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000030.527,,,,,,,,,,60.6061,69.697,70.5882,66.3366,46,44
20991.6,51700,52300,51100,49900,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,24.364,4000038.719,,,,,,,,,,59.596,71.7172,68,68,48,44.5545
21991.9,51700,52300,51100,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000046.791,,,,,,,,,,60.396,68.6275,70.7071,66.6667,47,41.4141
22991.4,51900,52500,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000054.854,,,,,,,,,,60,68.6869,68,68.3168,45,42.4242
23991.1,51700,52300,51300,50300,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000062.890,,,,,,,,,,59.596,72,68,69.697,45.9184,42.4242
24991.3,51900,52300,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000070.980,,,,,,,,,,61.3861,69,70,65.6566,46.4646,42
25992,51700,52300,51300,50100,50500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,4000079.039,,,,,,,,,,60,70.297,70,65.3465,45,42.5743
