# Started at: 2022-05-27 22:40:16 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/all//IN_4.json-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/all//IN_4.json-ILP-IDLE-MAX.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09956,53000,53000,52000,53000,50000,51750,52800,0,1.4025e+08,499000,345000,345000,499000,499000,498000,630078,649414,6.656e+08,8,19208,153,24,19200,460,12,4816,57,98,19216,1883,12,19216,230,44,4816,211,80,,,,,,,0,0,33.3333,0,33.3333,50
1000.24,54500,54500,52500,54500,50000,52000,53200,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.036e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19160,689,8,4816,38,344,19176,6596,200,19168,3833,184,4816,886,80,,,,,,,34.6939,91.8367,91.9192,31,21.2121,26.2626
2000.88,55500,55500,53000,55500,50000,52250,54300,0,1.4025e+08,2.038e+06,2.034e+06,2.034e+06,2.036e+06,2.032e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,390,19168,7475,240,19152,4596,196,4816,943,80,,,,,,,42.5743,98,99.0099,28,19,28
3000.64,55000,55000,53000,55000,50000,52750,54200,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.04e+06,2.036e+06,2.041e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,364,19168,6977,216,19160,4138,188,4816,905,80,,,,,,,30,99,98,22,10.101,14
4000.46,55500,55500,53000,55500,50000,52750,54200,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,380,19168,7283,228,19160,4368,196,4816,943,80,,,,,,,41,98,98.9899,32.6733,19,28.7129
5000.68,56500,56500,53000,56500,50000,52750,54700,0,1.4025e+08,1.998e+06,2.035e+06,2.035e+06,1.996e+06,1.996e+06,1.996e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,390,19168,7475,240,19152,4596,192,4816,924,80,,,,,,,41.4141,98,98.0198,26,17.3469,22
6000.66,55500,55500,53000,55500,50000,53000,54700,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,368,19168,7053,220,19160,4215,188,4816,905,80,,,,,,,26,97.9798,99,25,11,19.1919
7000.6,55500,55500,53500,55500,50000,53250,55100,0,1.4025e+08,2.035e+06,2.034e+06,2.036e+06,2.035e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,388,19168,7437,236,19152,4519,192,4816,924,80,,,,,,,44.898,98.0198,98,33,18.1818,27
8000.9,56000,56000,53000,56000,50000,53000,55100,0,1.4025e+08,1.996e+06,2.034e+06,2.036e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,378,19168,7245,228,19160,4368,188,4816,905,80,,,,,,,36,98,99.0099,20,13,17
9000.17,55500,55500,53500,55500,50000,53250,54800,0,1.4025e+08,2.035e+06,2.036e+06,2.036e+06,2.036e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,374,19168,7130,220,19160,4215,192,4816,924,80,,,,,,,32.6733,98.9899,98.9899,30.6931,16,24.2424
10000.7,56000,56000,53500,56000,50000,53250,54700,0,1.4025e+08,2.036e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,396,19168,7590,244,19152,4673,196,4816,943,80,,,,,,,44,98,98,33,19.1919,27
11000.1,55500,55500,53500,55500,50000,53500,54700,0,1.4025e+08,2.036e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19168,7092,224,19160,4291,184,4816,886,80,,,,,,,33.3333,98,99,16.1616,10.8911,14
12000.4,55500,55500,53500,55500,50000,53500,54700,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.036e+06,2.034e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,378,19168,7245,224,19160,4291,196,4816,943,80,,,,,,,34.3434,98.9899,99,33,18.1818,28
13000.4,56500,56500,53500,56500,50000,53250,55300,0,1.4025e+08,2.029e+06,2.034e+06,2.036e+06,2.034e+06,2.028e+06,2.03e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,398,19168,7628,244,19152,4673,192,4816,924,80,,,,,,,43,97.9798,98.0198,29.2929,18.1818,27.2727
14000.7,55500,55500,53500,55500,50000,53500,55300,0,1.4025e+08,2.037e+06,2.034e+06,2.034e+06,2.041e+06,2.042e+06,2.042e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,368,19168,7053,220,19160,4215,184,4816,886,80,,,,,,,31,98.0392,98.0198,21,11,14
15000.1,55500,55500,54000,55500,50000,53500,55000,0,1.4025e+08,2.032e+06,2.035e+06,2.034e+06,2.036e+06,2.034e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,382,19168,7322,228,19160,4368,192,4816,924,80,,,,,,,39,97.9798,98.9899,33.3333,19.1919,28
16000.5,57000,57000,53500,57000,50000,53500,54700,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.036e+06,2.034e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,396,19168,7590,244,19152,4673,192,4816,924,80,,,,,,,42,98,98.9899,26.2626,19.802,24
17000.3,55500,55500,54000,55500,50000,53500,54900,0,1.4025e+08,1.981e+06,2.034e+06,2.034e+06,1.983e+06,1.983e+06,1.981e+06,630078,887890,1.6e+09,8,19160,153,36,19152,689,12,4816,57,366,19168,7015,216,19160,4138,188,4816,905,80,,,,,,,27.2727,98.9899,98.0198,23,10.101,18
18000.6,55500,55500,53500,55500,50000,53500,55000,0,1.4025e+08,2.033e+06,2.035e+06,2.034e+06,2.036e+06,2.034e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,386,19168,7398,232,19160,4445,192,4816,924,80,,,,,,,43.5644,97.9798,99,32,19,27
19000.4,57000,57000,53500,57000,50000,53500,55000,0,1.4025e+08,2.034e+06,2.034e+06,2.034e+06,2.034e+06,2.034e+06,2.037e+06,630078,909375,1.6e+09,8,19152,153,36,19152,689,12,4816,57,382,19168,7322,232,19160,4445,188,4816,905,80,,,,,,,38,98.0198,98.0198,22,15,19
20000.3,55500,55500,54000,55500,50000,53500,55800,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,368,19168,7053,220,19160,4215,192,4816,924,80,,,,,,,30,98.0198,98.9899,28,15,22
21000.4,56000,56000,54000,56000,50000,53750,55000,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,392,19168,7513,240,19152,4596,196,4816,943,80,,,,,,,45,97.9798,98.0198,32.3232,19,27.2727
22000.3,56000,56000,54000,56000,50000,53500,54700,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19168,7092,220,19160,4215,184,4816,886,80,,,,,,,32.3232,97.9798,99,16.8317,10,13.8614
23000.7,56000,56000,54000,56000,50000,53500,55200,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,376,19168,7207,224,19160,4291,196,4816,943,80,,,,,,,35,99,99,33,18.1818,27.551
24000.1,56500,56500,53500,56500,50000,53500,55200,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,398,19168,7628,244,19152,4673,196,4816,943,80,,,,,,,44.5545,98,98,31.3131,18.1818,28
25000.8,56000,56000,54000,56000,50000,53750,55800,0,1.4025e+08,1.997e+06,2.035e+06,2.034e+06,1.998e+06,1.998e+06,1.998e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,366,19168,7015,220,19160,4215,184,4816,886,80,,,,,,,30.303,97.9798,99,18.8119,10.8911,13.1313
