# Started at: 2022-06-28 14:26:18 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=3600 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/all//IN_4-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/all//IN_4-ILP-IDLE-MIN.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
49.2004,56000,56000,55000,56000,53000,54750,55600,0,1.4025e+08,1.998e+06,2.036e+06,2.034e+06,2e+06,1.997e+06,2.001e+06,630078,928710,1.6e+09,8,19208,153,24,19200,460,12,4816,57,112,19216,2152,20,19216,384,52,4816,250,120,,,,,,,0,16.6667,28.5714,60,14.2857,0
1635.81,59000,59000,55500,59000,53000,55250,57000,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.999e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19160,153,40,19152,766,12,4816,57,370,19176,7095,216,19160,4138,200,4816,963,120,,,,,,,81.1321,50.3145,50.9434,80,74.2138,78.481
2480.93,58000,58000,56000,58000,53000,55250,57500,0,1.4025e+08,2.036e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,630078,928710,1.6e+09,8,19168,153,36,19160,689,12,4816,57,340,19176,6558,188,19168,3680,192,4816,924,120,,,,,,,83.3333,48.8095,43.5294,64.2857,63.5294,69.7674
3477.72,59500,59500,56000,59500,53000,55750,57500,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.034e+06,2.04e+06,2.041e+06,630078,909375,1.6e+09,8,19160,153,40,19152,766,12,4816,57,372,19168,7130,216,19160,4138,200,4816,963,120,,,,,,,81.8182,51.5152,53.5354,84,77.551,80.8081
4519.34,59000,59000,56000,59000,53000,55750,58000,0,1.4025e+08,2e+06,2.034e+06,2.034e+06,1.998e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19160,153,40,19152,766,12,4816,57,358,19176,6865,204,19160,3908,196,4816,943,120,,,,,,,84.466,49.5238,45.1923,70.8738,69.5238,75
5844.68,58500,58500,56000,58500,53000,56000,57800,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.036e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,40,19160,766,12,4816,57,356,19176,6826,200,19168,3833,196,4816,943,120,,,,,,,79.6992,50,48.4848,77.2727,69.697,75.188
6379.92,59000,59000,56000,59000,53000,56000,58000,0,1.4025e+08,1.997e+06,2.034e+06,2.035e+06,1.997e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19160,153,40,19160,766,12,4816,57,354,19176,6788,200,19168,3833,200,4816,963,120,,,,,,,85.1852,50.9434,48.0769,70.3704,72.2222,75.9259
7174.99,59000,59000,56000,59000,53000,56000,58000,0,1.4025e+08,1.996e+06,2.036e+06,2.035e+06,1.996e+06,1.998e+06,1.996e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,360,19176,6903,208,19160,3985,196,4816,943,120,,,,,,,83.5443,51.25,53.1646,76.25,69.6203,75.641
8396.21,59500,59500,56500,59500,53000,56000,57700,0,1.4025e+08,1.995e+06,2.035e+06,2.035e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,40,19152,766,12,4816,57,358,19176,6865,204,19160,3908,196,4816,943,120,,,,,,,82.6446,50.4132,48.7805,75.4098,70.4918,75.6098
9421.43,59500,59500,56500,59500,53000,56250,57700,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.032e+06,2.033e+06,2.033e+06,630078,909375,1.6e+09,8,19160,153,40,19160,766,12,4816,57,352,19176,6749,200,19168,3833,196,4816,943,120,,,,,,,81.5534,50,45.098,74.5098,72.549,76.699
