# Started at: 2022-05-28 00:44:17 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/all//IN_4.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/all//IN_4.json-QP-LR-UB.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09969,52000,52000,51000,52000,49000,50750,51600,0,1.4025e+08,499000,345000,345000,499000,498000,498000,630078,649414,6.656e+08,8,19208,153,24,19200,460,12,4816,57,98,19216,1883,12,19216,230,44,4816,211,80,,,,,,,0,50,50,0,0,33.3333
1000.14,53500,53500,51500,53500,49000,51250,52200,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.033e+06,630078,917968,1.6e+09,8,19160,153,36,19160,689,12,4816,57,344,19176,6596,200,19168,3833,176,4816,847,80,,,,,,,38.1443,89.899,91.9192,36,9,3.06122
2000.72,54000,54000,51500,54000,49000,51500,52700,0,1.4025e+08,2.03e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,372,19168,7130,224,19160,4291,192,4816,924,80,,,,,,,52.5253,94,97.9798,48.4848,19.1919,1.02041
3000.22,55500,55500,51500,55500,49000,51750,53000,0,1.4025e+08,2.032e+06,2.035e+06,2.034e+06,2.042e+06,2.039e+06,2.044e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,396,19168,7590,244,19152,4673,196,4816,943,80,,,,,,,52.5253,95,98.0198,53,18.8119,1.0101
3999.95,54000,54000,52000,54000,49000,51750,53500,0,1.4025e+08,1.998e+06,2.035e+06,2.034e+06,1.997e+06,1.996e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,364,19168,6977,216,19160,4138,188,4816,905,80,,,,,,,42.5743,95.9596,98,36,9,1.0101
5000.51,54500,54500,52000,54500,49000,52000,54100,0,1.4025e+08,2.037e+06,2.035e+06,2.035e+06,2.034e+06,2.036e+06,2.035e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,378,19168,7245,228,19160,4368,192,4816,924,80,,,,,,,58.5859,94,98,54,19,1
6000.18,55500,55500,52000,55500,49000,52000,53500,0,1.4025e+08,2.03e+06,2.035e+06,2.033e+06,2.03e+06,2.032e+06,2.028e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,394,19168,7552,240,19152,4596,196,4816,943,80,,,,,,,49.505,97,98.9899,48,17,0
7000.41,54500,54500,52000,54500,49000,52250,53500,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,362,19168,6938,212,19160,4061,188,4816,905,80,,,,,,,41.4141,94,97.0297,37.3737,11,1
8000.6,55000,55000,52500,55000,49000,52250,53500,0,1.4025e+08,2.034e+06,2.036e+06,2.035e+06,2.036e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,384,19168,7360,232,19160,4445,192,4816,924,80,,,,,,,61.6162,93.9394,98,57,18.1818,2.0202
9000.83,55000,55000,52500,55000,49000,52250,53700,0,1.4025e+08,2.034e+06,2.036e+06,2.035e+06,2.038e+06,2.038e+06,2.036e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,378,19168,7283,228,19160,4368,192,4816,924,80,,,,,,,44,97,98.9899,43.5644,12,1.0101
