# Started at: 2022-05-28 08:58:54 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_1.json-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_1.json-ILP-SM-II.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.08385,51500,51500,50500,51500,49000,50000,50800,0,1.4025e+08,806000,345000,345000,806000,807000,805000,630078,649414,6.656e+08,8,19208,153,24,19200,460,12,4816,57,98,19216,1883,12,19216,230,44,4816,211,0,,,,,,,0,50,0,0,50,0
1000.62,54000,54000,50500,54000,49000,50500,52300,0,1.4025e+08,1.996e+06,2.035e+06,2.035e+06,1.996e+06,1.999e+06,1.998e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,330,19176,6328,184,19168,3526,184,4816,886,0,,,,,,,86,20.202,26.2626,80,75,82.8283
2000.62,53000,53000,51000,53000,49000,51000,52500,0,1.4025e+08,1.984e+06,2.036e+06,2.036e+06,1.984e+06,1.986e+06,1.989e+06,630078,887890,1.6e+09,8,19168,153,36,19168,690,12,4816,57,306,19184,5870,164,19176,3144,176,4816,847,0,,,,,,,94,10.101,12.8713,81.8182,84.8485,85.8586
3000.21,54500,54500,51000,54500,49000,50750,52500,0,1.4025e+08,1.996e+06,2.034e+06,2.035e+06,1.997e+06,1.996e+06,1.998e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,12,4816,57,342,19176,6558,192,19168,3680,192,4816,924,0,,,,,,,90.1961,20.7921,26,83.8384,80,87.1287
4000.4,53500,53500,51500,53500,49000,51000,53100,0,1.4025e+08,1.997e+06,2.035e+06,2.036e+06,1.999e+06,2.001e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19168,690,12,4816,57,300,19184,5755,160,19176,3068,176,4816,847,0,,,,,,,94.9495,11.8812,13.1313,81,82.8283,82.8283
5000.14,54000,54000,51500,54000,49000,51000,53000,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.036e+06,2.039e+06,2.038e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,180,19168,3450,184,4816,886,0,,,,,,,91,20.202,26,80.198,83.1683,91.0891
6000.16,54000,54000,51500,54000,49000,51250,53000,0,1.4025e+08,1.997e+06,2.034e+06,2.035e+06,1.997e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19168,690,12,4816,57,302,19184,5793,160,19176,3068,176,4816,847,0,,,,,,,93,11,13,85,79.798,82.8283
7000.59,54000,54000,51500,54000,49000,51250,53000,0,1.4025e+08,1.997e+06,2.036e+06,2.034e+06,1.998e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,320,19176,6136,176,19168,3373,184,4816,886,0,,,,,,,91.8367,21,27,78,84.8485,91.0891
8000.38,54000,54000,51500,54000,49000,51250,53600,0,1.4025e+08,2.002e+06,2.035e+06,2.034e+06,2.001e+06,2e+06,2e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,8,4816,57,308,19184,5908,164,19168,3143,180,4816,866,0,,,,,,,91.1765,13.1313,15.8416,86,78.7879,82.8283
9000.6,54500,54500,51500,54500,49000,51250,52700,0,1.4025e+08,1.998e+06,2.034e+06,2.035e+06,1.999e+06,2e+06,1.999e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,314,19184,6023,172,19168,3296,176,4816,847,0,,,,,,,93,17.8218,23,80,86.1386,91
