# Started at: 2022-06-29 17:09:50 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_2-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_2-HEUR.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
476.273,54000,54000,51500,54000,49000,50750,51600,0,1.4025e+08,1.998e+06,2.035e+06,2.035e+06,2e+06,1.996e+06,1.999e+06,630078,898632,1.6e+09,8,19192,153,32,19184,613,12,4816,57,228,19200,4377,104,19192,1995,132,4816,635,0,,,,,,,85.4167,4.08163,4.08163,85.7143,79.5918,65.3061
1975.09,54500,54500,52000,54500,49000,51250,53500,0,1.4025e+08,2.034e+06,2.036e+06,2.034e+06,2.035e+06,2.038e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,196,19168,3756,180,4816,866,0,,,,,,,93.3333,19.3333,20.8054,96,85.3333,82.6667
2839.67,54500,54500,52000,54500,49000,51500,53500,0,1.4025e+08,2.034e+06,2.034e+06,2.034e+06,2.035e+06,2.036e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,346,19176,6634,200,19168,3833,176,4816,847,0,,,,,,,93.0233,20.9302,20.4545,93.1034,82.5581,86.0465
3720.54,54000,54000,52500,54000,49000,51500,53500,0,1.4025e+08,2.035e+06,2.034e+06,2.036e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19184,6177,176,19168,3373,180,4816,866,0,,,,,,,93.1818,13.6364,14.7727,96.5909,81.8182,77.2727
4296.84,55000,55000,52000,55000,49000,51750,54300,0,1.4025e+08,1.995e+06,2.035e+06,2.035e+06,1.997e+06,1.997e+06,1.997e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,342,19176,6558,196,19168,3756,176,4816,847,0,,,,,,,94.7368,21.0526,21.0526,94.8276,89.4737,92.9825
5822.81,54500,54500,52000,54500,49000,51750,53200,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,320,19184,6138,172,19168,3296,176,4816,847,0,,,,,,,92.1053,15.6863,16.9935,96.0526,82.2368,77.7778
6420.36,55000,55000,52500,55000,49000,51750,54300,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,336,19176,6443,188,19168,3603,180,4816,866,0,,,,,,,95,21.6667,21.6667,94.9153,91.5254,91.6667
7559.27,55500,55500,52500,55500,49000,52000,54000,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,366,19176,7018,216,19160,4138,180,4816,866,0,,,,,,,92.9204,21.0526,21.9298,97.3913,85.0877,81.4159
8305.73,55500,55500,52500,55500,49000,52000,54000,0,1.4025e+08,1.995e+06,2.035e+06,2.035e+06,1.996e+06,1.999e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,12,4816,57,360,19176,6903,212,19168,4063,180,4816,866,0,,,,,,,93.2432,16.2162,16.2162,93.3333,82.1918,82.6667
9611.35,55500,55500,52500,55500,49000,52000,54300,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19160,689,12,4816,57,358,19176,6865,212,19168,4061,180,4816,866,0,,,,,,,92.3664,17.0543,18.9394,96.8992,85.6061,81.5385
