# Started at: 2022-05-28 12:35:54 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_2.json-ILP-SM-I.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_2.json-ILP-SM-I.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.08033,52000,52000,51000,52000,49000,50750,51600,0,1.4025e+08,1.114e+06,805000,806000,1.115e+06,1.113e+06,1.112e+06,630078,688085,6.656e+08,8,19208,153,24,19200,460,12,4816,57,100,19216,1921,16,19216,307,44,4816,211,0,,,,,,,0,0,33.3333,0,66.6667,0
1000.94,53500,53500,51500,53500,49000,51250,52800,0,1.4025e+08,1.996e+06,2.035e+06,2.035e+06,1.997e+06,1.997e+06,1.998e+06,630078,898632,1.6e+09,8,19168,153,36,19168,690,12,4816,57,300,19184,5755,160,19176,3068,168,4816,809,0,,,,,,,86.5979,15.1515,25.2525,92,79.5918,73.7374
2000.65,55000,55000,51500,55000,49000,51500,53300,0,1.4025e+08,1.998e+06,2.034e+06,2.035e+06,1.997e+06,1.995e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,196,19168,3756,176,4816,847,0,,,,,,,88.1188,20.7921,22.2222,93.9394,90.099,81.1881
3000,55000,55000,52000,55000,49000,51750,53300,0,1.4025e+08,1.996e+06,2.036e+06,2.034e+06,1.996e+06,1.996e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,12,4816,57,340,19176,6519,196,19168,3680,180,4816,866,0,,,,,,,89,18.3673,28,90,83.8384,80.8081
4000.07,55500,55500,52000,55500,49000,51750,53800,0,1.4025e+08,2.04e+06,2.034e+06,2.035e+06,2.036e+06,2.045e+06,2.042e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,348,19176,6673,204,19168,3910,176,4816,847,0,,,,,,,88,20,22,94.1176,86.8687,78
5000.24,55500,55500,52000,55500,49000,51750,53800,0,1.4025e+08,1.996e+06,2.034e+06,2.035e+06,1.997e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,350,19176,6711,204,19160,3908,184,4816,886,0,,,,,,,87.1287,17.8218,27,90,87.1287,85
6000.44,55000,55000,52000,55000,49000,52000,54100,0,1.4025e+08,1.998e+06,2.035e+06,2.034e+06,1.998e+06,1.998e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,330,19176,6328,184,19168,3526,180,4816,866,0,,,,,,,88.8889,18,20,94.9495,83.8384,74
7000.06,55500,55500,52000,55500,49000,52000,54100,0,1.4025e+08,2.031e+06,2.035e+06,2.035e+06,2.036e+06,2.036e+06,2.037e+06,630078,909375,1.6e+09,8,19160,153,36,19160,689,12,4816,57,348,19176,6673,204,19168,3910,180,4816,866,0,,,,,,,87,22.2222,26.7327,90,87.1287,85.1485
8000.79,55000,55000,52000,55000,49000,52000,53800,0,1.4025e+08,2.036e+06,2.034e+06,2.036e+06,2.034e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,316,19184,6062,172,19168,3296,180,4816,866,0,,,,,,,89.899,12.8713,19.1919,95,83.8384,77.7778
9000.69,55000,55000,52500,55000,49000,52000,53800,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.033e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,184,19168,3526,180,4816,866,0,,,,,,,85.4369,22,23,89.1089,87.1287,82.1782
