# Started at: 2022-06-29 20:47:05 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_3-BB-SM.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_3-BB-SM.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
959.725,54000,54000,51000,54000,49000,50750,51100,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.036e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19176,153,32,19168,613,12,4816,57,302,19184,5793,168,19176,3221,152,4816,732,0,,,,,,,83.1579,37.7551,28.5714,67.0103,73.1959,73.1959
1419.73,53500,53500,51000,53500,49000,50750,52500,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19168,690,12,4816,57,310,19184,5947,176,19176,3374,160,4816,770,0,,,,,,,78.2609,40,20,57.4468,65.9574,62.2222
2859.37,54500,54500,51500,54500,49000,51000,52800,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,188,19168,3603,164,4816,789,0,,,,,,,85.5172,35.6643,24.1379,67.8322,74.8252,70.6294
3334.97,54000,54000,51500,54000,49000,51000,52400,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.042e+06,2.039e+06,2.041e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19184,6177,180,19168,3450,168,4816,809,0,,,,,,,78.7234,37.5,17.0213,60.4167,65.9574,63.8298
4867.5,54500,54500,51500,54500,49000,51500,53300,0,1.4025e+08,1.996e+06,2.034e+06,2.035e+06,1.998e+06,1.995e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,324,19184,6215,184,19168,3526,164,4816,789,0,,,,,,,86.1842,35.9477,22.7273,66.0131,76.4706,71.0526
5276.82,54500,54500,51500,54500,49000,51250,53300,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.033e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,330,19176,6328,188,19168,3603,168,4816,809,0,,,,,,,78.0488,43.9024,26.8293,64.2857,60,60.9756
6332.42,54500,54500,51500,54500,49000,51500,53500,0,1.4025e+08,1.996e+06,2.036e+06,2.035e+06,1.996e+06,1.998e+06,1.996e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19184,6292,184,19168,3526,168,4816,809,0,,,,,,,88.5714,34.2857,16.9811,69.8113,78.0952,74.0385
7208.28,55000,55000,51500,55000,49000,51250,53500,0,1.4025e+08,2.036e+06,2.035e+06,2.035e+06,2.041e+06,2.038e+06,2.038e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,8,4816,38,334,19176,6404,192,19168,3680,168,4816,809,0,,,,,,,79.3103,40.2299,29.8851,62.069,67.0455,63.6364
8454.93,54500,54500,51500,54500,49000,51500,53000,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.036e+06,2.034e+06,2.034e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19184,6177,180,19168,3450,164,4816,789,0,,,,,,,83.871,34.6774,20.8,64.8,72.5806,68.2927
9348.62,55000,55000,52000,55000,49000,51500,53500,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.04e+06,2.035e+06,2.039e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19184,6253,184,19168,3526,164,4816,789,0,,,,,,,86.5169,34.0909,21.3483,67.4157,79.5455,73.0337
