# Started at: 2022-05-28 13:37:55 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_3.json-HEUR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_3.json-HEUR.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12167,55500,55500,54500,55500,52000,54250,55100,0,1.4025e+08,345000,806000,806000,345000,345000,345000,630078,649414,6.656e+08,8,19208,153,24,19208,460,12,4816,57,102,19224,1960,12,19216,230,48,4816,231,0,,,,,,,0,0,0,0,50,33.3333
1000.25,58000,58000,55000,58000,52000,54500,56800,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.996e+06,1.999e+06,1.998e+06,630078,898632,1.6e+09,8,19176,153,36,19168,690,12,4816,57,288,19184,5524,152,19176,2914,156,4816,751,0,,,,,,,78,17.1717,6.06061,77.551,92,85.8586
2000.37,58000,58000,55500,58000,53000,55000,56500,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.036e+06,2.036e+06,2.04e+06,630078,909375,1.6e+09,8,19168,153,36,19168,690,12,4816,57,312,19184,5985,172,19176,3298,168,4816,809,0,,,,,,,77,20,13,79.798,90,87
3000.34,58000,58000,55000,58000,53000,55000,56800,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.036e+06,2.034e+06,2.034e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19184,6177,180,19168,3450,172,4816,828,0,,,,,,,81,18,10,84,93,91
4000.55,58500,58500,55500,58500,53000,55250,57300,0,1.4025e+08,1.998e+06,2.034e+06,2.035e+06,1.998e+06,1.999e+06,2.001e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,324,19184,6215,180,19168,3450,172,4816,828,0,,,,,,,78.7879,20,10,79,91.1765,87.8788
4999.94,58000,58000,55500,58000,53000,55250,57300,0,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.034e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,184,19168,3526,172,4816,828,0,,,,,,,77.7778,16,12.1212,84.8485,93.9394,91
6000.01,58500,58500,56000,58500,53000,55500,57300,0,1.4025e+08,1.998e+06,2.035e+06,2.036e+06,1.997e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19184,6177,176,19168,3373,172,4816,828,0,,,,,,,80,19.1919,7.92079,77.551,91.0891,87.8788
7000.55,58500,58500,55500,58500,53000,55500,57500,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.036e+06,2.035e+06,2.034e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,324,19176,6213,180,19168,3450,172,4816,828,0,,,,,,,78,16,12.8713,84.3137,93.0693,91
8000.86,58500,58500,55500,58500,53000,55500,57300,0,1.4025e+08,1.997e+06,2.036e+06,2.035e+06,1.997e+06,1.999e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,314,19184,6023,172,19168,3296,172,4816,828,0,,,,,,,80.4124,18,6.06061,77.551,91.9192,86.8687
9000.42,58500,58500,56000,58500,53000,55500,57500,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,2.036e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,316,19184,6062,172,19168,3296,172,4816,828,0,,,,,,,77.2277,17.8218,13,80.198,91.0891,87.1287
10000.9,58500,58500,56000,58500,52000,55500,57300,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.033e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,312,19184,5985,172,19168,3296,168,4816,809,0,,,,,,,81.4433,17.1717,6,83.6735,93.0693,91.8367
11000.8,58000,58000,55500,58000,52000,55500,57500,0,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.035e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,184,19168,3526,172,4816,828,0,,,,,,,78.2178,22.2222,13,79,91,86.2745
12000.2,58000,58000,56000,58000,52000,55500,57500,0,1.4025e+08,1.999e+06,2.035e+06,2.036e+06,1.999e+06,1.997e+06,2e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,336,19176,6443,192,19168,3680,172,4816,828,0,,,,,,,82,16.8317,13.8614,84,93.0693,91.9192
13000.2,58500,58500,55500,58500,52000,55750,57500,0,1.4025e+08,1.999e+06,2.034e+06,2.035e+06,1.999e+06,2.001e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,180,19168,3450,172,4816,828,0,,,,,,,78.7879,17.3469,6.06061,80,91.9192,87
14000.3,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,2.036e+06,2.036e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,324,19184,6215,184,19168,3526,172,4816,828,0,,,,,,,74.2574,16.8317,12.8713,81.8182,93.1373,91
15000.6,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,2.034e+06,2.035e+06,2.034e+06,2.032e+06,2.036e+06,2.034e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,318,19184,6100,176,19168,3373,172,4816,828,0,,,,,,,80.4124,18.1818,8,77.7778,91.0891,86.8687
16000.9,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,1.978e+06,2.034e+06,2.036e+06,1.998e+06,1.998e+06,1.996e+06,630078,887890,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6213,184,19168,3526,172,4816,828,0,,,,,,,79,16,12,84.1584,94,92
17000.2,58500,58500,55500,58500,52000,55750,57500,0,1.4025e+08,1.997e+06,2.035e+06,2.034e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19168,689,12,4816,57,314,19184,6023,172,19176,3298,168,4816,809,0,,,,,,,80,17.1717,7,79,91,87
18000,58000,58000,56000,58000,52000,55500,57500,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.037e+06,2.04e+06,2.038e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,320,19184,6138,180,19168,3450,172,4816,828,0,,,,,,,79,21.5686,13.8614,79.798,90,87
19000.2,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,2.035e+06,2.036e+06,2.035e+06,2.036e+06,2.039e+06,2.039e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19184,6177,180,19168,3450,172,4816,828,0,,,,,,,80.6122,17.1717,10,84,93.0693,90.9091
20000.7,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,324,19176,6213,180,19168,3450,172,4816,828,0,,,,,,,79,19.1919,10,79.798,91.9192,88
21000.1,58500,58500,56000,58500,52000,55750,57500,0,1.4025e+08,2.034e+06,2.036e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,330,19176,6328,184,19168,3526,172,4816,828,0,,,,,,,77.551,17,13,84,93.1373,90.9091
22000.6,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,2.034e+06,2.037e+06,2.036e+06,2.03e+06,2.036e+06,2.034e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,318,19184,6100,176,19168,3373,172,4816,828,0,,,,,,,79,18,6.93069,76.7677,91.0891,87.1287
23000.3,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,1.998e+06,2.035e+06,2.035e+06,1.999e+06,2.002e+06,2e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,180,19168,3450,172,4816,828,0,,,,,,,77.7778,16,12.1212,84.8485,93.9394,91.9192
24000,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,1.998e+06,2.035e+06,2.034e+06,1.996e+06,1.999e+06,1.998e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,314,19184,6023,172,19168,3296,172,4816,828,0,,,,,,,79.798,17.1717,7.07071,77.7778,91.0891,86
25000.8,59000,59000,56000,59000,52000,55750,57500,0,1.4025e+08,1.997e+06,2.034e+06,2.035e+06,1.996e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,314,19184,6023,172,19168,3296,172,4816,828,0,,,,,,,78,17,12.8713,80,91.0891,88
