# Started at: 2022-05-28 14:39:55 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_3.json-ILP-IDLE-MIN.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_3.json-ILP-IDLE-MIN.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12135,55000,55000,54000,55000,52000,54000,54600,0,1.4025e+08,345000,345000,345000,345000,345000,345000,630078,649414,6.656e+08,8,19208,153,24,19208,460,12,4816,57,100,19224,1921,12,19216,230,44,4816,211,0,,,,,,,0,0,0,0,50,0
1000.55,57500,57500,54500,57500,52000,54500,56000,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,200,19168,3833,160,4816,770,0,,,,,,,84.8485,56.5657,28,76.7677,81.8182,63.6364
2000.69,57500,57500,55000,57500,52000,54750,56200,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19160,689,12,4816,57,350,19176,6711,208,19168,3986,168,4816,809,0,,,,,,,91.9192,54,18.1818,77,81.8182,69.697
3000.42,57000,57000,55500,57000,52000,54750,56800,0,1.4025e+08,2.036e+06,2.034e+06,2.034e+06,2.036e+06,2.037e+06,2.035e+06,630078,909375,1.6e+09,8,19160,153,36,19160,689,12,4816,57,350,19176,6711,204,19168,3910,172,4816,828,0,,,,,,,88.8889,56.1224,25,79.5918,82,60.6061
4000.75,58500,58500,55000,58500,52000,55000,56500,0,1.4025e+08,2.033e+06,2.034e+06,2.034e+06,2.042e+06,2.038e+06,2.04e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,380,19168,7283,236,19160,4521,172,4816,828,0,,,,,,,92.9293,59,24,81.6327,85.8586,74.2574
5000.02,58000,58000,55500,58000,52000,55250,56500,0,1.4025e+08,1.999e+06,2.034e+06,2.035e+06,1.997e+06,1.998e+06,1.998e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,362,19176,6941,216,19160,4138,172,4816,828,0,,,,,,,88.8889,56.5657,19,79,82.8283,60.6061
6000.43,58500,58500,55500,58500,52000,55250,57000,0,1.4025e+08,2.035e+06,2.034e+06,2.036e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,364,19176,6941,220,19160,4215,172,4816,828,0,,,,,,,88.8889,50.495,26.2626,77,86.8687,74
7000.91,58500,58500,55500,58500,52000,55250,57300,0,1.4025e+08,1.997e+06,2.036e+06,2.034e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,356,19176,6826,212,19160,4061,168,4816,809,0,,,,,,,91.9192,60,19,82.6531,81.8182,59.596
8000.28,58500,58500,55500,58500,52000,55250,57300,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19168,7092,224,19160,4291,172,4816,828,0,,,,,,,88.8889,55.5556,29,77.2277,86.1386,67.6768
9000.85,58000,58000,55500,58000,52000,55500,57200,57,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,196,19168,3756,172,4816,828,0,,,,,,,92,52,15,77.551,79.798,66.3366
10000.5,58000,58000,56000,58000,52000,55500,57000,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,350,19176,6711,208,19160,3985,172,4816,828,0,,,,,,,89.6907,56.5657,28.2828,80.6122,82.8283,61.2245
11000.7,58500,58500,56000,58500,52000,55500,57300,133,1.4025e+08,2.031e+06,2.035e+06,2.034e+06,2.032e+06,2.042e+06,2.031e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19176,7095,228,19160,4368,172,4816,828,0,,,,,,,91.9192,58.5859,23,79.798,85.8586,73.7374
12000.4,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,1.996e+06,2.035e+06,2.035e+06,1.998e+06,1.998e+06,1.999e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,356,19176,6826,212,19160,4061,172,4816,828,0,,,,,,,88.7755,56.4356,22.7723,78.7879,81.8182,61
13000.7,59000,59000,55500,59000,52000,55500,57300,0,1.4025e+08,2.037e+06,2.035e+06,2.034e+06,2.033e+06,2.041e+06,2.036e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,374,19168,7168,232,19160,4445,172,4816,828,0,,,,,,,92.0792,54.5455,24,81.8182,86.8687,73.2673
14000,58500,58500,56000,58500,52000,55500,57000,0,1.4025e+08,1.98e+06,2.035e+06,2.037e+06,1.997e+06,1.997e+06,1.998e+06,630078,887890,1.6e+09,8,19160,153,36,19152,689,12,4816,57,362,19176,6941,220,19160,4215,168,4816,809,0,,,,,,,88.7755,60,18.3673,78.7879,82,59.596
15000.5,58500,58500,56000,58500,52000,55500,57800,188,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.041e+06,2.036e+06,2.034e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,372,19168,7130,228,19160,4368,172,4816,828,0,,,,,,,89,52.0408,29,77,85.8586,71.4286
16000.1,58500,58500,56000,58500,52000,55500,57800,0,1.4025e+08,1.996e+06,2.035e+06,2.034e+06,2e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,12,4816,57,348,19176,6673,208,19160,3985,172,4816,828,0,,,,,,,93,56,15,81.8182,83,64
17000,58500,58500,56000,58500,52000,55500,57000,187,1.4025e+08,2.04e+06,2.036e+06,2.035e+06,2.038e+06,2.046e+06,2.043e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,366,19168,6980,220,19160,4215,172,4816,828,0,,,,,,,87.8788,57.5758,29,79,83.8384,63.6364
18000.4,58500,58500,56000,58500,52000,55500,57500,0,1.4025e+08,2.034e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,354,19176,6826,212,19160,4061,172,4816,828,0,,,,,,,92.7835,54.4554,18.1818,76.5306,82,69.697
19000.2,58000,58000,56000,58000,52000,55750,57500,0,1.4025e+08,2.048e+06,2.035e+06,2.034e+06,2.041e+06,2.039e+06,2.035e+06,630078,909375,1.6e+09,8,19160,153,36,19160,689,12,4816,57,350,19176,6711,208,19168,3986,172,4816,828,0,,,,,,,88.8889,56,25,79.798,82.8283,61.3861
20000.8,59500,59500,56000,59500,52000,55750,58100,0,1.4025e+08,2.036e+06,2.034e+06,2.034e+06,2.045e+06,2.03e+06,2.037e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,382,19168,7322,236,19160,4521,172,4816,828,0,,,,,,,92.0792,58.5859,25,80,85.8586,74
21000.2,58500,58500,55500,58500,52000,55750,57500,188,1.4025e+08,2.036e+06,2.034e+06,2.035e+06,2.041e+06,2.033e+06,2.038e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,364,19176,6980,220,19160,4215,172,4816,828,0,,,,,,,88.6598,58,20,79.5918,83,60.6061
22000.6,59000,59000,56000,59000,52000,55500,57200,0,1.4025e+08,2.035e+06,2.036e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,364,19176,6980,220,19160,4215,172,4816,828,0,,,,,,,89,50.5051,25,76.7677,86,73.4694
23000.4,58500,58500,56000,58500,52000,55500,57600,183,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.033e+06,2.039e+06,2.045e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,358,19176,6865,216,19160,4138,172,4816,828,0,,,,,,,92.9293,59.4059,18.1818,82.8283,82.8283,60
24000.1,58500,58500,56000,58500,52000,55750,57500,0,1.4025e+08,2.033e+06,2.034e+06,2.034e+06,2.043e+06,2.039e+06,2.044e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,372,19168,7130,228,19160,4368,172,4816,828,0,,,,,,,88.8889,56.1224,30,76.5306,85.8586,67
25000.6,58000,58000,56000,58000,52000,55500,57800,0,1.4025e+08,2.034e+06,2.035e+06,2.034e+06,2.034e+06,2.036e+06,2.034e+06,630078,928710,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,196,19168,3756,168,4816,809,0,,,,,,,92,52,14.8515,78,79,66.3366
26000,58000,58000,56000,58000,52000,55750,57500,0,1.4025e+08,1.996e+06,2.035e+06,2.034e+06,1.997e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,12,4816,57,352,19176,6711,208,19168,3986,172,4816,828,0,,,,,,,88.8889,56.5657,28.2828,79.798,83.6735,61.6162
27000.2,59000,59000,56000,59000,52000,55750,57500,0,1.4025e+08,1.998e+06,2.035e+06,2.034e+06,1.999e+06,1.997e+06,2.001e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,368,19168,7053,224,19160,4291,172,4816,828,0,,,,,,,92.8571,59,23,79.798,85.8586,73.4694
