# Started at: 2022-05-28 16:12:55 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_3.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_3.json-QP-LR-UB.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12641,51500,51500,50500,51500,49000,50250,51100,0,1.4025e+08,345000,345000,345000,345000,345000,345000,630078,649414,6.656e+08,8,19208,153,24,19208,460,12,4816,57,98,19216,1883,12,19216,230,44,4816,211,0,,,,,,,0,0,0,33.3333,0,50
1000.77,54000,54000,51000,54000,49000,50500,51100,0,1.4025e+08,2.039e+06,2.035e+06,2.035e+06,2.037e+06,2.035e+06,2.032e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,204,19168,3910,152,4816,732,0,,,,,,,58.1633,86.1386,86.8687,46.4646,30.303,0
2000.18,53500,53500,51500,53500,49000,51000,52500,0,1.4025e+08,2.034e+06,2.034e+06,2.032e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,372,19168,7130,232,19160,4445,168,4816,809,0,,,,,,,68.3168,95.9596,92,47.0588,15.1515,2
3000.74,54000,54000,51500,54000,49000,51250,53300,0,1.4025e+08,2.04e+06,2.036e+06,2.034e+06,2.044e+06,2.045e+06,2.04e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,8,4816,38,374,19168,7168,236,19160,4521,164,4816,789,0,,,,,,,66.3366,93,94,43,30,1.02041
4000.22,53500,53500,52000,53500,49000,51500,53000,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.036e+06,2.033e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,362,19168,6938,224,19160,4291,164,4816,789,0,,,,,,,61,95.0495,92.9293,47.5248,14.1414,2
5000.17,54000,54000,52000,54000,49000,51500,53500,0,1.4025e+08,2.049e+06,2.035e+06,2.035e+06,2.04e+06,2.041e+06,2.043e+06,630078,909375,1.6e+09,8,19152,153,36,19152,689,12,4816,57,384,19168,7360,244,19160,4675,168,4816,809,0,,,,,,,73.5294,94,93,49.505,29,3.9604
6000.15,54000,54000,52000,54000,49000,51750,53500,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19160,153,36,19152,689,12,4816,57,360,19176,6903,220,19160,4215,164,4816,789,0,,,,,,,56.5657,96,92,44.5545,18.1818,3.0303
7000.17,54500,54500,52000,54500,49000,51750,53200,0,1.4025e+08,2.036e+06,2.035e+06,2.034e+06,2.036e+06,2.037e+06,2.037e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,392,19168,7513,252,19152,4826,168,4816,809,0,,,,,,,77.2277,93,93.9394,53.4653,26,2
8000.45,55000,55000,52000,55000,49000,51750,53500,0,1.4025e+08,2.039e+06,2.035e+06,2.034e+06,2.034e+06,2.039e+06,2.038e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,376,19168,7207,236,19160,4521,164,4816,789,0,,,,,,,57,95,92,45,27,2
9000.71,54500,54500,52500,54500,49000,52000,53700,0,1.4025e+08,2.04e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,388,19168,7437,248,19152,4749,168,4816,809,0,,,,,,,73.5294,94,93,50,17.1717,1.02041
10000.9,55000,55000,52500,55000,49000,52000,53800,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.039e+06,2.038e+06,2.042e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,374,19168,7168,232,19160,4445,164,4816,789,0,,,,,,,61.6162,92.0792,92.9293,43.1373,30,1.9802
11000.7,54500,54500,52000,54500,49000,52000,53800,0,1.4025e+08,2.036e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19168,7092,232,19160,4445,168,4816,809,0,,,,,,,65,96,92.0792,47.4747,14.1414,1.02041
12000.6,54500,54500,52500,54500,49000,52000,53700,0,1.4025e+08,1.978e+06,2.034e+06,2.035e+06,1.982e+06,1.985e+06,1.984e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,8,4816,38,376,19168,7207,236,19160,4521,168,4816,809,0,,,,,,,69.6078,93,93.8776,45.098,29.2929,1.0101
13000.6,54500,54500,53000,54500,49000,52000,53700,0,1.4025e+08,2.036e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,356,19176,6826,216,19160,4138,164,4816,789,0,,,,,,,57,96,92,45,15.8416,2
14000.7,54500,54500,52500,54500,49000,52000,53700,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.032e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,388,19168,7437,248,19152,4749,168,4816,809,0,,,,,,,77.2277,93.0693,94,52.9412,28.5714,1.02041
15000.6,55000,55000,52500,55000,49000,52000,54000,0,1.4025e+08,1.998e+06,2.036e+06,2.034e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19168,7092,228,19160,4368,168,4816,809,0,,,,,,,57,95.9596,92,46,23,3.9604
16000.8,55000,55000,52500,55000,49000,52000,53700,0,1.4025e+08,2.033e+06,2.034e+06,2.033e+06,2.034e+06,2.031e+06,2.03e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,394,19168,7552,252,19152,4826,168,4816,809,0,,,,,,,77.2277,94,92.9293,52.4752,21.7822,1.0101
17000.8,55500,55500,52500,55500,49000,52000,53900,0,1.4025e+08,1.996e+06,2.034e+06,2.036e+06,1.999e+06,1.996e+06,1.996e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,374,19168,7168,232,19160,4445,168,4816,809,0,,,,,,,57.4257,92,92.9293,43.5644,29.2929,1.0101
