# Started at: 2022-06-30 00:24:06 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_4-BB-LR.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_4-BB-LR.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
419.94,53500,53500,51000,53500,49000,50750,51400,0,1.4025e+08,2.034e+06,2.035e+06,2.036e+06,2.034e+06,2.038e+06,2.037e+06,630078,909375,1.6e+09,8,19184,153,32,19176,613,12,4816,57,256,19192,4913,132,19184,2532,132,4816,635,0,,,,,,,81.3953,39.5349,19.5122,77.2727,75,58.1395
1076.88,54000,54000,51500,54000,49000,50750,53300,0,1.4025e+08,2.041e+06,2.034e+06,2.036e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,180,19168,3450,188,4816,905,0,,,,,,,89.3939,27.6923,16.4179,72.3077,75,80.303
2133.45,55000,55000,51500,55000,49000,51250,53000,0,1.4025e+08,2.034e+06,2.035e+06,2.034e+06,2.04e+06,2.037e+06,2.039e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,372,19168,7130,216,19160,4138,204,4816,982,0,,,,,,,86.6667,34.5794,21.6981,73.8318,83.1776,83.1776
3458.98,54500,54500,51500,54500,49000,51500,53300,0,1.4025e+08,2.036e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19160,153,36,19160,689,8,4816,38,356,19176,6826,200,19168,3833,204,4816,982,0,,,,,,,89.4737,28.5714,15.7895,72.9323,80.303,76.5152
4353.2,55000,55000,52000,55000,49000,51500,53500,0,1.4025e+08,2.035e+06,2.036e+06,2.035e+06,2.038e+06,2.033e+06,2.038e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,8,4816,38,340,19176,6519,188,19168,3603,196,4816,943,0,,,,,,,86.6667,25,16.6667,67.4157,81.1111,86.3636
5628.81,55000,55000,52000,55000,49000,51500,53500,0,1.4025e+08,1.998e+06,2.036e+06,2.034e+06,1.997e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,340,19176,6519,192,19168,3680,192,4816,924,0,,,,,,,89.6825,30.2326,16.6667,74.8031,81.8898,81.3953
6182.98,54500,54500,52000,54500,49000,51500,53500,0,1.4025e+08,1.999e+06,2.035e+06,2.035e+06,1.998e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,340,19176,6519,188,19168,3603,196,4816,943,0,,,,,,,87.7193,30.9091,19.6429,70.9091,78.1818,78.1818
7717.22,54500,54500,52000,54500,49000,51750,53800,0,1.4025e+08,1.998e+06,2.034e+06,2.034e+06,1.997e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,12,4816,57,358,19176,6865,200,19160,3832,204,4816,982,0,,,,,,,88.961,32.6797,18.8312,76.6234,79.3548,77.4194
8317.36,54500,54500,52000,54500,49000,51750,53800,0,1.4025e+08,1.996e+06,2.035e+06,2.034e+06,1.998e+06,1.998e+06,2.001e+06,630078,898632,1.6e+09,8,19160,153,36,19160,689,8,4816,38,356,19176,6826,200,19160,3832,204,4816,982,0,,,,,,,88.3333,30,16.6667,73.3333,80.3279,80
9389.41,54500,54500,52000,54500,49000,52000,54100,0,1.4025e+08,2.038e+06,2.035e+06,2.034e+06,2.039e+06,2.04e+06,2.04e+06,630078,909375,1.6e+09,8,19160,153,36,19160,689,12,4816,57,356,19176,6826,204,19160,3908,200,4816,963,0,,,,,,,86.9159,26.8519,18.6916,72.8972,79.4393,87.8505
10055.1,55500,55500,52000,55500,49000,51750,53800,0,1.4025e+08,1.998e+06,2.035e+06,2.035e+06,1.998e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,8,4816,57,368,19176,7056,212,19160,4061,204,4816,982,0,,,,,,,89.5522,34.8485,16.6667,76.1194,81.8182,75.7576
