# Started at: 2022-05-28 17:14:55 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_4.json-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_4.json-ILP-IDLE-MAX.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.12529,53500,53500,52500,53500,51000,52500,53600,0,1.4025e+08,345000,345000,345000,345000,345000,345000,630078,649414,6.656e+08,8,19208,153,24,19208,460,12,4816,57,100,19216,1921,12,19216,230,44,4816,211,0,,,,,,,0,0,0,50,33.3333,0
1000.32,55500,55500,53500,55500,51000,53000,54200,19,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.034e+06,2.033e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,368,19168,7053,220,19160,4215,180,4816,866,0,,,,,,,57.5758,81.8182,87.7551,34.3434,29.5918,28.2828
2000.05,57000,57000,53500,57000,51000,53250,55000,0,1.4025e+08,2.036e+06,2.034e+06,2.034e+06,2.04e+06,2.039e+06,2.043e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,420,19160,8047,268,19152,5132,196,4816,943,0,,,,,,,58.4158,83.8384,95.0495,38.6139,26.2626,27.7228
3000.45,56000,56000,54000,56000,51000,53500,55800,0,1.4025e+08,2.029e+06,2.034e+06,2.034e+06,2.04e+06,2.037e+06,2.041e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,394,19168,7552,244,19152,4673,192,4816,924,0,,,,,,,54,85.2941,94.9495,28.2828,16.8317,18
4000.66,56500,56500,54000,56500,51000,53750,55200,0,1.4025e+08,2.034e+06,2.034e+06,2.034e+06,2.035e+06,2.033e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,406,19168,7782,252,19152,4826,200,4816,963,0,,,,,,,59.596,84.8485,93.0693,37,28.2828,30
5000.55,57000,57000,54000,57000,51000,53750,55500,150,1.4025e+08,1.996e+06,2.034e+06,2.034e+06,1.997e+06,1.998e+06,1.999e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,404,19168,7743,252,19152,4826,196,4816,943,0,,,,,,,54,84,96,33,23,22.2222
5999.93,56500,56500,54000,56500,51000,54000,55500,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,386,19168,7398,236,19160,4521,188,4816,905,0,,,,,,,55,85.8586,94,30,21.2121,23
7000.11,56500,56500,54000,56500,51000,54000,55500,186,1.4025e+08,2.034e+06,2.035e+06,2.033e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,260,19152,4979,200,4816,963,0,,,,,,,63,85,94,40.404,28.7129,30
8000.14,56500,56500,54500,56500,51000,54000,55500,0,1.4025e+08,2e+06,2.035e+06,2.034e+06,1.999e+06,2e+06,1.999e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,384,19168,7360,232,19160,4445,192,4816,924,0,,,,,,,49,84,95.9596,28.7129,16.1616,17
9000.41,56500,56500,54500,56500,51000,54250,56000,0,1.4025e+08,2.037e+06,2.035e+06,2.036e+06,2.044e+06,2.047e+06,2.04e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,392,19168,7513,240,19152,4596,192,4816,924,0,,,,,,,59,88,94.0594,35,27.2727,27.2727
9999.99,57000,57000,54500,57000,51000,54250,56000,0,1.4025e+08,2.033e+06,2.034e+06,2.034e+06,2.043e+06,2.037e+06,2.034e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,8,4816,57,414,19160,7932,260,19152,4979,200,4816,963,0,,,,,,,60,82,94,41.5842,29,30
11000.1,57000,57000,54500,57000,51000,54250,55700,189,1.4025e+08,2.035e+06,2.036e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,630078,898632,1.6e+09,8,19152,153,36,19152,689,12,4816,57,390,19168,7475,236,19152,4521,192,4816,924,0,,,,,,,52,86,96.0396,25.2525,15.1515,15
12000.6,56500,56500,54500,56500,51000,54250,55700,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.033e+06,2.034e+06,2.034e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,396,19168,7590,244,19152,4673,196,4816,943,0,,,,,,,58,86,93.9394,36.3636,28.7129,30
13000.8,58000,58000,54500,58000,51000,54250,56000,188,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.034e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,418,19160,8008,264,19152,5056,200,4816,963,0,,,,,,,59.596,83,94.0594,40,28.2828,29.2929
14000.7,57000,57000,54500,57000,51000,54250,56300,0,1.4025e+08,2.037e+06,2.035e+06,2.034e+06,2.039e+06,2.048e+06,2.045e+06,630078,909375,1.6e+09,8,19152,153,36,19152,689,12,4816,57,390,19168,7475,240,19152,4596,188,4816,905,0,,,,,,,56.4356,86.8687,95.9596,26.2626,15,15
15000,57000,57000,54500,57000,51000,54250,56300,0,1.4025e+08,2.037e+06,2.036e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,402,19168,7705,248,19152,4749,196,4816,943,0,,,,,,,56.5657,85,93.0693,36.6337,29,30.303
16000.7,58000,58000,55000,58000,51000,54500,56000,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,410,19160,7855,256,19152,4902,196,4816,943,0,,,,,,,55.8824,84.1584,96,34.6939,24,24.7525
17000.7,57000,57000,54500,57000,51000,54500,56000,187,1.4025e+08,1.981e+06,2.036e+06,2.035e+06,1.98e+06,1.98e+06,1.978e+06,630078,887890,1.6e+09,8,19152,153,36,19152,689,12,4816,57,388,19168,7437,236,19160,4521,188,4816,905,0,,,,,,,54.0816,84.8485,94.9495,28.7129,19.1919,20
18000,57000,57000,55000,57000,51000,54500,56000,0,1.4025e+08,2.049e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,40,19144,765,12,4816,57,412,19160,7893,256,19152,4902,200,4816,963,0,,,,,,,62.3762,86,93.1373,40,29.703,29.5918
19000.1,57500,57500,55000,57500,51000,54500,56200,104,1.4025e+08,2.035e+06,2.035e+06,2.033e+06,2.035e+06,2.035e+06,2.034e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,392,19168,7513,240,19152,4596,196,4816,943,0,,,,,,,50.5051,83,95,30.6931,19,19.1919
20000.7,57000,57000,55000,57000,51000,54500,56500,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.997e+06,1.996e+06,1.997e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,390,19168,7513,240,19152,4596,192,4816,924,0,,,,,,,57.8431,88,95,31.3131,24,25.7426
21000.2,57500,57500,55000,57500,51000,54500,56800,0,1.4025e+08,1.996e+06,2.036e+06,2.035e+06,2e+06,1.996e+06,1.999e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,260,19152,4979,200,4816,963,0,,,,,,,61,83,94,40.8163,28.2828,30
22000.1,57000,57000,55000,57000,51000,54500,56200,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,382,19168,7322,232,19160,4445,188,4816,905,0,,,,,,,50,83.8384,96,26,14.1414,15
23000.1,57000,57000,55000,57000,51000,54500,56200,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.036e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,392,19168,7513,240,19152,4596,196,4816,943,0,,,,,,,57.1429,88,94,36,29,29.2929
24000.1,58000,58000,55000,58000,51000,54500,56200,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.051e+06,2.041e+06,2.039e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,260,19152,4979,200,4816,963,0,,,,,,,60.396,82,93.0693,40.404,29,29.2929
25000.1,57000,57000,55000,57000,51000,54750,56500,0,1.4025e+08,2.034e+06,2.035e+06,2.033e+06,2.034e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,390,19168,7475,240,19152,4596,192,4816,924,0,,,,,,,54.5455,87,97,26.7327,14.1414,15.8416
26000.1,57000,57000,55000,57000,51000,54750,56800,0,1.4025e+08,2.036e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,400,19168,7667,248,19152,4749,196,4816,943,0,,,,,,,57.4257,85.1485,93.0693,35.3535,29,29.703
27000.3,58000,58000,55000,58000,51000,54750,56000,0,1.4025e+08,2.032e+06,2.034e+06,2.034e+06,2.036e+06,2.034e+06,2.033e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,416,19160,7970,260,19152,5056,196,4816,943,0,,,,,,,58,83.8384,95.9184,38,25.2525,26.2626
