# Started at: 2022-06-30 04:01:06 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_4-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_4-QP-LR-UB.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
525.936,55500,55500,52500,55500,50000,52250,53100,0,1.4025e+08,1.999e+06,2.034e+06,2.035e+06,2.003e+06,2e+06,1.999e+06,630078,898632,1.6e+09,8,19176,153,32,19176,613,12,4816,57,268,19192,5143,140,19184,2685,144,4816,693,120,,,,,,,88.6792,22.6415,1.81818,74.0741,77.7778,83.6364
1332.85,55500,55500,53000,55500,50000,52500,54200,0,1.4025e+08,1.996e+06,2.035e+06,2.036e+06,1.998e+06,1.996e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,334,19176,6404,184,19168,3526,192,4816,924,120,,,,,,,92.5926,31.25,1.23457,88.6076,90.1235,63.75
2613.95,56000,56000,53000,56000,50000,52750,54800,0,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.036e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,340,19176,6519,188,19168,3526,204,4816,982,120,,,,,,,94.5736,29.1339,0,87.5969,89.9225,71.875
3270.78,56000,56000,53000,56000,50000,53000,54800,0,1.4025e+08,2.034e+06,2.034e+06,2.036e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,184,19168,3450,204,4816,982,120,,,,,,,95.3846,28.7879,0,81.8182,90.9091,73.1343
4411.1,56000,56000,53500,56000,50000,53000,54800,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.998e+06,1.998e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,342,19176,6558,188,19168,3603,204,4816,982,120,,,,,,,93.9655,33.913,1.73913,89.4737,89.4737,69.2982
5772.77,56000,56000,53500,56000,50000,53000,55300,0,1.4025e+08,2.034e+06,2.035e+06,2.036e+06,2.032e+06,2.039e+06,2.039e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,332,19176,6366,180,19168,3450,200,4816,963,120,,,,,,,94.8148,27.4074,0,85.1852,90.4412,74.0741
6678.96,56000,56000,53500,56000,50000,53250,55300,0,1.4025e+08,2.033e+06,2.034e+06,2.035e+06,2.035e+06,2.04e+06,2.036e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,344,19176,6596,192,19168,3680,200,4816,963,120,,,,,,,95.6044,35.1648,0,87.9121,87.7778,69.2308
7437.64,56500,56500,53500,56500,50000,53250,55000,0,1.4025e+08,2.032e+06,2.035e+06,2.035e+06,2.033e+06,2.043e+06,2.043e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,344,19176,6596,188,19168,3603,204,4816,982,120,,,,,,,92,32,1.31579,88,90.7895,67.1053
8386.68,57000,57000,53500,57000,50000,53250,55600,0,1.4025e+08,2.032e+06,2.035e+06,2.034e+06,2.036e+06,2.033e+06,2.03e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,348,19176,6673,196,19168,3756,196,4816,943,120,,,,,,,95.8333,28.4211,0,87.3684,91.5789,81.0526
9856.35,56500,56500,53500,56500,50000,53500,55300,0,1.4025e+08,2.034e+06,2.035e+06,2.036e+06,2.036e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,344,19176,6596,192,19168,3680,200,4816,963,120,,,,,,,93.8356,33.3333,0,86.3014,88.4354,64.3836
10850.8,57000,57000,53500,57000,50000,53500,55300,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.033e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19160,689,12,4816,57,354,19176,6788,200,19168,3833,200,4816,963,120,,,,,,,95,29,2.9703,88,91.9192,81
11360.3,56500,56500,53500,56500,50000,53500,55300,0,1.4025e+08,2.039e+06,2.034e+06,2.034e+06,2.037e+06,2.049e+06,2.039e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,330,19176,6328,176,19168,3373,196,4816,943,120,,,,,,,94,19.6078,0,84,88.2353,66.6667
12887.3,56500,56500,54000,56500,50000,53250,55300,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,344,19176,6596,192,19168,3680,200,4816,963,120,,,,,,,94.1176,36.8421,0,86.9281,88.961,65.7895
13781.7,56500,56500,54000,56500,50000,53250,55600,0,1.4025e+08,1.998e+06,2.035e+06,2.035e+06,1.998e+06,1.998e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,332,19176,6366,176,19168,3373,200,4816,963,120,,,,,,,95.5556,22.2222,1.1236,86.5169,92.1348,79.7753
14844,56500,56500,54000,56500,50000,53500,55500,0,1.4025e+08,1.996e+06,2.035e+06,2.034e+06,1.996e+06,1.996e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,184,19168,3526,204,4816,982,120,,,,,,,94.2857,35.2381,0,87.619,88.6792,66.3551
15448.1,56500,56500,54000,56500,50000,53500,55500,0,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.034e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,184,19168,3526,204,4816,982,120,,,,,,,93.5484,31.6667,0,88.5246,90.1639,71.6667
16109.8,56500,56500,54000,56500,50000,53500,55500,0,1.4025e+08,1.996e+06,2.034e+06,2.034e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,334,19176,6404,176,19168,3373,204,4816,982,120,,,,,,,93.8462,28.7879,0,83.0769,90.7692,72.7273
17336.4,56500,56500,54000,56500,50000,53500,55500,150,1.4025e+08,1.996e+06,2.035e+06,2.036e+06,1.997e+06,1.998e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,332,19176,6366,176,19168,3373,204,4816,982,120,,,,,,,94.3089,32.2581,0,86.9919,89.4309,70.9677
18750.2,57000,57000,54000,57000,50000,53500,55500,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.036e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,346,19176,6634,192,19168,3680,200,4816,963,120,,,,,,,95.0355,31.9149,0,88.6525,90.1408,73.9437
