# Started at: 2022-06-17 00:52:21 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_5-BB-SM.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_5-BB-SM.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10116,56500,56500,55500,56500,54000,55750,56100,187,1.4025e+08,498000,345000,346000,498000,499000,499000,630078,649414,6.656e+08,8,19208,153,24,19200,460,12,4816,57,102,19216,1960,12,19216,230,44,4816,211,120,,,,,,,0,50,0,0,0,0
1000.36,59500,59500,56000,59500,54000,56000,57000,0,1.4025e+08,2.035e+06,2.033e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19160,153,36,19160,689,12,4816,57,342,19176,6558,196,19168,3756,184,4816,886,120,,,,,,,92,40.8163,16.1616,70.7071,82,79.798
2000.92,58500,58500,56500,58500,54000,56250,57500,0,1.4025e+08,1.998e+06,2.035e+06,2.034e+06,1.997e+06,1.998e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,318,19176,6097,172,19168,3296,184,4816,886,120,,,,,,,94,28,8,67,81.3725,76.2376
3000.2,59000,59000,56500,59000,54000,56500,57800,0,1.4025e+08,1.999e+06,2.034e+06,2.035e+06,1.996e+06,1.998e+06,1.997e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,330,19176,6366,184,19168,3526,188,4816,905,120,,,,,,,94.0594,35,10,67,86.8687,77.2277
4000.47,59000,59000,56500,59000,54000,56750,58200,178,1.4025e+08,2.034e+06,2.034e+06,2.036e+06,2.033e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,180,19168,3450,188,4816,905,120,,,,,,,93.9394,36,14,66.6667,81,76.7677
5000.62,60000,60000,56500,60000,54000,56750,58600,0,1.4025e+08,2.041e+06,2.034e+06,2.035e+06,2.035e+06,2.039e+06,2.043e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,180,19168,3450,184,4816,886,120,,,,,,,95,32.3232,8,69,89.1089,80
6000.28,59500,59500,56500,59500,54000,56750,58600,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19160,153,36,19160,689,12,4816,57,340,19176,6519,188,19168,3603,192,4816,924,120,,,,,,,94,38,15.1515,66.6667,81.6327,76
7000.27,60000,60000,57000,60000,54000,56750,58200,0,1.4025e+08,2.035e+06,2.034e+06,2.033e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,318,19176,6097,172,19168,3296,184,4816,886,120,,,,,,,95,29,8,67,86,77.2277
8000.07,60000,60000,57000,60000,54000,56750,58500,0,1.4025e+08,2.036e+06,2.036e+06,2.034e+06,2.036e+06,2.041e+06,2.037e+06,630078,909375,1.6e+09,8,19160,153,40,19152,766,12,4816,57,356,19176,6826,204,19160,3908,196,4816,943,120,,,,,,,93.9394,41,16,70.7071,86,81.8182
9000.6,59500,59500,57000,59500,54000,56750,58500,0,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,308,19184,5908,160,19176,3068,180,4816,866,120,,,,,,,95.098,23.2323,8,62.6263,82,73
10002.5,60000,60000,57000,60000,54000,57000,58500,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.036e+06,2.035e+06,2.036e+06,630078,917968,1.6e+09,8,19160,153,40,19152,766,12,4816,57,366,19168,7015,208,19160,3985,204,4816,982,120,,,,,,,94.9495,44,15.1515,73.2673,88,81
11000.8,59500,59500,57000,59500,54000,56750,58800,0,1.4025e+08,2.035e+06,2.036e+06,2.035e+06,2.034e+06,2.035e+06,2.033e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,320,19176,6136,172,19168,3296,184,4816,886,120,,,,,,,94.0594,26,8.08081,69,81,76
12000,60000,60000,57000,60000,54000,57000,58800,0,1.4025e+08,1.981e+06,2.034e+06,2.035e+06,1.979e+06,1.983e+06,1.979e+06,630078,887890,1.6e+09,8,19160,153,40,19152,766,12,4816,57,348,19176,6673,196,19168,3756,196,4816,943,120,,,,,,,94.9495,37.3737,13,66.6667,87,77
13000.5,59500,59500,57000,59500,54000,57000,58500,0,1.4025e+08,2.044e+06,2.035e+06,2.034e+06,2.035e+06,2.036e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,324,19176,6213,176,19168,3373,184,4816,886,120,,,,,,,95,32,11,66.6667,80.8081,77
14000.6,60000,60000,57000,60000,54000,57000,58800,0,1.4025e+08,2.034e+06,2.036e+06,2.036e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,180,19168,3450,184,4816,886,120,,,,,,,94.0594,32.3232,7.07071,69,89,79
15000.8,59000,59000,57000,59000,54000,57000,58500,0,1.4025e+08,2.034e+06,2.035e+06,2.036e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,180,19168,3450,188,4816,905,120,,,,,,,94.0594,37.6238,16,64,79.2079,74.2574
16000.6,60000,60000,57000,60000,54000,57000,58800,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,180,19168,3450,184,4816,886,120,,,,,,,94.898,32.3232,8,69.3878,89,79.798
17000.8,60500,60500,57000,60500,54000,57000,58800,0,1.4025e+08,1.998e+06,2.034e+06,2.036e+06,1.999e+06,1.998e+06,1.998e+06,630078,898632,1.6e+09,8,19160,153,40,19152,766,12,4816,57,352,19176,6749,200,19160,3832,192,4816,924,120,,,,,,,94,37.6238,16,70,85,81
18000.9,59000,59000,57000,59000,54000,57000,58500,0,1.4025e+08,1.998e+06,2.034e+06,2.035e+06,1.998e+06,1.997e+06,1.998e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,308,19184,5908,164,19176,3144,180,4816,866,120,,,,,,,95,25.2525,8,63,82.8283,73
19000.2,60000,60000,57000,60000,54000,57000,58800,0,1.4025e+08,1.998e+06,2.035e+06,2.035e+06,1.997e+06,2.002e+06,1.998e+06,630078,898632,1.6e+09,8,19160,153,40,19152,766,12,4816,57,360,19168,6900,208,19160,3985,200,4816,963,120,,,,,,,93.0693,46,16.1616,70.7071,85,81.8182
20000,59500,59500,57000,59500,54000,57000,58800,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.036e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,314,19184,6023,168,19168,3220,184,4816,886,120,,,,,,,96.9697,23,8,68,83,76.2376
21000.5,60000,60000,57000,60000,54000,57000,58500,0,1.4025e+08,2.032e+06,2.036e+06,2.035e+06,2.037e+06,2.039e+06,2.033e+06,630078,909375,1.6e+09,8,19160,153,40,19152,766,12,4816,57,362,19168,6938,208,19160,3985,200,4816,963,120,,,,,,,94.0594,40.404,15.1515,70,86.8687,77.2277
22000.1,59500,59500,57000,59500,54000,57000,58800,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,322,19176,6174,176,19168,3373,184,4816,886,120,,,,,,,93.9394,29,9,66,81,76.7677
23001.5,59500,59500,57000,59500,54000,57000,58800,0,1.4025e+08,2.036e+06,2.035e+06,2.034e+06,2.037e+06,2.037e+06,2.036e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19176,6251,180,19168,3450,184,4816,886,120,,,,,,,95,33.3333,9,66.6667,87,76
24000.1,59500,59500,57000,59500,54000,57000,58200,0,1.4025e+08,2.034e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,180,19168,3450,188,4816,905,120,,,,,,,94,36.6337,14.1414,67,81,77.2277
25000.6,60000,60000,57000,60000,54000,57000,58500,0,1.4025e+08,2.038e+06,2.034e+06,2.035e+06,2.036e+06,2.043e+06,2.046e+06,630078,909375,1.6e+09,8,19168,153,36,19160,689,12,4816,57,328,19176,6289,180,19168,3450,184,4816,886,120,,,,,,,95,32.3232,9,70,89,79
26000.3,59500,59500,57000,59500,54000,57000,58500,0,1.4025e+08,2.038e+06,2.035e+06,2.034e+06,2.035e+06,2.044e+06,2.043e+06,630078,909375,1.6e+09,8,19160,153,40,19160,766,12,4816,57,342,19176,6558,192,19168,3680,192,4816,924,120,,,,,,,93.0693,37.6238,16,66.6667,83,77.7778
27000.4,60000,60000,57000,60000,54000,57250,58800,0,1.4025e+08,1.999e+06,2.034e+06,2.034e+06,1.998e+06,1.999e+06,1.999e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,316,19184,6100,168,19168,3220,184,4816,886,120,,,,,,,95,29,8,65.6566,85,76
28000.9,60000,60000,57000,60000,54000,57000,58800,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19160,153,40,19152,766,12,4816,57,358,19176,6865,204,19160,3908,196,4816,943,120,,,,,,,94,42,16.1616,71,85,82
29000.7,59500,59500,57000,59500,54000,57000,58500,0,1.4025e+08,1.997e+06,2.034e+06,2.034e+06,1.997e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,308,19184,5908,160,19168,3066,180,4816,866,120,,,,,,,96,23.2323,8,64,82.8283,74
