# Started at: 2022-06-30 06:05:39 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_5-ILP-IDLE-MAX.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_5-ILP-IDLE-MAX.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
725.515,52000,52000,50000,52000,47000,49000,50100,0,1.4025e+08,2.035e+06,2.033e+06,2.034e+06,2.034e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19168,153,32,19160,613,8,4816,38,310,19184,5947,180,19168,3450,148,4816,712,80,,,,,,,1.81063,2.04809,1.875,1.54257,0.97981,0.74228
1517.6,53000,53000,50000,53000,47000,49500,51500,0,1.4025e+08,1.997e+06,2.034e+06,2.034e+06,1.998e+06,1.998e+06,1.998e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,386,19168,7398,240,19160,4598,180,4816,866,80,,,,,,,38.4615,98.75,96.25,56.962,21.519,32.0513
2113.26,52500,52500,50500,52500,47000,49500,51700,0,1.4025e+08,2.034e+06,2.035e+06,2.033e+06,2.034e+06,2.035e+06,2.033e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,370,19168,7092,224,19160,4291,184,4816,886,80,,,,,,,32.2034,100,93.2203,41.6667,1.69492,11.6667
3690.57,53000,53000,50500,53000,47000,49750,51700,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.036e+06,2.036e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,400,19168,7667,252,19152,4826,188,4816,905,80,,,,,,,37.9747,99.3671,95.5696,56.962,15.3846,29.7468
4015.97,53000,53000,50500,53000,47000,50000,51700,0,1.4025e+08,1.998e+06,2.035e+06,2.032e+06,2.034e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,396,19168,7590,244,19152,4673,192,4816,924,80,,,,,,,45.4545,100,96.9697,45.4545,0,0
5423.5,53000,53000,51000,53000,47000,50250,52000,0,1.4025e+08,1.979e+06,2.036e+06,2.033e+06,2.035e+06,2.035e+06,2.034e+06,630078,909375,1.6e+09,8,19152,153,36,19152,689,12,4816,57,392,19168,7513,244,19152,4673,188,4816,905,80,,,,,,,35.7143,99.2958,95,49.2958,12.1429,22.8571
6528.58,53500,53500,50500,53500,47000,50250,52500,0,1.4025e+08,1.997e+06,2.035e+06,2.033e+06,1.997e+06,1.999e+06,1.998e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,400,19168,7667,252,19152,4826,184,4816,886,80,,,,,,,39.0909,99.0909,95.4545,54.5455,15.4545,28.1818
7210.35,53500,53500,51000,53500,47000,50250,52500,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.997e+06,1.998e+06,1.997e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,402,19168,7705,252,19152,4826,184,4816,886,80,,,,,,,37.6812,98.5294,94.2857,50.7246,15.942,22.3881
8078.23,53000,53000,51000,53000,47000,50250,52500,186,1.4025e+08,1.995e+06,2.035e+06,2.034e+06,1.997e+06,1.999e+06,1.997e+06,630078,898632,1.6e+09,8,19160,153,36,19152,689,12,4816,57,382,19168,7322,236,19160,4521,180,4816,866,80,,,,,,,32.1839,100,95.2941,43.0233,11.4943,18.3908
9409.69,53500,53500,51000,53500,47000,50500,52500,0,1.4025e+08,2.033e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,380,19168,7283,236,19160,4521,180,4816,866,80,,,,,,,35.6061,99.2481,94.7761,50,12.8788,23.4848
10809.6,53500,53500,51500,53500,47000,50500,53100,0,1.4025e+08,2.056e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,376,19168,7207,232,19160,4445,176,4816,847,80,,,,,,,36.4286,99.2908,95,50,12.8571,23.0216
11614.3,53500,53500,51000,53500,47000,50500,52500,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,394,19168,7552,244,19152,4673,188,4816,905,80,,,,,,,37.5,98.75,96.25,55,11.25,19.7531
12077.7,53500,53500,51000,53500,47000,50500,52500,188,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19152,689,12,4816,57,390,19168,7475,244,19152,4673,184,4816,886,80,,,,,,,42.5532,100,93.4783,55.3191,19.5652,34.7826
13081,53500,53500,51000,53500,47000,50500,52500,0,1.4025e+08,2.032e+06,2.036e+06,2.035e+06,2.035e+06,2.034e+06,2.034e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,12,4816,57,386,19168,7398,236,19160,4521,192,4816,924,80,,,,,,,31,99.0099,95.9596,44.5545,9,15.1515
14006.5,54000,54000,51000,54000,47000,50750,52500,0,1.4025e+08,1.997e+06,2.035e+06,2.034e+06,1.998e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,398,19168,7628,252,19152,4826,188,4816,905,80,,,,,,,35.4839,98.913,94.6809,55.4348,17.5824,33.6957
15699,53500,53500,51500,53500,47000,50750,53100,43,1.4025e+08,1.996e+06,2.035e+06,2.035e+06,1.997e+06,1.999e+06,1.998e+06,630078,898632,1.6e+09,8,19152,153,36,19152,689,12,4816,57,390,19168,7475,240,19160,4598,184,4816,886,80,,,,,,,39.0533,99.4083,95.2381,49.4118,10.6509,18.9349
16595.3,53000,53000,51000,53000,47000,50500,52500,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.034e+06,2.036e+06,2.035e+06,630078,928710,1.6e+09,8,19160,153,36,19152,689,8,4816,38,374,19168,7168,224,19160,4291,188,4816,905,80,,,,,,,29.2135,100,94.5055,43.3333,12.2222,17.9775
17435.6,54000,54000,51500,54000,47000,50750,52500,0,1.4025e+08,2.036e+06,2.036e+06,2.034e+06,2.034e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,400,19168,7667,252,19152,4826,188,4816,905,80,,,,,,,37.3494,98.8095,95.1807,58.3333,19.0476,36.1446
18459,53500,53500,51500,53500,47000,50750,52800,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.04e+06,2.034e+06,2.038e+06,630078,909375,1.6e+09,8,19152,153,36,19152,689,12,4816,57,390,19168,7475,244,19152,4673,184,4816,886,80,,,,,,,41.7476,99.0196,95.1456,49.5146,8.82353,16.6667
19630.4,53500,53500,51500,53500,47000,50750,52700,0,1.4025e+08,2.032e+06,2.034e+06,2.034e+06,2.039e+06,2.038e+06,2.033e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,8,4816,38,400,19168,7667,252,19152,4826,184,4816,886,80,,,,,,,37.3913,99.1525,95.7265,55.5556,14.6552,27.3504
20916.2,54000,54000,51500,54000,48000,50750,52800,0,1.4025e+08,1.998e+06,2.034e+06,2.034e+06,1.998e+06,1.997e+06,1.998e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,398,19168,7628,252,19152,4826,188,4808,905,80,,,,,,,31.7829,99.2248,94.5736,47.6562,13.1783,25
