# Started at: 2022-06-30 07:07:40 +0000, Version: v0.1-182-g8091d52, Generated by: thermobench --verbose --randomize --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_5-ILP-SM-II.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_5-ILP-SM-II.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
228.99,53500,53500,51000,53500,49000,50500,51600,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.034e+06,630078,917968,1.6e+09,8,19200,153,28,19192,537,12,4816,57,164,19208,3150,60,19200,1152,92,4816,443,80,,,,,,,73.913,12,0,66.6667,54.1667,45.8333
1795.65,55000,55000,51500,55000,49000,50750,53000,0,1.4025e+08,1.978e+06,2.035e+06,2.035e+06,1.98e+06,1.981e+06,1.98e+06,630078,887890,1.6e+09,8,19168,153,36,19160,689,12,4816,57,326,19184,6253,180,19168,3450,188,4816,905,80,,,,,,,94.9045,22.5806,19.1083,85.1613,81.1688,83.871
2955.69,54500,54500,52000,54500,49000,51250,53000,0,1.4025e+08,1.997e+06,2.036e+06,2.035e+06,1.998e+06,1.998e+06,1.997e+06,630078,898632,1.6e+09,8,19176,153,36,19168,690,12,4816,57,308,19184,5908,156,19176,2991,196,4816,943,80,,,,,,,94.8276,17.2414,12.069,83.7607,82.7586,77.7778
3061.32,54500,54500,51500,54500,49000,51250,53000,0,1.4025e+08,1.997e+06,2.034e+06,2.035e+06,1.997e+06,2e+06,1.999e+06,630078,898632,1.6e+09,8,19176,153,36,19168,690,12,4816,57,308,19184,5908,160,19176,3068,188,4816,905,80,,,,,,,100,0,0,100,90,100
4431.57,54500,54500,52000,54500,49000,51500,52900,0,1.4025e+08,2.035e+06,2.034e+06,2.035e+06,2.033e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19176,153,36,19168,690,12,4816,57,308,19184,5908,160,19176,3068,188,4816,905,80,,,,,,,94.8529,20.438,16.7883,85.2941,82.4818,81.7518
5683.92,54000,54000,52000,54000,49000,51500,53800,0,1.4025e+08,2.031e+06,2.035e+06,2.035e+06,2.036e+06,2.036e+06,2.04e+06,630078,909375,1.6e+09,8,19176,153,36,19168,690,12,4816,57,306,19184,5870,160,19176,3068,192,4816,924,80,,,,,,,96,21.7742,17.6,84.6774,80.6452,80.8
6947.03,54500,54500,52000,54500,49000,51500,53800,0,1.4025e+08,1.856e+06,2.037e+06,2.034e+06,2.034e+06,2.035e+06,2.034e+06,630078,928710,1.6e+09,8,19168,153,36,19168,690,12,4816,57,314,19184,6023,168,19176,3221,188,4816,905,80,,,,,,,94.4882,22.8346,18.1102,84.252,85.0394,84.252
7442.91,54500,54500,52000,54500,49000,51500,53800,0,1.4025e+08,1.995e+06,2.034e+06,2.036e+06,1.998e+06,1.996e+06,1.996e+06,630078,898632,1.6e+09,8,19168,153,36,19160,689,12,4816,57,338,19176,6481,188,19168,3603,192,4816,924,80,,,,,,,97.9167,28,22,90.1961,79.1667,85.4167
8613.61,54500,54500,52500,54500,49000,51500,53500,0,1.4025e+08,2.035e+06,2.035e+06,2.036e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19176,153,36,19168,690,12,4816,57,304,19184,5831,156,19176,2991,184,4816,886,80,,,,,,,94.8718,11.9658,9.40171,84.4828,80.3419,78.8136
9702.03,54500,54500,52500,54500,49000,51750,53500,0,1.4025e+08,2.074e+06,2.035e+06,2.035e+06,2.035e+06,2.034e+06,2.035e+06,630078,928710,1.6e+09,8,19168,153,36,19168,690,12,4816,57,312,19184,5985,164,19176,3144,188,4816,905,80,,,,,,,94.5455,25,20.3704,83.4862,87.156,83.4862
