# Started at: 2022-05-29 01:30:56 +0000, Version: v0.1-161-g45b9662, Generated by: thermobench --verbose --time=1800 --wait=50 --wait-timeout=60 --sensors_file=/root/thermobench/src/sensors.tx2 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --output=/root/JSA/methods_comparison/measurements/tx2/cpu//IN_6.json-QP-LR-UB.json.yaml.csv -- demos-sched -p high -c /root/JSA/methods_comparison/demos_configurations/tx2/cpu//IN_6.json-QP-LR-UB.json.yaml
time/ms,Cortex_A57_temp/m°C,Denver2_temp/m°C,GPU_temp/m°C,PLL_temp/m°C,Tboard_temp/m°C,Tdiode_temp/m°C,Thfan_temp/m°C,GPU_load/‰,GPU_freq/Hz,Cortex_A57_0_freq/Hz,Denver2_0_freq/Hz,Denver2_1_freq/Hz,Cortex_A57_1_freq/Hz,Cortex_A57_2_freq/Hz,Cortex_A57_3_freq/Hz,GPU_voltage/µV,CPU_voltage/µV,EMC_freq/Hz,SYS_GPU_current/mA,SYS_GPU_voltage/mV,SYS_GPU_power/mW,SYS_SOC_current/mA,SYS_SOC_voltage/mV,SYS_SOC_power/mW,4V0_WIFI_current/mA,4V0_WIFI_voltage/mV,4V0_WIFI_power/mW,IN_current/mA,IN_voltage/mV,IN_power/mW,SYS_CPU_current/mA,SYS_CPU_voltage/mV,SYS_CPU_power/mW,SYS_DDR_current/mA,SYS_DDR_voltage/mV,SYS_DDR_power/mW,CUR_PWM/%,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.11767,53000,53000,52000,53000,50000,51750,52600,0,1.4025e+08,345000,345000,345000,345000,345000,345000,630078,649414,6.656e+08,8,19208,153,24,19208,460,12,4816,57,98,19216,1883,12,19216,230,44,4816,211,120,,,,,,,0,0,0,50,33.3333,25
1000.35,55000,55000,52500,55000,50000,52000,53400,0,1.4025e+08,2.035e+06,2.035e+06,2.033e+06,2.039e+06,2.034e+06,2.037e+06,630078,909375,1.6e+09,8,19160,153,36,19152,689,12,4816,57,368,19168,7053,228,19160,4368,168,4816,809,120,,,,,,,83.5052,89.899,83.3333,40,12.2449,0
2000.83,55000,55000,53000,55000,50000,52500,54000,0,1.4025e+08,1.995e+06,2.035e+06,2.033e+06,1.999e+06,1.997e+06,1.996e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,408,19168,7820,264,19152,5056,180,4816,866,120,,,,,,,84,96,90.1961,48.5149,19.802,2.0202
3000.81,55500,55500,53000,55500,50000,52750,54200,0,1.4025e+08,2.035e+06,2.035e+06,2.033e+06,2.035e+06,2.036e+06,2.034e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,264,19152,5056,188,4816,905,120,,,,,,,87,95.9596,89.1089,35,17.3469,1
4000.27,55500,55500,53500,55500,50000,53000,54500,0,1.4025e+08,2.03e+06,2.034e+06,2.034e+06,2.037e+06,2.04e+06,2.039e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,404,19168,7743,256,19152,4902,188,4816,905,120,,,,,,,82.8283,95.9184,89,41,9,1.02041
5000.73,56000,56000,53500,56000,50000,53250,55300,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.996e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,268,19152,5132,184,4816,886,120,,,,,,,83.8384,95.0495,90.099,48.4848,19.1919,2.0202
5999.88,56000,56000,53500,56000,50000,53250,54700,0,1.4025e+08,1.997e+06,2.035e+06,2.034e+06,1.999e+06,1.996e+06,2.01e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,420,19160,8047,272,19152,5209,192,4816,924,120,,,,,,,87,96.9388,89.1089,35,17.1717,0
7000.33,56000,56000,54000,56000,50000,53500,55000,0,1.4025e+08,2.034e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,260,19152,4979,192,4816,924,120,,,,,,,84,95,90,41,9.09091,2
8000.26,56000,56000,54000,56000,50000,53500,55000,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.034e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,268,19152,5132,184,4816,886,120,,,,,,,84,95.9596,91.0891,49,19,1.0101
9000.4,56500,56500,54000,56500,50000,53500,55200,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.034e+06,2.038e+06,2.042e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,420,19160,8047,268,19152,5132,192,4816,924,120,,,,,,,87,96,88.1188,34.6535,17.1717,0
10000.3,56500,56500,54000,56500,50000,53750,55000,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.04e+06,2.042e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,260,19152,4979,192,4816,924,120,,,,,,,84,95.9596,90.1961,40.404,9,1.9802
11000.2,56500,56500,54000,56500,50000,53750,55500,0,1.4025e+08,2.035e+06,2.035e+06,2.034e+06,2.035e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,268,19152,5132,184,4816,886,120,,,,,,,83.8384,95.0495,91,49,18.3673,1.02041
12000.4,56500,56500,54000,56500,50000,53750,56100,0,1.4025e+08,1.998e+06,2.034e+06,2.035e+06,1.999e+06,2e+06,1.999e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,420,19160,8047,268,19152,5132,192,4816,924,120,,,,,,,87.8788,96.9697,89.1089,35,17.1717,0
13000,56500,56500,54000,56500,50000,53750,55500,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.038e+06,2.037e+06,2.04e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,260,19152,4979,192,4816,924,120,,,,,,,83,94.9495,90,40.404,9.09091,1.0101
14000.1,56500,56500,54000,56500,50000,53750,55500,0,1.4025e+08,1.997e+06,2.035e+06,2.035e+06,1.997e+06,1.996e+06,1.997e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,268,19152,5132,184,4816,886,120,,,,,,,85,96,90.1961,48.5149,19,1.0101
15000.2,57000,57000,54000,57000,50000,53750,55500,0,1.4025e+08,1.999e+06,2.035e+06,2.034e+06,1.999e+06,1.998e+06,1.997e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,420,19160,8047,268,19152,5132,192,4816,924,120,,,,,,,86.8687,95.9596,89.1089,35,17.1717,1.0101
16000.1,56500,56500,54000,56500,50000,53750,55500,0,1.4025e+08,2.032e+06,2.035e+06,2.034e+06,2.036e+06,2.033e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,260,19152,4979,192,4816,924,120,,,,,,,83.1683,96,90.099,40.404,9,1.9802
17000.2,56500,56500,54000,56500,50000,53750,55500,0,1.4025e+08,2.035e+06,2.035e+06,2.035e+06,2.036e+06,2.035e+06,2.035e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,268,19152,5132,180,4816,866,120,,,,,,,84.8485,95.9596,91,49,19.1919,2.0202
18000.8,57000,57000,54000,57000,50000,54000,55800,0,1.4025e+08,1.998e+06,2.034e+06,2.035e+06,1.997e+06,1.997e+06,1.996e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,264,19152,5056,188,4816,905,120,,,,,,,86.8687,96,88.2353,35,17.1717,1.0101
19000.2,56500,56500,54000,56500,50000,54000,55800,0,1.4025e+08,2.031e+06,2.036e+06,2.034e+06,2.037e+06,2.036e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,406,19168,7782,256,19152,4902,188,4816,905,120,,,,,,,83.8384,95.9184,90,40.5941,9.09091,0
20000.7,56500,56500,54000,56500,50000,54000,55500,0,1.4025e+08,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,2.036e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,264,19152,5056,180,4816,866,120,,,,,,,84.3137,95.0495,91.0891,48.4848,18,1.02041
21000.6,57000,57000,54000,57000,50000,54000,55500,0,1.4025e+08,1.997e+06,2.035e+06,2.033e+06,2e+06,1.996e+06,1.997e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7893,264,19152,5056,188,4816,905,120,,,,,,,87,96.9697,89,34.3434,18.1818,0
22000.3,56500,56500,54000,56500,50000,54000,55500,0,1.4025e+08,2.037e+06,2.035e+06,2.035e+06,2.036e+06,2.035e+06,2.038e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,406,19168,7782,256,19152,4902,188,4816,905,120,,,,,,,83.8384,95,90.099,41.5842,9,2
23000.3,57000,57000,54000,57000,50000,54000,55500,0,1.4025e+08,2.033e+06,2.035e+06,2.035e+06,2.039e+06,2.041e+06,2.04e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,264,19152,5056,180,4816,866,120,,,,,,,83.8384,95.9184,90.099,49,18.3673,1.0101
24000.6,57000,57000,54500,57000,50000,54000,55700,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.029e+06,2.031e+06,2.036e+06,630078,868554,1.6e+09,8,19152,153,36,19144,689,12,4816,57,416,19160,7970,264,19152,5056,188,4816,905,120,,,,,,,87,96,89.1089,35,18.1818,1
25000,56500,56500,54000,56500,50000,54000,55800,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.035e+06,2.035e+06,2.034e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,406,19168,7782,256,19152,4902,188,4816,905,120,,,,,,,83.8384,95.9596,90.099,41,8.08081,0
26000,56500,56500,54000,56500,50000,54000,55800,0,1.4025e+08,2.038e+06,2.034e+06,2.035e+06,2.043e+06,2.04e+06,2.039e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,264,19152,5056,180,4816,866,120,,,,,,,84,95.0495,90.1961,49,19.1919,2
27000.8,57000,57000,54000,57000,50000,54000,55700,0,1.4025e+08,2.034e+06,2.034e+06,2.033e+06,2.039e+06,2.03e+06,2.033e+06,630078,928710,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,264,19152,5056,188,4816,905,120,,,,,,,87.8788,96.9388,89.1089,35,18.1818,0
28000.2,56500,56500,54500,56500,50000,54000,55700,0,1.4025e+08,2.038e+06,2.034e+06,2.034e+06,2.039e+06,2.039e+06,2.036e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,404,19168,7743,256,19152,4902,180,4816,866,120,,,,,,,83,95.0495,90,40.404,10,0
29000.4,56500,56500,54500,56500,50000,54000,55700,0,1.4025e+08,2.035e+06,2.034e+06,2.034e+06,2.034e+06,2.034e+06,2.036e+06,630078,917968,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,264,19152,5056,180,4816,866,120,,,,,,,85,95.9596,90.099,49,20,1.0101
30000,57000,57000,54500,57000,50000,54000,55700,0,1.4025e+08,2.038e+06,2.034e+06,2.035e+06,2.047e+06,2.042e+06,2.045e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,414,19160,7932,264,19152,5056,188,4816,905,120,,,,,,,87,95.9596,89.1089,34.6535,17.3469,0
31000.4,56500,56500,54500,56500,50000,54000,55700,0,1.4025e+08,2.034e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,2.035e+06,630078,909375,1.6e+09,8,19152,153,36,19144,689,12,4816,57,406,19168,7782,256,19152,4902,188,4816,905,120,,,,,,,82.8283,96,90.099,41,9.90099,0
32000.5,57000,57000,54000,57000,50000,54250,55800,0,1.4025e+08,1.995e+06,2.034e+06,2.036e+06,1.997e+06,1.997e+06,1.997e+06,630078,898632,1.6e+09,8,19152,153,36,19144,689,12,4816,57,412,19160,7893,264,19152,5056,180,4816,866,120,,,,,,,85,95.9184,91,49,19.1919,2.9703
