instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_1-BB-LR,BB-lr,300.0,20,826,3.433147173565488,3.742939080613252,2.959296517908016,8.576732638478468,3.086732638478468,59.06,60.5,25.398472222222214
IN_1-BB-SM,BB-sm,300.0,20,844,3.009867860411489,4.153135335003486,2.959296517908016,8.206285540447183,2.716285540447183,56.292,57.66,24.100255555555556
IN_1-HEUR,HEUR,2867.0,20,854,3.5933363158169183,5.308572965964113,3.1187017107035486,8.647350503671415,3.157350503671415,57.908,59.168,23.75419444444445
IN_1-ILP-IDLE-MAX,ILP-IDLE-MAX,1153.0,20,860,3.888219915295756,3.992063783887407,3.4704239011322566,9.229911028130925,3.739911028130922,60.868,63.448,23.810977777777776
IN_1-ILP-IDLE-MIN,ILP-IDLE-MIN,798.0,20,860,3.8005409036264863,5.943629908148504,3.634781872119488,8.933318000346599,3.443318000346599,60.036,61.544,24.025344444444443
IN_1-ILP-SM-I,ILP-SM-I,2629.0,20,835,2.9007514360339144,4.015038068697403,2.959296517908016,8.263827274954139,2.7738272749541384,57.084,58.448,25.08876666666666
IN_1-ILP-SM-II,ILP-SM-II,2541.0,20,835,2.9007514360339144,4.313301494445834,2.959296517908016,8.241499352893463,2.751499352893463,57.198,58.596,25.284005555555552
IN_1-QP-LR-UB,QP-LR-UB,23018.0,20,842,3.577451040266558,3.211581056019124,3.0783866222524137,9.100272743932122,3.6102727439321214,61.112,62.862,25.406555555555556
IN_2-BB-LR,BB-lr,300.0,20,848,2.703953461769749,3.2473801696181663,2.493075591409464,8.30660781665408,2.8166078166540807,59.08,60.616,25.69568888888889
IN_2-BB-SM,BB-sm,300.0,20,830,2.5076657362019312,4.342755096774134,2.609497585371963,7.965570864961023,2.475570864961023,56.152,57.812000000000005,24.16867222222222
IN_2-HEUR,HEUR,3018.0,20,849,2.811809459574082,4.059532853625796,2.526686928707176,8.202007254015111,2.712007254015111,57.346,58.672,25.471922222222222
IN_2-ILP-IDLE-MAX,ILP-IDLE-MAX,178.0,20,850,3.245120297372341,3.4244635693455887,2.9193141262821745,8.738362651832157,3.2483626518321564,59.536,62.15,25.62015
IN_2-ILP-IDLE-MIN,ILP-IDLE-MIN,948.0,20,850,2.8658663969004854,3.730075394577856,2.564994007021937,8.185820476862341,2.695820476862341,57.29,58.528,25.582299999999996
IN_2-ILP-SM-I,ILP-SM-I,1441.0,20,848,2.27610444864806,3.5912876780639094,2.4662967439717973,7.748753034459091,2.258753034459091,55.508,56.832,25.559816666666666
IN_2-ILP-SM-II,ILP-SM-II,1613.0,20,848,2.27610444864806,3.591287678063909,2.4662967439717978,7.757209726108747,2.2672097261087467,55.404,56.724,25.418461111111114
IN_2-QP-LR-UB,QP-LR-UB,10851.0,20,834,2.8968420792327207,2.6578666464755347,2.581141052978669,8.327442262504938,2.837442262504938,57.564,59.392,25.49070555555555
IN_3-BB-LR,BB-lr,300.0,20,855,3.6246027543478543,4.384710753421756,3.394409662312426,8.84922633193292,3.35922633193292,60.316,62.03,25.556477777777772
