instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_1-BB-LR,BB-lr,300.0,20,928,3.1360024272602924,4.026750593588346,2.78144896575057,8.427245931911624,2.937245931911624,57.724,59.156,23.92998888888889
IN_1-BB-SM,BB-sm,300.0,20,910,2.732849734704545,4.18422084413819,2.8470841154955244,8.302342656361057,2.812342656361057,58.236,59.968,24.65515
IN_1-HEUR,HEUR,3383.0,20,938,3.250142036806396,5.4309403320732015,2.7460675345282315,8.388575027590267,2.898575027590267,56.892,58.252,22.693333333333335
IN_1-ILP-IDLE-MAX,ILP-IDLE-MAX,50724.0,20,940,3.517429968461077,3.4167458854282344,3.15013108365398,8.957395504435627,3.467395504435628,59.212,61.876000000000005,22.71248888888889
IN_1-ILP-IDLE-MIN,ILP-IDLE-MIN,869.0,20,940,3.2465630761644944,3.690663555495935,2.776237080805513,8.474295829554684,2.984295829554684,57.322,58.576,22.856594444444443
IN_1-ILP-SM-I,ILP-SM-I,7235.0,20,927,2.505243664488513,4.78614522352394,2.757978319734213,7.962710206941226,2.472710206941226,55.004,56.476,22.941516666666665
IN_1-ILP-SM-II,ILP-SM-II,6768.0,20,927,2.505243664488513,4.786145223523941,2.7579783197342134,7.966602019971844,2.4766020199718435,55.08,56.55,23.029700000000002
IN_1-QP-LR-UB,QP-LR-UB,57049.0,20,940,3.245875068849072,2.9538127713568016,2.798036503529816,8.608038431864674,3.118038431864674,57.852,59.328,23.121611111111115
IN_2-BB-LR,BB-lr,300.0,20,1039,3.2814681459791384,5.461586324676682,3.062250900377123,8.517620286943764,3.027620286943764,57.656,59.24,23.664988888888892
IN_2-BB-SM,BB-sm,300.0,20,891,2.9771256022441848,4.948797568660474,3.162522771487967,8.46467494952909,2.9746749495290903,59.184000000000005,61.188,24.92508888888889
IN_2-HEUR,HEUR,3422.0,20,1036,3.1650391307874366,5.137012519111528,3.1354697963942217,8.50387283427073,3.01387283427073,57.51,58.888,23.42510555555556
IN_2-ILP-IDLE-MAX,ILP-IDLE-MAX,9236.0,20,1040,3.7986996271002753,3.5326028591884864,3.392983137008647,9.370660722593705,3.8806607225937046,61.46,64.152,23.478461111111113
IN_2-ILP-IDLE-MIN,ILP-IDLE-MIN,776.0,20,1040,3.217391774402215,5.311856516313962,3.205384646780742,8.579639105553493,3.089639105553493,58.264,59.704,23.58213888888889
IN_2-ILP-SM-I,ILP-SM-I,49807.0,20,929,2.802613249249183,4.509004362348716,3.0696431994957205,8.183089683770524,2.6930896837705234,56.392,57.908,23.644627777777778
IN_2-ILP-SM-II,ILP-SM-II,14586.0,20,929,2.802613249249183,4.509004362348716,3.06964319949572,8.172654679948842,2.682654679948841,56.432,57.892,23.64197777777778
IN_2-QP-LR-UB,QP-LR-UB,300002.0,20,1026,3.511870636418462,3.333190866478827,3.1964170307141355,9.000623129887304,3.5106231298873034,60.244,62.354,23.849966666666663
IN_3-BB-LR,BB-lr,300.0,20,936,3.324340523186387,5.09384617761391,2.95516463791525,8.471120552496178,2.981120552496177,58.028,59.828,23.81092777777778
