instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big
IN_1-HEUR,HEUR,3178,20,870,3.0620767501236377,4.3247737931046695,2.5186534623653665,7.986805381909625,2.536805381909625,51.824,51.7
IN_1-ILP-IDLE-MAX,ILP-IDLE-MAX,891,20,870,3.38092068553656,3.421514471153148,2.909323413261362,8.752412609222008,3.3024126092220074,54.684000000000005,55.784
IN_1-ILP-IDLE-MIN,ILP-IDLE-MIN,766,20,870,3.0168406253573536,4.4805663402200455,2.83896341858326,8.262910657642525,2.812910657642525,53.272,53.22
IN_1-ILP-SM-I,ILP-SM-I,6756,20,863,2.404025741932036,4.047971405201992,2.428466769972722,7.638119086507168,2.188119086507168,50.3,50.328
IN_1-ILP-SM-II,ILP-SM-II,2351,20,863,2.404025741932036,3.793798073613552,2.428466769972722,7.704923547110438,2.2549235471104376,50.564,50.64
IN_1-QP-LR-UB,QP-LR-UB,18662,20,839,2.7510061932535006,2.633589379368154,2.467196537841917,8.1371814341231,2.6871814341231,52.4,52.46
IN_2-HEUR,HEUR,2840,20,854,2.3592404607770057,3.515948210400924,2.1815157467585955,7.660436409666172,2.210436409666172,50.604,50.484
IN_2-ILP-IDLE-MAX,ILP-IDLE-MAX,1173,20,860,2.8494292112283928,2.832708114895346,2.6221999468276533,8.274571939352791,2.824571939352791,52.562,53.692
IN_2-ILP-IDLE-MIN,ILP-IDLE-MIN,613,20,860,2.190470692913893,3.001603165069893,2.139391089015585,7.487212375607876,2.037212375607876,49.656,49.416000000000004
IN_2-ILP-SM-I,ILP-SM-I,1910,20,847,2.003949188042519,3.18031855536418,2.1611196536546147,7.416108745175929,1.9661087451759287,49.132,49.08
IN_2-ILP-SM-II,ILP-SM-II,944,20,847,2.003949188042519,3.18031855536418,2.161119653654615,7.4123856778506845,1.9623856778506843,49.14,49.064
IN_2-QP-LR-UB,QP-LR-UB,11712,20,858,2.3076503182739714,2.279576869702433,2.104495448075133,7.691498544901778,2.241498544901778,50.432,50.236000000000004
IN_3-HEUR,HEUR,3071,20,893,2.989797880550225,4.612219094501941,2.79753842242848,8.033902569711675,2.5839025697116744,52.358,52.198
IN_3-ILP-IDLE-MAX,ILP-IDLE-MAX,2194,20,900,3.4009570763839614,3.40393479061005,3.092341474278448,8.734743189996216,3.284743189996216,55.288,56.4
IN_3-ILP-IDLE-MIN,ILP-IDLE-MIN,723,20,899,3.106145913932058,4.591376479337716,2.8886484925131017,8.106716967314608,2.6567169673146074,52.848,52.756
IN_3-ILP-SM-I,ILP-SM-I,7749,20,846,2.565560942457782,4.022057046112069,2.7607901331550364,7.968530706904463,2.518530706904463,52.224,52.230000000000004
IN_3-ILP-SM-II,ILP-SM-II,1782,20,846,2.565560942457782,4.022057046112069,2.760790133155037,7.940342024520241,2.490342024520241,52.236,52.248
IN_3-QP-LR-UB,QP-LR-UB,70006,20,894,3.001093613803387,2.958870342007647,2.793591302934267,8.324093525428488,2.874093525428488,53.712,53.856
IN_4-HEUR,HEUR,3691,20,886,2.7631408095862087,4.145521195847008,2.561153758262321,7.981981926063912,2.531981926063912,52.42,52.312
IN_4-ILP-IDLE-MAX,ILP-IDLE-MAX,6866,20,890,3.417262913855944,3.2140525455658846,3.0283199353361807,8.807603047356388,3.357603047356388,55.448,56.776
IN_4-ILP-IDLE-MIN,ILP-IDLE-MIN,670,20,890,2.8860603411378487,4.41540675297903,2.6694600990445814,8.118617929606087,2.6686179296060866,52.664,52.632
IN_4-ILP-SM-I,ILP-SM-I,58296,20,880,2.490646791374416,4.221572436182004,2.562039718210641,7.811326916910543,2.361326916910543,51.356,51.404
IN_4-ILP-SM-II,ILP-SM-II,15652,20,880,2.490646791374416,4.221572436182004,2.562039718210641,7.814388661390345,2.364388661390345,51.268,51.43
IN_4-QP-LR-UB,QP-LR-UB,83613,20,873,2.9245931107006715,2.809742451937903,2.687178557794746,8.306746685204164,2.856746685204164,53.184000000000005,53.716
