instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_1-BB-LR,BB-lr,300.0,20,955,2.552367644943297,3.407746688023519,2.324553776580084,7.847373881948207,2.397373881948207,51.236,51.120000000000005,25.046694444444444
IN_1-BB-SM,BB-sm,300.0,20,906,2.292517565004528,3.208744259960876,2.3949751829007293,7.775096704323066,2.325096704323066,50.96,50.98,25.015566666666665
IN_1-HEUR,HEUR,3364.0,20,956,2.6968697478063404,4.686371845424099,2.346207377396399,7.9024739551380865,2.4524739551380863,50.852,50.896,24.063211111111116
IN_1-ILP-IDLE-MAX,ILP-IDLE-MAX,19350.0,20,960,3.1026147813225786,3.0117051149906326,2.811073978860269,8.48539198155124,3.03539198155124,53.528,54.764,24.127216666666673
IN_1-ILP-IDLE-MIN,ILP-IDLE-MIN,987.0,20,960,2.602824705420062,3.177569912905348,2.324537125013546,7.8314446204394255,2.3814446204394253,50.9,50.788,24.14023888888889
IN_1-ILP-SM-I,ILP-SM-I,6951.0,20,954,2.185435772873461,3.474197036167342,2.361587779925869,7.602007770534005,2.152007770534005,49.788,49.676,24.764233333333333
IN_1-ILP-SM-II,ILP-SM-II,6604.0,20,954,2.185435772873461,3.1242582489667337,2.3615877799258684,7.588171057567883,2.1381710575678827,49.712,49.656,24.734966666666665
IN_1-QP-LR-UB,QP-LR-UB,31901.0,20,957,2.6329854844138025,2.5100579455705203,2.3704768976607866,7.964011034140555,2.5140110341405544,52.282,52.248,24.863438888888886
IN_2-BB-LR,BB-lr,300.0,20,1049,2.6029163584964614,3.739102747509743,2.563098135678974,7.934515296880925,2.484515296880925,51.796,51.802,24.992016666666668
IN_2-BB-SM,BB-sm,300.0,20,985,2.5339288148993537,3.969604503586136,2.6077631209476784,7.8644487690918385,2.4144487690918384,51.564,51.712,24.912405555555555
IN_2-HEUR,HEUR,3384.0,20,1038,2.560754559536775,4.300397273717638,2.54907806924212,7.857748105384064,2.407748105384064,52.588,52.512,25.84955
IN_2-ILP-IDLE-MAX,ILP-IDLE-MAX,1366.0,20,1050,3.3562461856433323,3.0435827526352446,2.9451998421960672,8.783092922181602,3.333092922181602,56.516,57.798,26.313633333333332
IN_2-ILP-IDLE-MIN,ILP-IDLE-MIN,812.0,20,1050,2.629925552876222,4.418997544603237,2.6375238993591967,7.955157447886968,2.505157447886968,52.328,52.216,26.43871111111111
IN_2-ILP-SM-I,ILP-SM-I,38901.0,20,964,2.3985148523676965,3.7178261266152863,2.5510232865683555,7.703446529706093,2.2534465297060926,52.204,52.174,25.759233333333334
IN_2-ILP-SM-II,ILP-SM-II,10952.0,20,964,2.3985148523676965,3.717405307359821,2.551023286568356,7.704662657990806,2.2546626579908056,51.132,51.272,26.35097222222222
IN_2-QP-LR-UB,QP-LR-UB,300001.0,20,1029,2.95070194847527,2.846110171603407,2.72628868978587,8.34641042186063,2.8964104218606304,53.172,53.712,25.54631666666667
IN_3-BB-LR,BB-lr,300.0,20,983,2.5618348202705383,3.437000712754649,2.5185506032090585,7.855251491556099,2.4052514915560987,51.52,50.952,24.80339444444445
IN_3-BB-SM,BB-sm,300.0,20,998,2.452263230219484,3.5101674148589783,2.56540208041444,7.855804309667263,2.405804309667263,51.4,50.988,24.683427777777776
IN_3-HEUR,HEUR,3389.0,20,999,2.680899665921926,4.56067035867684,2.5438890032130206,7.867498956743447,2.417498956743448,51.084,51.308,25.17932222222222
IN_3-ILP-IDLE-MAX,ILP-IDLE-MAX,9001.0,20,1000,3.2845933423936367,3.075969770748166,2.929789927331776,8.633218224016563,3.1832182240165627,54.02,55.516,24.939449999999997
IN_3-ILP-IDLE-MIN,ILP-IDLE-MIN,1037.0,20,1000,2.540430724143982,4.299628062040528,2.5837283329945206,7.86533992832277,2.41533992832277,50.572,50.672,24.494133333333334
IN_3-ILP-SM-I,ILP-SM-I,5751.0,20,1000,2.32839619371295,3.110133364067781,2.480368768031229,7.734415231558278,2.284415231558277,50.1,50.576,24.37641666666667
IN_3-ILP-SM-II,ILP-SM-II,3538.0,20,1000,2.32839619371295,3.110133364067781,2.480368768031229,7.728542553291356,2.278542553291356,49.868,49.34,24.306227777777785
IN_3-QP-LR-UB,QP-LR-UB,169128.0,20,989,2.8087888783067463,2.775701637891947,2.637427259344266,8.135079852949845,2.685079852949845,53.06,54.408,24.445633333333333
IN_4-BB-LR,BB-lr,300.0,20,880,2.587602234556434,3.653726375758624,2.613185991072015,7.959470264423318,2.509470264423318,51.8,51.796,24.56841666666667
IN_4-BB-SM,BB-sm,300.0,20,872,2.498001929280463,4.406237059257135,2.655070640308333,7.888924341270972,2.438924341270972,51.292,51.416,24.505561111111113
IN_4-HEUR,HEUR,3135.0,20,888,2.841248293606083,4.784218654537211,2.7026119876893104,8.038256174045673,2.5882561740456724,53.016,53.082,25.778966666666665
IN_4-ILP-IDLE-MAX,ILP-IDLE-MAX,71808.0,20,890,3.504629475380597,3.231002965749279,3.0906902002247705,8.898519166996923,3.448519166996923,56.604,57.834,26.026522222222223
IN_4-ILP-IDLE-MIN,ILP-IDLE-MIN,864.0,20,890,3.014158255112975,4.661150435474214,2.816179102686399,8.164859048931183,2.7148590489311824,53.784,53.972,26.251816666666674
IN_4-ILP-SM-I,ILP-SM-I,5972.0,20,882,2.3761334954855147,3.864532186555105,2.6014384375880284,7.764728786241866,2.314728786241866,52.178,52.156,26.231961111111115
IN_4-ILP-SM-II,ILP-SM-II,2146.0,20,882,2.3761334954855147,3.881287454176711,2.6014384375880275,7.760371092304158,2.310371092304158,52.326,52.274,26.207594444444446
IN_4-QP-LR-UB,QP-LR-UB,24567.0,20,883,2.836066616368428,2.780164697072133,2.649766235222546,8.140981240155417,2.690981240155417,53.716,53.744,26.30323888888889
IN_5-BB-LR,BB-lr,300.0,20,1040,2.677019620056336,3.612627482139812,2.623278348865929,7.96009966296711,2.51009966296711,51.364,51.404,24.42826111111111
IN_5-BB-SM,BB-sm,300.0,20,982,2.551346165529237,4.253599570866197,2.665175494583869,7.980786635272279,2.530786635272279,51.536,51.776,24.410633333333326
IN_5-HEUR,HEUR,3241.0,20,1034,2.739069818476072,4.326684559341623,2.66968026907158,8.00866511250726,2.558665112507259,53.132,53.174,26.412288888888888
IN_5-ILP-IDLE-MAX,ILP-IDLE-MAX,8616.0,20,1040,3.3046428365919454,3.1683108265098654,3.025440823025546,8.674212206098245,3.2242122060982448,55.832,57.106,26.344711111111106
IN_5-ILP-IDLE-MIN,ILP-IDLE-MIN,1021.0,20,1040,2.736671575789268,4.596085566816632,2.679911365258849,8.01150590471832,2.56150590471832,53.116,53.086,26.32010555555556
IN_5-ILP-SM-I,ILP-SM-I,11661.0,20,1037,2.4179866324393795,3.375719286215248,2.603734179335742,7.830666385917525,2.380666385917525,52.212,52.118,26.317450000000004
IN_5-ILP-SM-II,ILP-SM-II,2331.0,20,1037,2.4179866324393795,3.375719286215247,2.6037341793357416,7.785117312989114,2.335117312989114,52.224,52.14,26.152116666666664
IN_5-QP-LR-UB,QP-LR-UB,20096.0,20,1030,2.8311955600547103,2.7698934761486536,2.67702928936399,8.15719143463039,2.7071914346303894,53.276,53.564,26.134649999999997
IN_6-BB-LR,BB-lr,300.0,20,974,2.843705981772165,3.952191232792107,2.617135464167999,8.201476015749314,2.751476015749314,52.232,52.34,24.333733333333335
IN_6-BB-SM,BB-sm,300.0,20,896,2.695103244027313,4.48852006691523,2.6937966488944203,8.0808527376535,2.630852737653499,51.66,52.034,24.285199999999996
IN_6-HEUR,HEUR,3891.0,20,980,2.9639145720674067,5.01976701501503,2.7127124297429503,8.218665236483897,2.768665236483897,53.7,53.872,26.024372222222226
IN_6-ILP-IDLE-MAX,ILP-IDLE-MAX,422.0,20,980,3.4347468462221475,3.266503333565693,3.048819252105974,8.892279076741588,3.4422790767415874,56.336,57.782,26.09844444444444
IN_6-ILP-IDLE-MIN,ILP-IDLE-MIN,644.0,20,980,2.787821004478907,3.6285979707852887,2.593036435308677,8.064681133382628,2.614681133382628,53.16,53.09,26.023877777777777
