instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_1-BB-LR,BB-lr,300.0,20,648,3.5565158049265544,4.226163446975373,3.4554023361062614,6.303442495126705,3.703442495126705,57.46,57.46,25.0
IN_1-BB-SM,BB-sm,300.0,20,603,3.438672695512121,4.115704198310576,3.4554023361062627,6.305355036171397,3.705355036171397,57.370000000000005,57.370000000000005,25.0
IN_1-HEUR,HEUR,1993.0,20,659,3.403827018493956,5.195505665334439,3.372756555971728,6.185365432785973,3.585365432785973,57.06,57.05,25.0
IN_1-ILP-IDLE-MAX,ILP-IDLE-MAX,322.0,20,660,4.456636845704281,5.258243022066968,4.456750892392957,7.22584645340751,4.62584645340751,60.75,60.75,25.0
IN_1-ILP-IDLE-MIN,ILP-IDLE-MIN,221.0,20,660,4.192104448208755,5.832775762938175,4.132242276233588,6.94238692628651,4.34238692628651,60.26,60.26,25.0
IN_1-ILP-SM-I,ILP-SM-I,1781.0,20,659,3.3024608586773727,3.989480842575191,3.274246722241569,6.127352810239287,3.527352810239288,57.76,57.76,25.0
IN_1-ILP-SM-II,ILP-SM-II,1274.0,20,659,3.3024608586773727,3.9894808425751913,3.274246722241568,6.133704899777283,3.533704899777282,57.14,57.14,25.0
IN_1-QP-LR-UB,QP-LR-UB,11503.0,20,643,3.3948932844581026,3.591871120669272,3.350367902566759,6.246043986636971,3.6460439866369705,58.66,58.66,25.0
IN_2-BB-LR,BB-lr,300.0,20,666,3.038035731662565,3.924269123806288,2.975981774629969,5.897074053452116,3.2970740534521155,57.51,57.51,25.0
IN_2-BB-SM,BB-sm,300.0,20,647,3.1067217608218765,4.48629943161831,3.1252345426154027,6.007942093541203,3.407942093541203,57.96,57.96,25.0
IN_2-HEUR,HEUR,1835.0,20,660,3.096182007553862,4.073234696867887,2.955002050161461,5.867910077951003,3.267910077951003,57.54,57.54,25.0
IN_2-ILP-IDLE-MAX,ILP-IDLE-MAX,1004.0,20,670,3.796358906688975,4.480430865597056,3.844636672960749,6.623957417200112,4.023957417200112,60.14,60.14,25.0
IN_2-ILP-IDLE-MIN,ILP-IDLE-MIN,390.0,20,670,3.362951376233528,4.869879954438493,3.214857514719289,6.113410192147035,3.513410192147035,58.620000000000005,58.620000000000005,25.0
IN_2-ILP-SM-I,ILP-SM-I,3959.0,20,659,2.981531177083058,3.9486420915751146,2.9367166828597986,5.824071527971055,3.2240715279710552,57.68,57.68,25.0
