instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr,power,power_offset,temp-little,temp-big,ambient
IN_1-BB-LR,BB-lr,300.0,20,648,3.575942966341972,5.409083112090333,3.4705169728399947,6.382698496659243,3.782698496659243,56.38,56.38,25.0
IN_1-BB-SM,BB-sm,300.0,20,607,3.4918795716304047,4.858781317480838,3.4705169728399947,6.359123783031989,3.759123783031989,56.52,56.53,25.0
IN_1-HEUR,HEUR,2142.0,20,638,3.5441677198043235,4.824865901201073,3.4260204517214503,6.337039554317549,3.737039554317549,56.120000000000005,56.120000000000005,25.0
IN_1-ILP-IDLE-MAX,ILP-IDLE-MAX,779.0,20,650,4.597930542872502,5.372934635303688,4.620159291763782,7.311398773006135,4.711398773006135,59.69,59.69,25.0
IN_1-ILP-IDLE-MIN,ILP-IDLE-MIN,329.0,20,650,3.606114742205693,5.43400557640642,3.450373889710163,6.400716675962075,3.8007166759620734,56.67,56.67,25.0
IN_1-ILP-SM-I,ILP-SM-I,4920.0,20,646,3.328125223013071,3.731126042881577,3.264748012450404,6.151189415041783,3.551189415041782,55.72,55.72,25.0
IN_1-ILP-SM-II,ILP-SM-II,3187.0,20,646,3.328125223013071,3.733075663619569,3.264748012450404,6.1471248606466,3.5471248606466,55.77,55.77,25.0
IN_1-QP-LR-UB,QP-LR-UB,22895.0,20,648,3.418114345532197,3.529043625775681,3.336900202488982,6.233988300835655,3.633988300835655,55.86,55.86,25.0
IN_2-BB-LR,BB-lr,300.0,20,681,3.6357247685176737,4.771467423114224,3.590938119935663,6.58101226309922,3.98101226309922,57.03,57.03,25.0
IN_2-BB-SM,BB-sm,300.0,20,681,3.5714285108922184,5.246933839455504,3.57342424061952,6.57907194645845,3.97907194645845,57.29,57.29,25.0
IN_2-HEUR,HEUR,2085.0,20,690,3.630683739245802,4.7149180507416615,3.560723008802532,6.506769230769231,3.906769230769231,57.02,57.02,25.0
IN_2-ILP-IDLE-MAX,ILP-IDLE-MAX,895.0,20,690,4.727438017121259,5.397729773080012,4.755775568681936,7.474884615384616,4.874884615384616,59.99,59.99,25.0
IN_2-ILP-IDLE-MIN,ILP-IDLE-MIN,495.0,20,690,3.6987858361524086,4.827546336701978,3.6854941898929687,6.659105849582173,4.059105849582172,57.77,57.77,25.0
IN_2-ILP-SM-I,ILP-SM-I,5940.0,20,683,3.5115768735823423,5.231776615106231,3.4986109594983343,6.501527313266443,3.901527313266443,57.06,57.06,25.0
IN_2-ILP-SM-II,ILP-SM-II,10015.0,20,683,3.5115768735823423,5.255003844234909,3.498610959498335,6.456160486674392,3.856160486674392,56.45,56.45,25.0
IN_2-QP-LR-UB,QP-LR-UB,37076.0,20,689,3.606206764691118,3.750055637909655,3.5408567333252257,6.584494150417827,3.984494150417827,57.46,57.46,25.0
IN_3-BB-LR,BB-lr,300.0,20,639,3.3844151363009587,3.929595521392877,3.256715129201151,6.313310652537647,3.713310652537648,56.52,56.52,25.0
IN_3-BB-SM,BB-sm,300.0,20,555,3.338344231271185,3.649183632827758,3.275328294829,6.241903964265774,3.6419039642657736,56.56,56.56,25.0
IN_3-HEUR,HEUR,1789.0,20,638,3.328252412797883,4.354977444254767,3.1810317778429065,6.142659977703456,3.542659977703456,56.42,56.42,25.0
IN_3-ILP-IDLE-MAX,ILP-IDLE-MAX,479.0,20,640,4.566009443532676,5.221244850806092,4.535043515042849,7.262080915178572,4.6620809151785725,60.04,60.04,25.0
IN_3-ILP-IDLE-MIN,ILP-IDLE-MIN,123.0,20,640,3.980617169383913,5.452268799926853,3.889950429431213,7.0383366778149385,4.438336677814938,59.97,59.97,25.0
IN_3-ILP-SM-I,ILP-SM-I,6852.0,20,640,3.1970065652858466,3.730599169863565,3.0731281981521725,6.053371237458194,3.4533712374581937,56.45,56.45,25.0
IN_3-ILP-SM-II,ILP-SM-II,8190.0,20,640,3.1970065652858466,3.730599169863565,3.073128198152172,6.080369359331477,3.4803693593314766,56.49,56.49,25.0
IN_3-QP-LR-UB,QP-LR-UB,18119.0,20,632,3.300988729787059,3.2987377461938885,3.18611253999085,6.147067447045708,3.547067447045708,56.45,56.45,25.0
