# Started at: 2021-02-13 08:07:22 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment2_out/Instance1/2/RANDOM1.json.yaml.csv -- demos-sched -c /root/experiment2/Instance1/RANDOM1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09278,29700,30300,30500,29100,30100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8252e+06,0,0,0,0,33.3333,0
994.877,30100,30700,30500,29500,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1358e+06,41.5842,34.0206,29.5918,48.4848,29.2929,21.4286
1597.69,,,,,,,,,,,,,22.015,,,,,,,,,,,,,,,,
1994.32,30300,30900,30900,29700,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9054e+06,43.8776,44.5545,38.2353,49,26.5306,25
2993.96,30900,32100,30900,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.4444e+06,45.5446,50.495,36.3636,43,32,29
3994.59,30900,31300,31300,29900,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7928e+06,40.2062,45,34.3434,41.5842,25,22
4994.14,30900,31500,30900,29900,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0262e+06,46,50,40.404,45.5446,30.303,28.2828
5994.17,30900,31500,31300,30100,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0152e+06,42.8571,44.4444,33.6735,42.4242,24.2424,24.5098
6994.83,31300,31700,31700,30300,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.99e+06,48.9796,49.4845,40.404,49,32.6733,28.2828
7994.11,31900,32300,31700,30700,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9988e+06,44.4444,44,39.3939,46.5347,31.6832,29
8994.11,32100,32600,32100,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9104e+06,37.3737,42.5743,31,39.3939,32.6733,28.2828
9994.83,31700,32300,32100,30700,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8138e+06,39.3939,42,32,39.3939,22.449,23
10994.9,32100,33000,32500,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.947e+06,48.4536,49.4949,39.7959,50.495,33,31
11667.5,,,,,,,,,,,,,21.994,,,,,,,,,,,,,,,,
11994,31900,32600,32600,31300,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5088e+06,48,41.4141,38.3838,48.4848,27.551,26
12994.8,32300,33200,32600,31700,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7916e+06,46.4646,49,39.604,48.4848,28,24.2424
13994.1,32500,34200,33000,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5502e+06,48,52.4752,41.8367,44.1176,32,29.703
14994.8,32600,33400,33200,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8658e+06,41.4141,42.8571,34.0206,41.4141,25.2525,22
15994.1,32800,33000,32800,31900,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2352e+06,47,50,43.6893,44.4444,30,28.2828
16994.9,32600,33400,33200,32300,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1398e+06,44,46,33.3333,42,24.7525,23.7624
17994.5,33600,33800,33600,32300,33000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5736e+06,52.4752,51,43,49,30.9278,28.2828
18994.1,33600,34200,33800,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.063e+06,47,46.0784,44,45.4545,33.3333,28.2828
19994.1,33600,34800,33600,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.134e+06,42.4242,42.5743,35.3535,40.1961,33,28.2828
20994.9,33600,34200,34000,33000,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1492e+06,45.5446,43,36,40.404,23.4694,23.2323
21733.7,,,,,,,,,,,,,21.983,,,,,,,,,,,,,,,,
21994.1,34000,35000,34400,33400,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5908e+06,54,53.5354,45.5446,49.505,32.6733,29.2929
22588.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
22805.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
22994.6,34000,35400,34400,33200,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0526e+06,50,46,42.4242,50,28.2828,25
23994.3,34200,35000,34400,33800,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1306e+06,50.495,50,42.4242,49.4949,28,24.2424
24796,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
24994.4,34400,35800,34400,33600,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3812e+06,51.0204,53.5354,45,44,32.6733,31.068
25168.4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
25994.3,34400,35400,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8684e+06,45.9184,46.4646,39.3939,42,24.4898,21.4286
26051.2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
26930.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
26994.1,34400,36200,34800,33400,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3094e+06,49.505,53.4653,47,44.5545,30.6931,29
27424.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
27430.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
27995,34200,35000,34800,33600,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1666e+06,46.9388,46.4646,40,43,25.2525,21.2121
28291.2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
28994.6,35200,35400,35200,34000,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9094e+06,54,54.5455,48.0392,50,32.3232,28.2828
