# Started at: 2021-02-12 21:32:34 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment2_out/Instance2/1/EikR1.json.yaml.csv -- demos-sched -c /root/experiment2/Instance2/EikR1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09427,30100,30900,30900,29500,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9116e+06,0,50,0,0,33.3333,33.3333
995.442,30300,32300,30900,29900,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7718e+06,21,15.1515,19.6078,30.6931,37.1134,37
1584.43,,,,,,,,,,,,,23.828,,,,,,,,,,,,,,,,
1995.07,30900,31700,31300,30300,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6554e+06,11.8812,8.91089,11,8.08081,42,29
2995.64,30700,31900,31300,30100,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7996e+06,10.2041,11.1111,11.1111,20.202,45.5446,45.5446
3995.85,31100,31900,31500,30500,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0936e+06,23.2323,19.802,21.2121,31,35.0515,26.7327
4995.86,31300,32600,31700,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.588e+06,1.9802,4.9505,0,1,58,39.3939
5995.43,31300,32300,31700,30900,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1736e+06,21.4286,21.2121,20,32.6733,30.6931,31
6995.94,31700,33200,31900,30700,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7498e+06,8.08081,9.90099,11.2245,8,52.9412,38.6139
7995.85,31900,33200,32100,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2846e+06,16,12.8713,14,25.7426,39.7959,40.404
8995.85,32500,33400,32500,31300,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.844e+06,22.2222,17.1717,19.1919,28.7129,40.404,31.6832
9995.84,32100,33000,32500,31300,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6364e+06,2.0202,2,2,9.90099,50.495,39
10995,32500,33800,32800,31500,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2016e+06,24.2424,19.5876,22.449,37.3737,33.6735,29
11648.4,,,,,,,,,,,,,23.817,,,,,,,,,,,,,,,,
11995.9,32100,33000,32800,31700,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6264e+06,1,5.94059,0,2.94118,48,32
12995.8,32500,33400,33200,31900,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3656e+06,23.4694,19.1919,22.2222,33,42,45
13995.9,33000,34400,33600,32300,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9452e+06,17.1717,19.2308,16,16.1616,44,29
14995.9,33000,35000,33200,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1588e+06,8.91089,8,8.91089,19,49.4949,46.5347
15995.6,32800,33600,33400,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9444e+06,22.449,21.2121,21,31.3131,27.551,21.7822
16995.2,33000,34200,33600,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6052e+06,1,4,0,0,57,40
17995.9,33600,35000,34000,33000,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6206e+06,25.2525,24.4898,22.449,37,38,39
18995.5,33800,34600,34200,33000,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.828e+06,15.3061,9,15,19,46,32
19995.2,34000,34600,34400,33200,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9284e+06,12,17,8.16327,23.5294,44.4444,46.6019
20915.1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
20995.3,34200,35000,34800,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3262e+06,28.7129,30.3922,29.4118,36.3636,36.3636,26.2626
21708.5,,,,,,,,,,,,,23.828,,,,,,,,,,,,,,,,
21995,34000,35600,34400,33400,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6876e+06,1.9802,0,2,5,57.4257,39
22296.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
22341.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
22995.8,34400,35400,34400,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1126e+06,25.5102,25.4902,27.2727,36,30,32.6733
23928.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
23995.9,34800,36200,35200,33600,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3296e+06,11,12.1212,11,11,52.5253,38
24224.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
24995.5,34600,36000,35400,33800,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0568e+06,16.1616,16.1616,18.3673,27.7228,40.404,41
25609.1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
25676.4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
25722,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
25992,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
25995.2,35200,36600,35400,34400,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8652e+06,26,24,32.6923,29,41,31.6832
26995.9,34800,35800,35200,34200,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9272e+06,0,4,3,7.07071,50,39.604
27376.4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
27650.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
27995.7,35000,36800,35400,34200,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.29e+06,26,26.2626,28.7129,36,35,28.2828
28995.8,35200,35800,35600,34200,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7188e+06,1.0101,1,0,6.79612,48,32
29005.4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
29058.6,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
29143.5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
29300.8,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
29995.7,35600,37000,36000,34800,35400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4466e+06,26.7327,28,27.7228,36.3636,43,45
