# Started at: 2021-02-15 16:39:40 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/bonus_out/1/OPTIMAL2_nob.json.yaml.csv -- demos-sched -c /root/bonus/OPTIMAL2_nob.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10765,30100,30700,30500,29700,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.308e+06,0,0,0,0,0,0
994.988,30700,31100,30900,29700,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.658e+06,58.1633,58.1633,58.5859,63.9175,20.202,21.4286
1851.38,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,
1994.74,31100,31500,31100,29700,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3914e+06,46,36.6337,46.4646,36,16.8317,9
2995.46,31100,32100,31300,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.208e+06,49,46.4646,50,48,22.2222,13
3994.92,30700,31500,31300,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3822e+06,56.5657,44,54,50,8.08081,9
4995.59,31100,31900,31700,30500,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3666e+06,46,43,51.9608,41.5842,23,14
5995.54,31700,32500,31700,30700,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.4744e+06,59,56.4356,56.5657,60.396,18.3673,20
6995.24,31700,32800,32100,31100,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3632e+06,45,38.5417,52,40.404,17.1717,7.14286
7994.94,31700,32300,31900,30900,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2048e+06,50.495,52,50.5051,53.5354,13.2653,13
8995.62,31700,32500,32300,31100,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6552e+06,66.6667,53.0612,63.7255,59.8039,18.6275,10
9995.27,32100,32600,32500,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6774e+06,41.8367,40.1961,48.0392,35.6436,23.2323,12.1212
10995.6,32300,33400,32500,31500,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.327e+06,53.5354,50,51.5152,55,17.1717,15.8416
11918.8,,,,,,,,,,,,,24.311,,,,,,,,,,,,,,,,
11995.2,32100,32800,32600,31500,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0346e+06,46.6019,43.4343,53.4653,43.8776,16.1616,6.06061
12994.7,32600,33000,32800,31900,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5164e+06,60,62,60.6061,63,21.7822,19.3878
13995.3,32600,33000,33000,31900,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.4214e+06,58.1633,52.4752,60.396,52,17,9
14995.3,33000,33400,33200,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.709e+06,47.4747,43,50,46.6019,23,15.534
15994.9,32500,33200,33400,32100,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2178e+06,48.5149,42.4242,44.898,49.4949,8.08081,7.14286
16995.4,33000,33600,33600,32300,33000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7176e+06,52.4752,45.3608,57.4257,46.1538,23.7624,13.1313
17994.7,33800,34000,33600,32500,33000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8678e+06,59.596,60.396,60.396,63.6364,21.2121,19
18994.9,33600,34200,34000,32600,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.64e+06,49,46.4646,55.5556,48.4848,17.8218,10
19995.1,33600,35000,34000,32800,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.504e+06,49.505,52,50.9804,52,22,12.2449
20995.2,33600,34200,34200,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6892e+06,58,49.5146,59,59.4059,10.2041,9.09091
21979.4,,,,,,,,,,,,,24.311,,,,,,,,,,,,,,,,
21994.6,33400,34200,34200,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.4508e+06,47,50.5051,52,47,23.7624,14
22994.8,34400,36000,34400,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7524e+06,58.8235,56.5657,61,64,20.202,18
23403.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
23404.4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
23743.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
23756.7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
23995.1,34400,35400,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9506e+06,45,50.495,54.5455,49.4949,17.8218,8.91089
24994.9,34200,34600,34600,33200,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.4964e+06,49.4949,52.4752,51.4851,53,13.2653,12.1212
25995.5,34600,35200,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6372e+06,64.6465,61,68,68.3168,17,8.08081
26714,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
26714.7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
26995.2,34400,35400,35000,33600,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.457e+06,44,45.5446,47,42,22.2222,12.2449
27072,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
27090.2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
27995.2,35000,36200,35200,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2688e+06,52.5253,51.0204,55.5556,59,15.1515,15
28479.5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
28479.7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
28847.8,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
28871.3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
28995.5,34800,35400,35600,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7124e+06,47,50.495,55,50.5051,16,7
29994.7,35000,35400,35600,34200,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.4148e+06,60,62,61.3861,63.3663,19,20.7921
30245.9,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
30461.8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
30995.4,35400,35800,35600,34200,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3252e+06,60.396,58.8235,64,61.3861,20.7921,6.12245
31995.5,35400,36000,35800,34400,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2326e+06,48.4848,47.4747,50,49.4949,22.449,12.1212
32056.1,,,,,,,,,,,,,24.311,,,,,,,,,,,,,,,,
32201.5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
32995.4,35000,35800,35600,34400,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.193e+06,49,46,49.4949,52.4752,7,9
33548.2,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
33551.6,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
33863.5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
33950.4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
33981,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
33995.2,35600,35800,36000,34600,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.496e+06,53.4653,57.4257,62,57.4257,22.449,14.8515
34995.7,35800,36200,36000,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3328e+06,60,60,61,63.3663,19.1919,18.1818
35317.3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
35995,35800,36400,36400,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5562e+06,51,50,56,51.0204,20.3883,8
36995.1,35800,36400,36200,34800,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.236e+06,49,51.4851,50,52,22,11.2245
37262.2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
37270.8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
37277.4,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
37311.8,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
37995.6,35800,36200,36200,35200,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1386e+06,58.5859,52.5253,59,59,9.09091,7.14286
38616.1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
38995.4,35800,36400,36400,35200,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6822e+06,50,50.495,52.5253,47,22.2222,13.1313
39054.3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
39089.8,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
