# Started at: 2021-02-22 15:36:55 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment4_out/Cmax_vs_T/1/750.json.yaml.csv -- demos-sched -c /root/experiment4/Cmax_vs_T/750.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09666,30700,31300,30900,29900,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.7974e+06,0,0,0,33.3333,0,0
142.923,,,,,,,,,,,,,,56.27,53.98,,,,,,,,,,,,,,
994.748,31900,32600,31700,30500,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9794e+06,64.7059,79.6117,80,76.7677,42.4242,18
1994.85,31900,33000,32100,31100,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5328e+06,69.4737,92.9293,88.8889,87.1287,37.6238,26
2995.02,32300,33000,32300,31300,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.201e+06,73.2673,86.8687,87.1287,86,41.8367,32.3232
3995.17,32600,33400,32800,31500,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3554e+06,73.5294,91.7526,81.1881,78.7879,42.5743,20
4995.32,32600,33400,32600,31700,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5994e+06,74.7475,94.0594,88,87.1287,38.6139,27.2727
5458.08,,,,,,,,,,,,,26.155,,,,,,,,,,,,,,,,
5994.75,33000,34600,33000,32300,33000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2938e+06,72,88.1188,87.8788,86,41.4141,32
6994.74,33200,33800,33600,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2044e+06,78.2178,94.0594,81,78,41.4141,18
7994.86,33400,34400,33800,32500,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2366e+06,83.3333,97.9592,88.1188,88,38,34
8600.92,,,,,,,,,,,,,,,,,,,,,,3303,,,,,,,
8995.43,34000,35400,34000,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.7558e+06,78.7879,96.0396,88,86,43.4343,35
9457.39,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
9738.91,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
9995.33,34000,34600,33800,32800,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.6452e+06,83.1683,96.0396,80,78.2178,42.5743,24
10110.8,,,,,,,,,,,,,,,,,,,,,,7043,,,,,,,
10266.5,,,,,,,,,,,,,,56.36,53.94,,,,,,,,,,,,,,
10994.8,34200,35000,34400,33400,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.554e+06,84.1584,97,89,87,38.6139,36.3636
11140.2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
11610.8,,,,,,,,,,,,,,,,,,,,,,10720,,,,,,,
11610.8,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
11995.3,34600,36200,34400,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0228e+06,79.798,96,87,85.8586,41.4141,35
12994.7,34600,35400,34800,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6282e+06,82,96,81,79.2079,42,24
13102.8,,,,,,,,,,,,,,,,,,,,,,14400,,,,,,,
13173.5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
13352.5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
13995.2,34800,35400,34800,34000,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3814e+06,84.3137,98,88.1188,87.1287,38.3838,33.3333
14600.9,,,,,,,,,,,,,,,,,,,,,,18143,,,,,,,
14742.5,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
14972.5,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
14995.6,35000,36600,35200,34000,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.766e+06,78.5714,96,87.8788,85.8586,43,35
15525,,,,,,,,,,,,,26.155,,,,,,,,,,,,,,,,
15995.7,35400,36200,35400,34400,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2048e+06,83,96,80.198,79,42,24
16110.8,,,,,,,,,,,,,,,,,,,,,,21854,,,,,,,
16373.9,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
16880,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
16995.2,35400,36000,35400,34400,35400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.647e+06,86,97,89.1089,87.1287,39.2157,34.3434
17610.8,,,,,,,,,,,,,,,,,,,,,,25584,,,,,,,
17993.3,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
17995.5,35800,36600,35600,34600,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3066e+06,81,96,87,86,41.8367,36.6337
18449.4,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
18994.8,35800,36400,35600,34600,35400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1842e+06,84,96.9697,80.8081,78.2178,44.4444,23.2323
19110.8,,,,,,,,,,,,,,,,,,,,,,29307,,,,,,,
19394.1,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
19994.8,36000,37000,36000,34800,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9694e+06,86.2745,97,88.1188,87.8788,38.6139,34
20020,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
20369.5,,,,,,,,,,,,,,56.52,54.10,,,,,,,,,,,,,,
20610.8,,,,,,,,,,,,,,,,,,,,,,33058,,,,,,,
20995.3,36200,37000,36400,35200,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3984e+06,80.6122,96.0396,88,85.8586,44.4444,35.6436
21050.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
21371.4,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
21604.7,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
21995.1,36200,37000,36200,35200,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.9576e+06,85.1485,96,80.8081,79.2079,41.8367,22.2222
22110.8,,,,,,,,,,,,,,,,,,,,,,36792,,,,,,,
22941.5,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
22995.7,36400,37700,36400,35400,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8682e+06,86,97.9798,88.1188,87.1287,38,34.6535
23224.9,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
23610.8,,,,,,,,,,,,,,,,,,,,,,40497,,,,,,,
23995.3,36600,37400,36800,35600,36200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1572e+06,80.198,96,87.8788,85.8586,43.5644,36
24017,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
24512.1,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,
24625.6,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
24995,36800,37400,37000,35600,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4786e+06,85,96.0396,80.3922,78.2178,42,23
25110.8,,,,,,,,,,,,,,,,,,,,,,44230,,,,,,,
25590,,,,,,,,,,,,,26.155,,,,,,,,,,,,,,,,
25861.2,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
25995.4,37000,37700,37000,35800,36600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.8694e+06,85.7143,97,89,88,37.3737,34.3434
26295,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
26610.8,,,,,,,,,,,,,,,,,,,,,,47971,,,,,,,
26842.7,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
26995,37000,38700,37200,36000,36600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.363e+06,81.1881,95.9596,87,86,43,34.3434
27434,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,
27995.7,37200,37400,37500,35800,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.698e+06,84.1584,96.0396,81,78,42,24
28110.8,,,,,,,,,,,,,,,,,,,,,,51694,,,,,,,
28456.1,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
28995.8,37400,38500,37500,36400,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.699e+06,85.8586,97.9798,88.1188,87,39.604,35.2941
29005,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,
29258.7,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
29610.8,,,,,,,,,,,,,,,,,,,,,,55440,,,,,,,
29857.4,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,
29995.7,37700,39300,37900,36600,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.8172e+06,81.1881,96.0396,87.8788,86,43.4343,35.3535
30359.2,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
