# Started at: 2021-02-25 00:02:35 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/CMAX2_out/2/750m.json.yaml.csv -- demos-sched -c /root/CMAX2/750m.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.0914,29300,30100,29700,28500,29700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8236e+06,0,0,0,0,0,0
130.585,,,,,,,,,,,,,,64.02,60.09,,,,,,,,,,,,,,
994.746,30700,31900,30500,29700,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.3212e+06,40.404,35.3535,29.4737,27.551,66.6667,69
1994.93,30700,32300,30700,30100,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.608e+06,28.866,30.6122,43.5644,15.1515,81.1881,74.2268
2994.73,31100,32800,31100,30500,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1556e+06,24.7525,23.7624,29.8077,15.8416,86,83.8384
3994.38,31300,32600,31300,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1908e+06,41,36,41.5842,29,78.7879,83.1683
4994.08,31700,33000,31500,30900,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4894e+06,31.6327,32,41.4141,15.1515,80.6122,75.7576
5994.75,31700,33400,31500,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.228e+06,25,23.7624,33.3333,16.6667,91.1765,89
6338.04,,,,,,,,,,,,,22.616,,,,,,,,,,,,,,,,
6844.73,,,,,,,,,,,,,,,,,,,,,,3082,,,,,,,
6993.97,32500,33800,32300,31300,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.7522e+06,40,35.7143,50,30,91.9192,87
7732.38,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
7994.82,32300,33800,32500,31500,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.471e+06,34.3137,32,51.5152,15.1515,86.8687,84.1584
8344.7,,,,,,,,,,,,,,,,,,,,,,6490,,,,,,,
8591.07,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
8994.65,32500,34400,32500,31700,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4156e+06,25,23.7624,34.6535,15,93,88.8889
9113.04,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
9836.73,,,,,,,,,,,,,,,,,,,,,,9900,,,,,,,
9993.97,32800,34600,32800,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.631e+06,39.3939,36.3636,50,31.6832,92,87
10235.4,,,,,,,,,,,,,,64.10,60.05,,,,,,,,,,,,,,
10671.4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
10815.5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
10994.8,32800,34600,32800,32500,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.678e+06,34.3434,30.303,52.5253,18,87,84.8485
11344.7,,,,,,,,,,,,,,,,,,,,,,13309,,,,,,,
11994.5,33000,35200,33200,32500,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4072e+06,24.2424,23.7624,34,15,93,89.1089
12230,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
12418,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
