# Started at: 2021-02-21 20:45:05 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment4_out/Instance1/1/OPTIMAL_antiEiko.json.yaml.csv -- demos-sched -c /root/experiment4/Instance1/OPTIMAL_antiEiko.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.16153,29700,30700,30100,29300,30100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8134e+06,0,33.3333,50,50,0,0
119.196,,,,,,,,,,,,,,53.10,49.83,,,,,,,,,,,,,,
995.545,31300,32500,31100,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.0896e+06,71.134,50,60.2041,57.5758,48.4536,57.5758
1995.3,31300,32300,31300,30500,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.657e+06,81.3725,60,71.5686,67,50,54.5455
2995,31300,33000,31700,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2804e+06,79.5918,46.0784,55,46,60.396,64.3564
3995.69,31900,33000,31900,31100,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8566e+06,73.7374,58,62.6263,57.5758,62.6263,70
4995.47,31900,33000,32100,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8568e+06,81.1881,61.6162,72.2772,67.3267,52,57.1429
5995.23,32100,33800,32500,31700,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5624e+06,79,48.9796,55,46,64.3564,65.3465
6994.94,32800,33600,32600,31900,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0594e+06,74,63,62.6263,58,67.6768,73.2673
7068.92,,,,,,,,,,,,,22.68,,,,,,,,,,,,,,,,
7113.06,,,,,,,,,,,,,,,,,,,,,,2726,,,,,,,
7875.49,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
7995.76,32600,34400,32800,32300,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3752e+06,81,72.549,71.5686,67.3267,64.3564,64.6465
8613.07,,,,,,,,,,,,,,,,,,,,,,6125,,,,,,,
8995.57,33000,34600,33200,32500,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.84e+06,80,56,55,47.0588,67.3267,68.6275
9395.86,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
