# Started at: 2021-02-28 00:24:14 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment5_out/Instance1/1/OPTIMAL_antiMEikLTF.json.yaml.csv -- demos-sched -c /root/experiment5/Instance1/OPTIMAL_antiMEikLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.0999,30100,30500,30300,29300,29700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8842e+06,33.3333,0,0,0,0,0
124.408,,,,,,,,,,,,,,62.11,58.22,,,,,,,,,,,,,,
993.776,30500,31900,30700,30100,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2012e+06,16.4948,29.5918,25.7426,14.433,54.7368,58.7629
1777.85,,,,,,,,,,,,,21.522,,,,,,,,,,,,,,,,
1994.37,31100,32800,31100,30300,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8966e+06,19,23,23,16,80,86.2745
2993.99,31100,32800,31100,30100,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0902e+06,21.7822,23.2323,22,14.433,81.8182,90.099
3994.64,31100,33000,31700,30700,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0382e+06,22.549,23.4694,22,16,83.5052,88.8889
4994.38,31700,33200,31900,30900,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0026e+06,22.2222,26.2626,24,16.4948,80.8081,88
5994.22,32100,33200,31700,30900,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9676e+06,25.2525,28,28,19.802,85.4369,91.0891
6993.95,32100,33200,32500,31300,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.286e+06,28.7129,27.7228,26.7327,23,83.8384,89.899
7994.71,32500,33600,32600,31700,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3204e+06,25.7426,28,24,17.3469,86.2745,88
8994.49,32800,34000,32800,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3196e+06,26.5306,27.551,24.4898,23.301,95.9596,92.9293
9150.96,,,,,,,,,,,,,,,,,,,,,,3055,,,,,,,
9157.66,,,,,,,,,,,,,,,,,,,,,,2934,,,,,,,
9994.55,32800,34400,33200,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0198e+06,28.7129,24,22.2222,16.3265,96.0396,94
10228.2,,,,,,,,,,,,,,62.35,58.39,,,,,,,,,,,,,,
10680.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10957.6,,,,,,,,,,,,,,,,,,,,,,5354,,,,,,,
10957.6,,,,,,,,,,,,,,,,,,,,,,5889,,,,,,,
10993.8,33000,35000,33400,32300,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.5106e+06,23.2323,24.5098,23.7624,21.7822,95.9596,93.9394
11839,,,,,,,,,,,,,21.522,,,,,,,,,,,,,,,,
11957.7,,,,,,,,,,,,,,,,,,,,,,8291,,,,,,,
11957.7,,,,,,,,,,,,,,,,,,,,,,8950,,,,,,,
11993.8,33400,35200,33600,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.6386e+06,25,24.2424,23,18.3673,96.9697,94.1176
12647.4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
12708.4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
12957.7,,,,,,,,,,,,,,,,,,,,,,11235,,,,,,,
12957.7,,,,,,,,,,,,,,,,,,,,,,12012,,,,,,,
12993.8,33400,35200,33800,32600,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.6156e+06,24.2424,23,22.7723,19,95.9596,92.8571
13994.4,33800,35800,34000,33000,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9956e+06,24,24,22.2222,19.802,97,95
14564.5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
14609.1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
14757.5,,,,,,,,,,,,,,,,,,,,,,13652,,,,,,,
14757.6,,,,,,,,,,,,,,,,,,,,,,14713,,,,,,,
14994,34000,36000,34200,33200,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.5426e+06,25.7426,24.7525,21.2121,18.3673,98.0198,93.8776
15489.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
15757.6,,,,,,,,,,,,,,,,,,,,,,16590,,,,,,,
15757.6,,,,,,,,,,,,,,,,,,,,,,17778,,,,,,,
15993.9,34200,36400,34400,33200,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2946e+06,23,23,23.7624,21,97.9798,93.2039
16389,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
16417.7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
16757.6,,,,,,,,,,,,,,,,,,,,,,19536,,,,,,,
16757.7,,,,,,,,,,,,,,,,,,,,,,20857,,,,,,,
16994,34200,36400,34600,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3618e+06,22.449,23.2323,22.449,19.6078,98.9899,93.9394
17387.8,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
17458.6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
17994.2,34200,36400,34800,34000,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8828e+06,26,21.4286,22,19.1919,98.0198,94
18350.7,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
18557.4,,,,,,,,,,,,,,,,,,,,,,21956,,,,,,,
18557.5,,,,,,,,,,,,,,,,,,,,,,23567,,,,,,,
