# Started at: 2021-02-28 17:40:52 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment5_out/Instance1/2/OPTIMAL_modpred.json.yaml.csv -- demos-sched -c /root/experiment5/Instance1/OPTIMAL_modpred.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.07953,30700,31100,31300,30300,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9474e+06,0,50,0,50,0,0
116.96,,,,,,,,,,,,,,65.70,62.14,,,,,,,,,,,,,,
995.183,31500,33200,31700,31100,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5194e+06,68,70.4082,60.6061,59.4059,29.5918,20.4082
1945.37,,,,,,,,,,,,,26.123,,,,,,,,,,,,,,,,
1995.63,32100,33600,32500,31500,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9174e+06,79,81.3725,78.2178,71,41.4141,23.7624
2995.74,32300,32600,32500,31300,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.311e+06,77.451,80.8081,79.5918,73,41.1765,23.4694
3995.96,32500,33400,32500,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8826e+06,83.1683,81.1881,79.4118,75.4902,41.4141,28
4995.17,32800,33400,33000,31900,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.423e+06,83.1683,82.8283,79.798,75.2475,40.5941,30.3922
5995.34,33000,33600,32800,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5468e+06,81.6327,81.8182,79.798,76,37.7551,28.2828
6995.48,33200,33800,33000,32500,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6824e+06,91.0891,88,79.798,71.7172,38.3838,30.6931
7191.22,,,,,,,,,,,,,,,,,,,,,,2341,,,,,,,
7206.09,,,,,,,,,,,,,,,,,,,,,,2188,,,,,,,
7996.02,33400,33800,33600,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.103e+06,92,89.1089,79.6117,71.2871,38.6139,31
8191.24,,,,,,,,,,,,,,,,,,,,,,4680,,,,,,,
8206.06,,,,,,,,,,,,,,,,,,,,,,4376,,,,,,,
8995.98,33400,34000,33400,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5408e+06,92.0792,87,77.7778,73.2673,39.3939,30
9191.27,,,,,,,,,,,,,,,,,,,,,,7024,,,,,,,
9206.11,,,,,,,,,,,,,,,,,,,,,,6554,,,,,,,
9729.94,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
9995.3,33800,34800,34000,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4174e+06,90.2913,89.2157,79,75.5102,44.5545,30.303
10191.3,,,,,,,,,,,,,,,,,,,,,,9370,,,,,,,
10209.4,,,,,,,,,,,,,,65.86,62.22,,,,,,,,,,,,,,
10885.1,,,,,,,,,,,,,,,,,,,,,,8498,,,,,,,
10995.3,34200,35000,34200,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4776e+06,93.9394,88.8889,79.5918,77,45.4545,32
11687.6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
11833,,,,,,,,,,,,,,,,,,,,,,11335,,,,,,,
11883.1,,,,,,,,,,,,,,,,,,,,,,10686,,,,,,,
11995.3,34200,35400,34400,33600,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4868e+06,94.0594,89.899,80.3922,76.4706,40.5941,31
12013.5,,,,,,,,,,,,,26.145,,,,,,,,,,,,,,,,
12833.1,,,,,,,,,,,,,,,,,,,,,,13674,,,,,,,
12883.1,,,,,,,,,,,,,,,,,,,,,,12876,,,,,,,
12995.4,34600,35400,34400,33600,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5292e+06,94.9495,89,78,78,39.3939,31.3725
13324.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
13465.8,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
13833.1,,,,,,,,,,,,,,,,,,,,,,16015,,,,,,,
13883.2,,,,,,,,,,,,,,,,,,,,,,15066,,,,,,,
13995.4,34600,35000,34600,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3882e+06,94.1176,87.2549,75,77,38,30.303
14833.2,,,,,,,,,,,,,,,,,,,,,,18354,,,,,,,
14883.3,,,,,,,,,,,,,,,,,,,,,,17257,,,,,,,
14995.5,34800,35200,35000,33800,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7478e+06,94.9495,89.7959,80,78.2178,36.7347,29.5918
15178.4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
15422.8,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
15833.3,,,,,,,,,,,,,,,,,,,,,,20694,,,,,,,
15995.6,34800,35400,35200,33600,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5564e+06,95.0495,89.1089,80.198,78.2178,40.1961,31
16069.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
16583.1,,,,,,,,,,,,,,,,,,,,,,19376,,,,,,,
16833.3,,,,,,,,,,,,,,,,,,,,,,23042,,,,,,,
16995.5,35200,35400,35200,34200,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7016e+06,93.9394,89,76.7677,78,39,30
17027.8,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
17125.1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
17380.8,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
17583.2,,,,,,,,,,,,,,,,,,,,,,21566,,,,,,,
17995.8,35000,36200,35600,34600,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6148e+06,94.0594,89.1089,79,79,42,33.3333
18063.8,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
18485.1,,,,,,,,,,,,,,,,,,,,,,25073,,,,,,,
18583.2,,,,,,,,,,,,,,,,,,,,,,23754,,,,,,,
18995.7,35600,36600,36000,34600,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6394e+06,94,87.8788,76.7677,80.8081,44.5545,35.6436
19007.3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
19158.8,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
19483.2,,,,,,,,,,,,,,,,,,,,,,27410,,,,,,,
19583.2,,,,,,,,,,,,,,,,,,,,,,25943,,,,,,,
19913.3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
19995.5,35600,36600,35600,34600,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8956e+06,95,85,76.2376,78.4314,43.4343,34.3434
20307.6,,,,,,,,,,,,,,65.86,62.42,,,,,,,,,,,,,,
20483.3,,,,,,,,,,,,,,,,,,,,,,29751,,,,,,,
20583.3,,,,,,,,,,,,,,,,,,,,,,28134,,,,,,,
20889.6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
