# Started at: 2021-02-28 21:33:47 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment5_out/Instance2/2/OPTIMAL_MEikLTF.json.yaml.csv -- demos-sched -c /root/experiment5/Instance2/OPTIMAL_MEikLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09778,30100,30500,30700,29700,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8916e+06,50,0,0,50,0,50
113.82,,,,,,,,,,,,,,66.17,62.12,,,,,,,,,,,,,,
994.861,31100,31500,31300,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5082e+06,84.8485,69.3069,64.7059,54.3689,34,24.2424
1994.93,31700,31900,31300,30700,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4672e+06,99,81,75.5102,67.0103,29.1262,20
2426.1,,,,,,,,,,,,,24.075,,,,,,,,,,,,,,,,
2994.86,31500,33000,31500,30700,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8728e+06,100,81.6327,76.4706,70.4082,34.2857,26.4706
3994.93,31700,32600,32100,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2348e+06,99.0099,83,74.7475,71,26.4706,19.1919
4995,32300,32600,32300,31500,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1428e+06,100,90.1961,82.8283,75,31.6832,26.4706
5995.07,32300,33400,32600,31500,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.113e+06,100,88,82,72.1649,32.6923,23
6994.34,32500,33000,32600,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1122e+06,100,86,81.1881,76,28.1553,19.1919
