# Started at: 2021-02-28 02:30:37 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment5_out/Instance1/1/OPTIMAL_nobLTF.json.yaml.csv -- demos-sched -c /root/experiment5/Instance1/OPTIMAL_nobLTF.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09928,29900,30300,30100,29100,29700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.7948e+06,0,0,0,0,0,0
127.615,,,,,,,,,,,,,,62.60,58.59,,,,,,,,,,,,,,
995.475,30500,31100,30700,29700,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.438e+06,74.7475,78,78.2178,56.5657,26.5306,10.2041
1836.43,,,,,,,,,,,,,21.479,,,,,,,,,,,,,,,,
1995.79,30900,31500,30900,29700,30700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6758e+06,93.0693,87.7551,89.899,58.4158,31.068,18
2995.46,31100,31700,31300,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4438e+06,94.898,88.3495,91,62,30,19
3995.54,31500,31500,31100,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7374e+06,94.898,91,90,61.2245,35.3535,19.3878
4995.47,31900,32600,31700,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5288e+06,95.1456,92,92.0792,66.3265,35,22
5995.62,31900,33400,32100,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9678e+06,94.8454,91.9192,91.9192,66,35.6436,20.202
6937.57,,,,,,,,,,,,,,,,,,,,,,2440,,,,,,,
6995.77,32300,32800,32500,31300,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9044e+06,95.9596,92,92,73.4694,29,16.3265
7937.58,,,,,,,,,,,,,,,,,,,,,,4862,,,,,,,
7995.78,32500,33000,32300,31300,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4912e+06,96.0784,90.9091,92,80.8081,29,23
8768.5,,,,,,,,,,,,,,,,,,,,,,2799,,,,,,,
8937.59,,,,,,,,,,,,,,,,,,,,,,7254,,,,,,,
8995.74,32600,33000,32800,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.711e+06,95.9184,90.9091,90,76,30.303,21.2121
9768.46,,,,,,,,,,,,,,,,,,,,,,5585,,,,,,,
9995.81,32800,33400,32800,31700,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.645e+06,96,90.9091,90.9091,80.198,33.3333,26.2626
10099.9,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
10247.8,,,,,,,,,,,,,,62.48,58.67,,,,,,,,,,,,,,
10610.4,,,,,,,,,,,,,,,,,,,,,,9537,,,,,,,
10994.9,32800,34200,33200,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.512e+06,98.0198,93,92,80,36.6337,22
11558.4,,,,,,,,,,,,,,,,,,,,,,7726,,,,,,,
11608.5,,,,,,,,,,,,,,,,,,,,,,11966,,,,,,,
11898,,,,,,,,,,,,,21.49,,,,,,,,,,,,,,,,
11995.3,33400,33800,33600,32300,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7308e+06,99,92.9293,92,82.1782,31.6832,22.7723
12558.4,,,,,,,,,,,,,,,,,,,,,,10534,,,,,,,
12608.6,,,,,,,,,,,,,,,,,,,,,,14405,,,,,,,
12827,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
12995.3,33600,33800,33600,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1696e+06,98.9899,91.0891,92,80.8081,30,20.4082
13269.3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
13558.4,,,,,,,,,,,,,,,,,,,,,,13279,,,,,,,
13608.6,,,,,,,,,,,,,,,,,,,,,,16842,,,,,,,
13998.4,33800,34200,33800,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5478e+06,98.0198,92.0792,90.1961,78.4314,33.6634,22.7723
14608.7,,,,,,,,,,,,,,,,,,,,,,19238,,,,,,,
14793.5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
14995.8,33600,34200,34000,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8526e+06,99,90.8163,91.9192,82.6531,31.3131,22.9167
15123.3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
15164.2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
15366.4,,,,,,,,,,,,,,,,,,,,,,15569,,,,,,,
15608.7,,,,,,,,,,,,,,,,,,,,,,21678,,,,,,,
15995.2,33800,34400,34000,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3146e+06,98,92.0792,92,82.8283,30,22.7723
16159,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
16358.4,,,,,,,,,,,,,,,,,,,,,,18390,,,,,,,
16757.8,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
16995.2,34200,34600,34400,33200,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5938e+06,99,93.9394,91.9192,83,29,21.4286
17053.2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
17266.4,,,,,,,,,,,,,,,,,,,,,,23787,,,,,,,
17358.4,,,,,,,,,,,,,,,,,,,,,,21136,,,,,,,
17995.1,34400,34800,34800,33000,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.379e+06,98.0198,93.0693,91.0891,80.8081,30,22.7723
18007.3,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
18258.5,,,,,,,,,,,,,,,,,,,,,,26226,,,,,,,
18506.4,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
18937.5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
18995.7,34600,35000,34400,33200,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7898e+06,98.9899,94,92,82.3529,30,21
19042.4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
19162.4,,,,,,,,,,,,,,,,,,,,,,23416,,,,,,,
19258.5,,,,,,,,,,,,,,,,,,,,,,28664,,,,,,,
19995.3,34600,35000,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6546e+06,98.9899,94,91,82,30.6931,22.7723
20158.4,,,,,,,,,,,,,,,,,,,,,,26234,,,,,,,
20258.6,,,,,,,,,,,,,,,,,,,,,,31103,,,,,,,
20339.5,,,,,,,,,,,,,,62.72,58.71,,,,,,,,,,,,,,
20466.8,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
20821.6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
20890.8,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
20995.1,34800,35400,34800,33600,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9606e+06,98.0198,93.9394,91.8367,80.4124,34.6154,22.449
21158.4,,,,,,,,,,,,,,,,,,,,,,28984,,,,,,,
21258.7,,,,,,,,,,,,,,,,,,,,,,33538,,,,,,,
21875.4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
21928.6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
21961.2,,,,,,,,,,,,,21.49,,,,,,,,,,,,,,,,
21995.4,35000,35400,35200,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6902e+06,99,92.0792,90.1961,78.2178,27.551,22.2222
22258.8,,,,,,,,,,,,,,,,,,,,,,35978,,,,,,,
22431.4,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
22739.1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
22958.4,,,,,,,,,,,,,,,,,,,,,,31296,,,,,,,
22995.6,35000,36200,35200,34000,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7704e+06,97.0297,93,90.9091,83.1683,34.6535,24.2424
23759.7,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
23774.2,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
23914.4,,,,,,,,,,,,,,,,,,,,,,38049,,,,,,,
23958.3,,,,,,,,,,,,,,,,,,,,,,34182,,,,,,,
23995.5,35400,36600,35400,34000,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3276e+06,99,94.0594,91.0891,83,36.2745,27
24758.2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
24908.7,,,,,,,,,,,,,,,,,,,,,,40487,,,,,,,
24958.3,,,,,,,,,,,,,,,,,,,,,,36964,,,,,,,
24995.5,35400,37000,35600,34400,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7128e+06,98,94,91.9192,83.8384,34.3434,26
25158.3,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
25623.5,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
25644.3,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
25908.8,,,,,,,,,,,,,,,,,,,,,,42888,,,,,,,
25995,35800,37400,35600,34800,35400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9614e+06,98.9899,94.0594,92.0792,84.1584,29.4118,22.2222
26716.6,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
26762.4,,,,,,,,,,,,,,,,,,,,,,39320,,,,,,,
26908.8,,,,,,,,,,,,,,,,,,,,,,45282,,,,,,,
26995,36200,36600,36400,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7236e+06,98.0198,93,91.9192,82.8283,29.2929,21.4286
27123,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
27472.1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
27528.9,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
27758.3,,,,,,,,,,,,,,,,,,,,,,42193,,,,,,,
27909,,,,,,,,,,,,,,,,,,,,,,47680,,,,,,,
27995.2,36200,36600,36400,34800,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0082e+06,98.9899,92.9293,90,81.1881,30.6931,22.7723
28507.7,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
28758.4,,,,,,,,,,,,,,,,,,,,,,44992,,,,,,,
28909,,,,,,,,,,,,,,,,,,,,,,50118,,,,,,,
28995.2,36400,37000,36400,35200,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4628e+06,98.0198,93.0693,91,83.8384,34,25.2525
29089.1,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,
29414,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
29543.8,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
29995.4,36600,37400,36400,35200,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.669e+06,98.9899,94,92,83.1683,35,23.5294
30356.9,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
30434,,,,,,,,,,,,,,62.39,58.63,,,,,,,,,,,,,,
30558.4,,,,,,,,,,,,,,,,,,,,,,47294,,,,,,,
30566.4,,,,,,,,,,,,,,,,,,,,,,52225,,,,,,,
30994.8,36800,37400,36800,35200,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5024e+06,99,94,91.9192,83.8384,32.3529,23.4694
31299.1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
