# Started at: 2021-03-29 23:17:50 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment7_out/Cmax/fixed_b2pred/2/1930.json.yaml.csv -- demos-sched -c /root/experiment7/Cmax/fixed_b2pred/1930.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.1124,30100,30500,30300,29300,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8452e+06,50,0,0,33.3333,0,0
118.49,,,,,,,,,,,,,,24.54,24.45,,,,,,,,,,,,,,
994.837,31300,33200,31300,30300,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2078e+06,74,67.3469,78.7879,69.3878,54.6392,55.4455
1231.76,,,,,,,,,,,,,24.139,,,,,,,,,,,,,,,,
1994.75,30100,31100,30900,29900,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.1944e+06,1.02041,0.990099,0,1,6.12245,8.08081
2995.32,31300,33400,31700,30500,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8266e+06,77.2277,72.7273,82,66.3366,61.7647,65
3994.94,30700,31300,31100,30100,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8012e+06,1,0,1.0101,0,2.0202,3.0303
4994.86,31500,32600,31700,31100,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.033e+06,77.551,73,82.6531,65.6566,62.7451,66
5994.86,30900,32500,31300,30500,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9452e+06,7.92079,6,6.93069,6,8.08081,5.15464
6994.69,31500,32800,32100,31300,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3918e+06,72.7273,66.3265,77,61,56,60
7995.33,31900,33400,32100,30700,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.7782e+06,15,13,12.1212,13.8614,15.8416,15
8995.02,31900,33000,32500,31500,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3136e+06,65,59.596,69.697,53.0612,50,53.4653
9994.86,32300,33600,32500,31500,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2554e+06,21.7822,20.5882,19.802,20.202,17.6471,18.8119
10260.5,,,,,,,,,,,,,,23.96,24.09,,,,,,,,,,,,,,
10994.5,31900,32600,32600,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5838e+06,58.5859,52.5253,62.6263,45.4545,48.4848,49.4949
11291.9,,,,,,,,,,,,,24.128,,,,,,,,,,,,,,,,
11994.9,32600,33400,32800,31900,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9466e+06,28.2828,27,27,28,16,16.3265
12994.9,32600,33400,33000,32100,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6336e+06,52,46.4646,55.5556,40,47.4747,51
13994.9,33000,33600,33000,32300,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.0666e+06,33,28.2828,34,28.2828,19,18.1818
14994.6,32600,33400,33200,32300,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5566e+06,45.4545,44.4444,49,37.6238,45.4545,48.4848
15995.3,33000,34800,33400,32300,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.429e+06,39.604,36.6337,41.5842,36,25.7426,25.2525
16995.1,33000,33800,33600,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3148e+06,39.3939,38,41.4141,31,40.1961,42.5743
17994.9,34200,35400,34000,33200,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2738e+06,46.5347,43,47.5248,42.4242,31.6327,32.3232
18994.9,33400,33800,34000,33000,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3502e+06,33.3333,31,34.3434,23.7624,34,36.6337
19994.6,34200,35200,34400,33200,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0948e+06,51.0204,46.4646,54,50,28.5714,34.6535
20363.9,,,,,,,,,,,,,,24.62,24.66,,,,,,,,,,,,,,
20994.8,33800,34200,34000,33000,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.007e+06,28.7129,25.2525,33,15.4639,34,33.6735
21352.9,,,,,,,,,,,,,24.128,,,,,,,,,,,,,,,,
21994.7,34600,36200,34800,33600,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.3768e+06,57.4257,53,60.6061,57,36.3636,38.3838
22994.9,33800,34600,34400,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6708e+06,22,20.202,22.7723,9.09091,27.2727,29
23994.9,34800,36600,35200,34200,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9478e+06,63.6364,60,68,63.3663,44.5545,46.5347
24994.6,34200,35000,34800,33800,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5192e+06,15.8416,15.534,15.8416,3,21.7822,22.2222
25995.2,35400,36200,35400,34400,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2996e+06,68.0412,66.3265,74.4898,65.3061,47,48.4848
26995.4,34600,35000,35200,34200,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6978e+06,10.8911,7,9,0,16.1616,19
27994.8,35800,37000,35800,34600,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7214e+06,76,72.2772,81,66,54,56.5657
28994.9,34400,35400,35600,34200,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9918e+06,4.9505,2,1,0,12,11.8812
29994.9,35800,37700,36000,35200,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9558e+06,77.7778,72,82.6531,65.3465,58.1633,63.6364
30457.3,,,,,,,,,,,,,,nan,24.29,,,,,,,,,,,,,,
30995.2,35400,35800,35800,34800,35000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.8904e+06,2,1.0101,3.92157,1,4.0404,7.92079
31418.2,,,,,,,,,,,,,24.139,,,,,,,,,,,,,,,,
31995,36000,37000,36400,35400,35800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8176e+06,78,73.7374,83,66,62.3762,65.3061
32994.9,35600,36800,36000,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9504e+06,3.0303,5,4,4.9505,7.92079,4.08163
33994.9,36000,37000,36800,35400,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2004e+06,74,69.6078,79,62,57.1429,62.3762
34994.9,36200,37400,36400,35400,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.5696e+06,12.8713,11.1111,11,11.1111,13.1313,12
35994.9,36200,37200,36800,35800,36200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5876e+06,67.6768,62.6263,71.7172,55,51.4851,55.102
36994.9,36600,38100,36800,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.1894e+06,18,18.1818,18,18,17,18
37995,36400,37400,36800,35800,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.939e+06,60.2041,55,63.7255,48.4848,49.505,50
38995.1,37000,37700,37200,36000,36200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.2188e+06,25.2525,24.2424,24.2424,25,17.8218,19.802
39995.2,36400,37200,37200,36000,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0756e+06,54.4554,47.4747,58,40.404,47.4747,50.5051
40558.3,,,,,,,,,,,,,,24.33,24.13,,,,,,,,,,,,,,
