# Started at: 2021-03-29 18:56:46 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment7_out/Cmax/minutilLTF/1/1530.json.yaml.csv -- demos-sched -c /root/experiment7/Cmax/minutilLTF/1530.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.0954,29900,30700,30500,29700,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9366e+06,0,0,0,0,0,0
131.607,,,,,,,,,,,,,,24.23,24.19,,,,,,,,,,,,,,
995.798,30700,32600,31300,30100,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7338e+06,7.14286,8,3.0303,12.2449,77.551,75
1240.69,,,,,,,,,,,,,25.136,,,,,,,,,,,,,,,,
1995.67,30900,32600,31300,30500,31500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.206e+06,4.9505,5,0,1,77.2277,69.3069
2995.32,31300,33400,31500,30900,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9858e+06,0,3.0303,0.990099,4.0404,100,94.9495
3994.97,31300,33400,31700,30900,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.541e+06,1.9802,2,1,8,85.1485,77.7778
4995.62,31700,33400,32100,31500,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4718e+06,2.9703,2,0,5.94059,85,77
5995.39,32100,34200,32300,31700,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8022e+06,3.9604,0,4,5,100,95
6995.15,31900,34200,32500,32100,32300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7596e+06,1.9802,0,1.0101,6.06061,85,77.7778
7995.8,32100,34200,32600,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.895e+06,3,1,2.9703,6.86275,85,76.4706
8995.58,32500,34600,32800,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7272e+06,3,1.0101,2,4.08163,100,95
9995.26,32800,34600,33200,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5012e+06,3.9604,2.94118,2.9703,4.0404,86,78
10238.7,,,,,,,,,,,,,,24.48,24.64,,,,,,,,,,,,,,
10995.7,32600,35000,33200,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.34e+06,6,3,3.0303,3,84.8485,76
11303.2,,,,,,,,,,,,,25.147,,,,,,,,,,,,,,,,
11995.2,33000,35400,33600,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9394e+06,4.9505,4,4.90196,1,100,94.9495
12995.8,33400,35800,33800,32800,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7188e+06,2,5,2.0202,0,85,77
13995.5,33000,34600,33600,33000,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6396e+06,4,5.05051,0,1.9802,85,77
14995.1,33600,35400,34000,33200,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.2902e+06,2.0202,3.0303,5,0,100,95.0495
15995.7,33600,36000,34000,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6926e+06,5,0,2.04082,2,84.8485,76.7677
16995.3,33600,34800,34400,33400,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8424e+06,0,2,6,2,85.1485,77
17995.8,34000,36200,34400,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.289e+06,2,3.92157,6,0,100,95
18995.4,34200,36600,34800,33800,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8524e+06,1,2,6.93069,2.9703,85,77.7778
19995,34400,35400,35000,34000,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7512e+06,1.0101,2,5.10204,1.0101,89.899,81
20346.5,,,,,,,,,,,,,,24.48,24.07,,,,,,,,,,,,,,
20995.4,34800,37000,35200,34200,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9696e+06,2,3,9,0,95,91
21367.7,,,,,,,,,,,,,25.147,,,,,,,,,,,,,,,,
21995.6,35000,37000,35400,34400,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5016e+06,2,0,3.06122,4,85,76.2376
22995.2,35200,36800,35800,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8284e+06,2.04082,1,3,4.9505,95.098,87.8788
23995.8,35200,37400,35800,34800,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7236e+06,2,4.0404,2,2.9703,89,86
24995.4,35400,37500,35800,35000,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7248e+06,1.0101,7,1.0101,3.9604,85,74.7475
25995,35400,37700,36400,35200,35800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3304e+06,1.0101,6.93069,1.9802,2,100,93.0693
26995.6,35800,38100,36600,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5586e+06,1,6.06061,0,2,85,80.8081
27995.2,36000,37700,36600,36000,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6624e+06,0,7,0,1.0101,85,77
28995.8,36200,38300,36800,36000,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0094e+06,2.9703,7,1,3,100,95.0495
29995.4,36200,38300,36800,35800,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6738e+06,2.9703,2.0202,4.9505,2.9703,85.1485,76.7677
30456.3,,,,,,,,,,,,,,24.31,24.23,,,,,,,,,,,,,,
30995.1,36200,38300,37000,36000,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.982e+06,5,5.10204,1.0101,3.0303,85,77
31430.5,,,,,,,,,,,,,25.147,,,,,,,,,,,,,,,,
31995.3,36400,38700,37200,36400,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0758e+06,0,5,1.9802,2.9703,100,95
32995.8,36600,38900,37400,36400,36400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.56e+06,1.0101,0,6,3.9604,85,78.2178
33995.4,36600,38500,37000,36400,36800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6648e+06,6,0,2.9703,2,85,76
34995,37000,39300,37700,36600,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9542e+06,5.94059,1,2.0202,2.9703,100,94.9495
35995.6,37000,39300,37900,36600,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9694e+06,5.05051,1.0101,1.0101,2,85.1485,78.2178
36995.4,37200,39300,37900,36800,37200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6486e+06,2.06186,0,4,2,85.8586,76.7677
37995.9,37400,39700,37900,37200,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9534e+06,2.0202,1.9802,7.84314,2.0202,100,95
38995.5,37500,40100,37900,37200,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9036e+06,3.06122,0,4,2.9703,84.1584,76.2376
39995.2,37400,39300,38300,37000,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.877e+06,4.90196,1.02041,1.0101,3.06122,85.1485,75.7576
40572.7,,,,,,,,,,,,,,24.56,24.68,,,,,,,,,,,,,,
40995.5,37900,40100,38500,37500,37500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.19e+06,1.0101,5,1.9802,7.07071,100,95.0495
41489.5,,,,,,,,,,,,,25.158,,,,,,,,,,,,,,,,
41995.3,37700,40100,38500,37500,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.829e+06,5.94059,0.990099,2.0202,2.0202,85,77.7778
42995.9,37700,38900,38700,37700,37900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4814e+06,5.10204,0,1,2.9703,86.1386,77
43995.5,38100,40500,38700,37900,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1046e+06,9.80392,0,1,2,100,95.0495
44995,38300,40500,38900,37900,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8302e+06,3.06122,1,1.02041,1.02041,85,77.7778
45995.6,38300,39500,39100,37900,38300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1666e+06,5,1,4.9505,2.9703,91,82
46995.3,38500,40900,39100,38300,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.812e+06,1.03093,0,3.9604,1.02041,94,91
47995.9,38500,40700,39300,38300,38500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7288e+06,6,0,2.9703,3.0303,84,76
48995.4,38700,40700,39500,38500,38700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1344e+06,1,0,5.10204,2,97.0297,87.8788
49995,38700,40900,39500,38300,38900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8086e+06,5.05051,0,1.0101,1.0101,88,86.1386
50674.7,,,,,,,,,,,,,,24.60,24.60,,,,,,,,,,,,,,
50995.4,38900,40900,39900,38900,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7744e+06,5,1,4.0404,2.04082,85,77.451
51552.5,,,,,,,,,,,,,25.179,,,,,,,,,,,,,,,,
51995.5,39100,41300,39700,39100,39100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0528e+06,8.91089,0,2.94118,2.9703,100,93.9394
52995.1,39300,41700,39900,39100,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6696e+06,6.06061,2.9703,0,2.9703,85,80.198
53995.3,39100,41100,39900,38900,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9096e+06,6.06061,1,0,1.02041,85.8586,77
54995.8,39500,41900,40300,39100,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.208e+06,5.94059,2.0202,0.990099,1.02041,99,93.9394
55995.4,39500,41900,40300,39500,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.8066e+06,3.0303,3,1,2.04082,85.1485,77.7778
56995,39500,41700,40300,39500,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9582e+06,4.0404,3.9604,1.9802,2.9703,85,77.2277
57995.6,39900,42100,40700,39500,39900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.4428e+06,6.06061,1.0101,0,2.0202,100,95
58995.2,40100,42100,40700,39700,39900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9718e+06,6.86275,2.0202,0,3.92157,85,78
59994.9,39700,42100,40700,39500,39500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9168e+06,6,2.9703,0.990099,3.9604,85,76
60827.6,,,,,,,,,,,,,,24.35,24.31,,,,,,,,,,,,,,
60995,40500,42600,40900,40100,40500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.3536e+06,6.86275,5.10204,3,1.02041,100,94.9495
61616.4,,,,,,,,,,,,,25.19,,,,,,,,,,,,,,,,
61995,40300,42800,40900,39900,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9374e+06,7.92079,1,0,2,86,78
62995.6,40300,42300,41100,39900,40100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7494e+06,3.06122,4,1,3,84,76
63995.2,40500,42800,41300,40100,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0964e+06,3.06122,3.9604,0,1.0101,100,95
64995.8,40500,43200,41500,40300,40500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1106e+06,7.84314,3,0,2.0202,85.1485,77.7778
65995.4,40500,41900,41500,40100,40300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.598e+06,6.06061,2,1.9802,1.0101,85.8586,76.2376
66995,40700,43200,41900,40700,40700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.1212e+06,6,2.9703,0.990099,3.9604,100,95
67995.7,40900,43400,41700,40700,40900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6804e+06,1,2.06186,1.02041,2,85,77.7778
68995.3,41100,42100,41700,40700,41100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.913e+06,2.0202,5.94059,2,1.0101,86.1386,77.2277
69995.8,41300,43600,41900,41100,41100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6674e+06,4,0,4,2.9703,99,94
70933.8,,,,,,,,,,,,,,24.48,24.48,,,,,,,,,,,,,,
70995.2,41100,43600,42300,41100,41300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.03e+06,3,1,6,5,85,78
71677.6,,,,,,,,,,,,,25.19,,,,,,,,,,,,,,,,
71995.2,41500,42800,42300,41100,41300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0338e+06,3.0303,0,2,4.0404,91,83.1683
72995.9,41300,44000,42300,41100,41500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.9988e+06,1,1.0101,8,0,93.9394,90.9091
