# Started at: 2021-03-27 09:24:21 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment7_out/Cmax/1/1130.json.yaml.csv -- demos-sched -c /root/experiment7/Cmax/1130.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.09015,29900,30700,30500,29500,29900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9916e+06,0,0,0,0,0,0
137.655,,,,,,,,,,,,,,54.84,52.43,,,,,,,,,,,,,,
995.02,30900,31500,30900,29900,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.033e+06,86,78.5714,76,80.6122,27,43.299
1486.98,,,,,,,,,,,,,23.57,,,,,,,,,,,,,,,,
1995.78,30900,32500,31300,30300,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.421e+06,91.9192,80.8081,73.7374,83.8384,34.6939,47.4747
2995.08,31500,32300,31500,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7748e+06,91,80,77.7778,88,33.3333,49.505
3995.7,31700,33200,31700,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5082e+06,91,77.2277,75.2475,85.1485,38.6139,54.4554
4995.52,32100,32300,32100,30700,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1956e+06,91,78,73.7374,85.8586,27,42.8571
5995.23,32100,32600,32100,31100,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.766e+06,92,78,77.2277,88,39.3939,56.5657
6995.08,32500,33800,32500,31500,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7554e+06,91,78,72.7273,85,39.604,57.1429
7995.69,32500,33800,32800,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4268e+06,93.0693,78.2178,76,86.8687,31.6327,47.4747
8995.25,32800,33800,32600,31900,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2688e+06,96.9697,90,84.1584,92.1569,36.6337,52
9994.88,33000,33800,33200,32100,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.708e+06,92,82.8283,75,86,30.6122,48
10259.2,,,,,,,,,,,,,,54.92,52.63,,,,,,,,,,,,,,
10995.2,32800,34600,33200,32100,32800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6294e+06,92,81,74.7475,85,37,46
11550.3,,,,,,,,,,,,,23.57,,,,,,,,,,,,,,,,
11994.9,33200,34200,33400,32500,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4884e+06,90.9091,80.198,79.2079,87.8788,33.6735,52.5253
12995.7,33200,34600,33600,32300,33000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0454e+06,91.0891,77.7778,73.7374,85,35.6436,47.4747
13995.4,33800,34200,34000,32600,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.5948e+06,92.0792,77,78.2178,88.1188,32.3232,47
14995,34000,34600,34000,33200,33400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,8.0308e+06,90.9091,77,73.7374,85,39.7959,56.4356
15995.6,34000,35400,34200,33200,33800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.6416e+06,91,77,73,85.8586,41.7476,53
16995.3,34200,35000,34400,33200,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.563e+06,97,82.8283,79,91,31.6327,49.0196
17995,34400,35800,34600,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4976e+06,93,86.1386,80,88.1188,36.7347,46
18995.1,34600,35600,34800,33800,34200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2472e+06,93,82,76,85.1485,36,48.4848
