# Started at: 2021-04-02 15:28:37 +0000, Version: v0.1-120-gbc4d265, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done '--sensor=/run/power Power uW' --output=/root/experiment7_ref_out/Instance1/1/b2pred.json.yaml.csv -- demos-sched -c /root/experiment7_ref/Instance1/b2pred.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,Power/uW,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
1.10214,29700,30700,30500,29300,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,5.9568e+06,50,0,0,0,0,0
313.435,,,,,,,,,,,,,,54.68,52.51,,,,,,,,,,,,,,
993.877,31100,31900,30900,30100,30300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0268e+06,79.798,74.2574,77.7778,83.1683,25.2525,22.449
1196.55,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,
1994.54,30700,31100,30700,29700,30500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0552e+06,83,75,84,85.2941,19.802,28
2993.65,31300,31700,31300,30100,31100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.135e+06,88,80.6122,89.899,88.8889,35.3535,34.9515
3993.75,31300,32600,31300,30700,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.5296e+06,88,80,90.099,93.9394,28.7129,18.8119
4994.49,31700,32100,31700,30300,30900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7668e+06,89.1089,81.1881,87,93.0693,22,18.1818
5994.23,31700,32100,31700,30500,31300,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1246e+06,84.1584,82,89,89,22.2222,32.3232
6993.91,32100,32300,32100,31300,31700,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2434e+06,87,80.8081,89.899,88.8889,35.7143,31.3131
7994.32,31900,33000,32500,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.766e+06,82,74.4898,85,87.8788,33,23.5294
8994.07,32100,32600,32300,31300,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0264e+06,95.0495,85.8586,92,99,18,14.8515
9993.81,32500,33400,32100,31100,31900,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1004e+06,82.8283,81.1881,89,89,28.2828,33
10471.3,,,,,,,,,,,,,,54.64,52.59,,,,,,,,,,,,,,
10994.2,32300,33200,32800,31900,32100,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2862e+06,84.8485,78,85.8586,88.8889,29.2929,32.6733
11258.2,,,,,,,,,,,,,24.311,,,,,,,,,,,,,,,,
11994.1,32800,34000,33000,32100,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8786e+06,86,81,89.1089,88,34.6939,30.6122
12993.9,32800,33400,32800,31900,32500,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8582e+06,92.0792,86,91.9192,98,21,9.09091
13993.6,33600,34000,33000,32300,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1336e+06,85.1485,80.8081,88,89.899,28.5714,29.4118
14994.2,33200,33600,33200,32300,32600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.242e+06,85,76,86.8687,88.8889,21.4286,31.3725
15993.9,33600,34200,33800,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0682e+06,86,80.8081,89.1089,88,36,31.6327
16993.6,33400,34600,33600,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.744e+06,88,79.4118,91.0891,93.0693,28.2828,18
17994.3,33600,34200,33600,32500,33000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0948e+06,89.1089,81.8182,86.8687,93.9394,22.7723,18.1818
18993.5,33600,34200,34000,32800,33200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9566e+06,84.8485,82.1782,88.8889,89.899,23,33.3333
19994,34400,34600,34000,32800,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.23e+06,86,81.1881,89,88,34.6939,32.6733
20591.2,,,,,,,,,,,,,,54.84,52.55,,,,,,,,,,,,,,
20993.7,34000,35800,34200,33400,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.6876e+06,83,73.7374,86,88.7755,34,24.2424
21318.3,,,,,,,,,,,,,24.321,,,,,,,,,,,,,,,,
21994.1,34200,34600,34200,33400,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9972e+06,95,85.8586,92,99.0196,20.202,14.7059
22994.2,34000,35200,34400,33200,33600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1204e+06,82.1782,82.3529,88.1188,88.8889,28.2828,32.6733
23993.8,34400,35000,34800,33600,34000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2168e+06,84,75.7576,85.8586,88.1188,27.2727,32.3232
24994,35200,36200,35200,34200,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0486e+06,87,81,89.899,88.8889,37.6238,31.3131
25994.1,34600,35600,34800,33800,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.7682e+06,92.0792,86,92,98,21.7822,10.7843
26994.5,35400,36200,35200,33800,34600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4684e+06,85,80.198,88,90.099,28.5714,27.2727
27993.6,35200,35800,35600,34000,34400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8926e+06,85.1485,76.7677,86.8687,87.8788,21.2121,32.6733
28993.7,35200,36000,35400,34200,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2526e+06,86,80,89.1089,88.8889,35.7143,32
29993.9,35600,37000,35600,34600,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0248e+06,88,80,90.9091,93.9394,29.703,17.3469
30711.1,,,,,,,,,,,,,,54.84,52.51,,,,,,,,,,,,,,
30993.6,35600,36000,35600,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8788e+06,89.899,80.8081,86.8687,93,22.2222,23.5294
31379,,,,,,,,,,,,,24.321,,,,,,,,,,,,,,,,
31993.8,35800,36000,35600,34600,34800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.1048e+06,84.1584,82,88.1188,90,22.549,32.3232
32993.9,36000,36400,36000,34800,35200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0194e+06,86,80.8081,89.899,87.8788,37.6238,31.3131
33994.1,36000,36800,36400,35200,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.9612e+06,83.1683,75,86,88.1188,32.6531,23.5294
34994.2,36000,36600,36000,35000,35600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0894e+06,95,85.8586,92,98.9899,17.1717,14.8515
35994.4,36200,37200,36200,35200,35400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,6.8866e+06,82,82,88,89.899,27.2727,32.6531
36993.6,36400,37000,36600,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.7254e+06,85,75.7576,85.8586,88.1188,29.2929,31.3131
37993.7,36600,37900,36800,35600,36200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0922e+06,86,81,90,87.8788,37,32.6733
38993.9,36600,37700,36800,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.2732e+06,92.0792,86,91.0891,98.9899,21,10.8911
39994.2,36800,37700,36600,35600,36000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.4204e+06,84.8485,80.8081,89,90,30,28
40822,,,,,,,,,,,,,,55.95,53.78,,,,,,,,,,,,,,
40994.4,36800,37400,37000,35800,36200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,,,,,,,,7.0798e+06,84.1584,76.7677,86,87.8788,23,33.6634
